Welcome Back!,Welkom terug!
Will roll out automatically: ${range},Wordt automatisch uitgerold: ${range}
Working…,Bezig…
Worldwide,Wereldwijd
X,X
Y,Y
You have ${count} changes in this draft that haven’t been published yet.,Je hebt ${count} wijzigingen in dit concept die nog niet zijn gepubliceerd.
You have ${count} changes still saving.,Je hebt ${count} wijzigingen die nog worden opgeslagen.
You have 1 change in this draft that hasn’t been published yet.,Je hebt 1 wijziging in dit concept die nog niet is gepubliceerd.
You have 1 change still saving.,Je hebt 1 wijziging die nog wordt opgeslagen.
Your draft is safe on the server — you can come back and publish it any time.,Je concept staat veilig op de server — je kunt later terugkomen en het op elk moment publiceren.
Your edits on other pages stay in the draft.,Je wijzigingen op andere pagina's blijven in het concept staan.
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,Je webhook-URL moet zijn: https://yourdomain.com/api/stripe/webhook
Zone,Zone
Zone Name,Zonenaam
Zone Rates,Zonetarieven
Zone created,Zone aangemaakt
Zone is required,Zone is verplicht
Zone name is required,Zonenaam is verplicht
Zone removed,Zone verwijderd
Zone updated,Zone bijgewerkt
Zones served,Bediende zones
and ${count} more,en nog ${count}
container will also hide,container wordt ook verborgen
current page,huidige pagina
e.g. Small Box,bijv. Kleine doos
e.g. Summer Sale 2026,bijv. Zomeruitverkoop 2026
e.g. content,bijv. content
"e.g., 10.00",bijv. 10.00
"e.g., EU, US-West","bijv. EU, US-West"
"e.g., Express",bijv. Express
"e.g., FEDEX_GROUND, usps_priority","bijv. FEDEX_GROUND, usps_priority"
every page,elke pagina
indefinite,onbepaald
open,open
"publishing is immediate and can’t be undone from this screen. To stage instead, cancel and choose “Schedule a rollout”.",publiceren gebeurt onmiddellijk en kan niet ongedaan worden gemaakt vanaf dit scherm. Annuleer en kies “Een uitrol plannen” om het in plaats daarvan klaar te zetten.
quantity of products are matched bellow conditions(All),aantal producten voldoet aan onderstaande voorwaarden (Alle)
subtotal,subtotaal
to a storefront route's,naar een route van de storefront
to make it appear here.,om het hier te laten verschijnen.
weight,gewicht
widget? This will be saved as a pending change you can publish or discard.,widget? Dit wordt opgeslagen als een openstaande wijziging die je kunt publiceren of verwijderen.
will be removed and the live storefront will stop applying its edits. The underlying changeset and its pending content edits are preserved.,wordt verwijderd en de live storefront past de wijzigingen niet langer toe. De onderliggende wijzigingenset en de bijbehorende openstaande inhoudswijzigingen blijven behouden.
— None —,— Geen —
Cash On Delivery,Rembours
Please select a valid payment method,Selecteer een geldige betaalmethode
Show ${label} width,${label}-breedte tonen
Column ${index},Kolom ${index}
Switch page,Pagina wisselen
Search pages…,Pagina's zoeken…
Search pages,Pagina's zoeken
Save your pending edits — the live storefront will catch up,Sla je openstaande wijzigingen op — de live storefront wordt bijgewerkt
No changes to save — the rollout matches the editor,Geen wijzigingen om op te slaan — de uitrol komt overeen met de editor
More rollout actions,Meer uitrolacties
Revert to saved state…,Terugzetten naar opgeslagen staat…
Roll back the editor to what the rollout currently shows on the storefront,Zet de editor terug naar wat de uitrol momenteel toont op de storefront
Nothing to revert — the editor matches the saved state,Niets om terug te zetten — de editor komt overeen met de opgeslagen staat
Cancel rollout plan…,Uitrolplan annuleren…
Remove the schedule — the changeset is preserved,Verwijder de planning — de wijzigingenset blijft behouden
Publish,Publiceren
More publish options,Meer publicatieopties
Apply all edits to the live storefront immediately,Pas alle wijzigingen onmiddellijk toe op de live storefront
Save as rollout plan…,Opslaan als uitrolplan…
Schedule these edits to roll out at a future time,Plan deze wijzigingen om op een later tijdstip uit te rollen
Discard pending changes…,Openstaande wijzigingen verwijderen…
Choose between discarding the whole draft or just this page,Kies tussen het verwijderen van het hele concept of alleen deze pagina
Switch session,Sessie wisselen
New changeset,Nieuwe wijzigingenset
Rollout: ${name},Uitrol: ${name}
Click or drag to add,Klik of sleep om toe te voegen
Background color,Achtergrondkleur
Text color,Tekstkleur
Dwell time,Verblijftijd
Time each announcement stays visible (in addition to the 400ms slide transition).,Tijd dat elke aankondiging zichtbaar blijft (naast de slideovergang van 400ms).
Announcements,Aankondigingen
Add announcement,Aankondiging toevoegen
Untitled,Naamloos
Free shipping on orders over $50,Gratis verzending bij bestellingen boven $50
Optional. Makes the entire row a clickable link.,Optioneel. Maakt de hele rij een klikbare link.
Link label,Linklabel
Optional. Displayed after the content; defaults to the content itself.,Optioneel. Wordt na de inhoud weergegeven; standaard de inhoud zelf.
Shop now,Nu winkelen
Dark,Donker
Light,Licht
Gradient,Verloop
Left,Links
Center,Midden
Right,Rechts
Selected image,Geselecteerde afbeelding
No image selected,Geen afbeelding geselecteerd
Replace,Vervangen
Clear,Wissen
Reflects the alignment below.,Weerspiegelt de uitlijning hieronder.
Banner Image,Bannerafbeelding
Mobile image,Mobiele afbeelding
Optional. Swapped in below the 768px breakpoint. Falls back to the image above when empty — typical use is a portrait crop of the same scene.,Optioneel. Wordt ingevoegd onder het breekpunt van 768px. Valt terug op de bovenstaande afbeelding indien leeg — meestal een staande uitsnede van dezelfde scène.
Alignment,Uitlijning
Overlay copy,Overlaytekst
Eyebrow,Bovenkop
"Small all-caps label above the heading. E.g. ""LIMITED EDITION"".","Kleine label in hoofdletters boven de kop. Bijv. ""LIMITED EDITION""."
LIMITED EDITION,LIMITED EDITION
Heading,Kop
The Summer Edit,The Summer Edit
Sub-text,Subtekst
One short supporting sentence.,Eén korte ondersteunende zin.
Overlay placement,Overlayplaatsing
Content position,Inhoudspositie
Where the overlay text sits on the image.,Waar de overlaytekst op de afbeelding staat.
Tint,Tint
A scrim behind the overlay text for legibility. Dark / gradient flip the text to white automatically.,Een waas achter de overlaytekst voor de leesbaarheid. Donker / verloop maakt de tekst automatisch wit.
Tint opacity,Tintdekking
Call to actions,Calls to action
Remove primary CTA,Primaire CTA verwijderen
+ Add a primary CTA,+ Een primaire CTA toevoegen
Secondary,Secundair
Remove secondary CTA,Secundaire CTA verwijderen
Learn more,Meer informatie
+ Add a secondary CTA,+ Een secundaire CTA toevoegen
Details,Details
Alt text,Alt-tekst
Describes the banner for screen readers and SEO.,Beschrijft de banner voor schermlezers en SEO.
"e.g. ""Summer sale promotional banner""","bijv. ""Promotiebanner zomeruitverkoop"""
Banner link,Bannerlink
Optional. Clicking the banner navigates here.,Optioneel. Klikken op de banner navigeert hierheen.
Display name,Weergavenaam
Shop,Winkel
Target,Doel
"Page, category, product, or a custom URL.","Pagina, categorie, product of een aangepaste URL."
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,SEO: geef geen rankingwaarde door aan deze link (rel=nofollow).
No referrer,Geen referrer
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,Privacy: laat de verwijzende URL weg (rel=noreferrer). Links die in een nieuw tabblad openen bevatten dit altijd.
Menu items,Menu-items
Add menu item,Menu-item toevoegen
Sub-items,Subitems
Optional dropdown links (1 level).,Optionele dropdownlinks (1 niveau).
Add sub-item,Subitem toevoegen
Options,Opties
Use as main menu,Gebruiken als hoofdmenu
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.","Primaire navigatie — op mobiel klapt dit samen tot een hamburgermenu. Schakel uit voor een eenvoudige linklijst (bijv. een footer), die op mobiel inline blijft."
Custom CSS classes,Aangepaste CSS-klassen
Applied to the rendered menu element.,Toegepast op het gerenderde menu-element.
e.g. main-nav font-semibold,bijv. main-nav font-semibold
S,S
M,M
L,L
Tiles,Tegels
Add tile,Tegel toevoegen
Hero · ,Hero · 
Used when no image is set.,Gebruikt wanneer er geen afbeelding is ingesteld.
Small label above the heading.,Klein label boven de kop.
THE SUMMER EDIT,DE ZOMER EDIT
New Arrivals,Nieuwe collectie
Body,Tekst
Big card — the headline of the grid.,Grote kaart — de blikvanger van het raster.
Link URL,Link-URL
Gap,Tussenruimte
Minimum block height,Minimale blokhoogte
Image left,Afbeelding links
Image right,Afbeelding rechts
Centered,Gecentreerd
Pull quote,Uitgelicht citaat
Variant,Variant
Image column size,Breedte afbeeldingskolom
Describe the image,Beschrijf de afbeelding
Copy,Tekst
"Small all-caps label. E.g. ""OUR STORY"".","Klein label in hoofdletters. Bijv. ""ONS VERHAAL""."
Our story,Ons verhaal
"Made by hand, in small batches","Met de hand gemaakt, in kleine oplages"
"Required for the pull-quote variant. Displayed large, styled as a blockquote.","Vereist voor de variant met uitgelicht citaat. Wordt groot weergegeven, opgemaakt als blockquote."
"A short, quotable line.","Een korte, citeerbare regel."
Three or four sentences of brand narrative.,Drie of vier zinnen merkverhaal.
Second body paragraph (optional),Tweede tekstalinea (optioneel)
A second short paragraph if the story needs it.,Een tweede korte alinea als het verhaal dat nodig heeft.
Read more link,Meer lezen-link
Read more,Meer lezen
URL,URL
Remove read-more link,Meer lezen-link verwijderen
+ Add a read-more link,+ Meer lezen-link toevoegen
Square,Vierkant
Landscape,Liggend
Portrait,Staand
Overlay,Overlay
Below,Onder
New category,Nieuwe categorie
Section heading,Sectiekop
Optional. Shown above the grid.,Optioneel. Wordt boven het raster getoond.
Shop by category,Shoppen per categorie
Women,Dames
Columns,Kolommen
Auto,Automatisch
Asymmetric makes the first tile span 2 columns.,Asymmetrisch laat de eerste tegel 2 kolommen beslaan.
Uniform,Uniform
Asymmetric,Asymmetrisch
Image aspect,Beeldverhouding
Label position,Labelpositie
Blush,Roze
XL,XL
Position ${c},Positie ${c}
Column layout,Kolomindeling
Drag widgets into each column. Children re-flow when you change the ratio.,Sleep widgets naar elke kolom. De onderdelen herschikken zich wanneer je de verhouding wijzigt.
Space between columns.,Ruimte tussen kolommen.
Where content sits within each column. Applied uniformly to every column.,Waar de inhoud binnen elke kolom staat. Wordt uniform op elke kolom toegepast.
Row appearance,Weergave rij
Background,Achtergrond
Custom color,Aangepaste kleur
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","Elke CSS-kleur (bijv. ""#0a0a0a"" of ""rgb(10,10,10)""). Laat leeg om het staal hierboven te gebruiken."
Padding,Opvulling
Outer spacing around the row. Scales down on mobile.,Buitenruimte rond de rij. Wordt op mobiel kleiner geschaald.
Solid,Effen
Dashed,Gestreept
Already expired,Al verlopen
Expires in ${days}d ${hours}h,Verloopt over ${days}d ${hours}u
Expires in ${hours}h ${minutes}m,Verloopt over ${hours}u ${minutes}m
Offer,Aanbieding
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".","Urgentieregel. Optioneel. Bijv. ""Beperkt · Eindigt zondag""."
Limited · Ends Sunday,Beperkt · Eindigt zondag
Headline,Kop
Take 20% off your order,Krijg 20% korting op je bestelling
Optional. One short instructional line.,Optioneel. Eén korte instructieregel.
Use code at checkout,Gebruik de code bij het afrekenen
Promo code,Promotiecode
Displayed in uppercase to shoppers.,Wordt in hoofdletters aan klanten getoond.
Expires,Verloopt
Optional. The block auto-hides after this time for live visitors.,Optioneel. Het blok wordt na deze tijd automatisch verborgen voor live bezoekers.
Call to action,Call-to-action
Button label,Knoplabel
Shop now →,Shop nu →
Button link,Knoplink
Appearance,Weergave
Border,Rand
Narrow,Smal
Normal,Normaal
Wide,Breed
Shown above all content. Optional.,Wordt boven alle inhoud getoond. Optioneel.
e.g. Frequently asked,bijv. Veelgestelde vragen
Prose,Tekst
FAQ group · ${count} items,FAQ-groep · ${count} items
Group heading,Groepskop
Optional sub-heading.,Optionele subkop.
e.g. Shipping,bijv. Verzending
Add question,Vraag toevoegen
Question,Vraag
e.g. How long does shipping take?,bijv. Hoe lang duurt de verzending?
Answer,Antwoord
"Supports **bold**, _italic_, and line breaks.","Ondersteunt **vet**, _cursief_ en regeleinden."
e.g. Orders ship within 24 hours…,bijv. Bestellingen worden binnen 24 uur verzonden…
Add prose,Tekst toevoegen
Add FAQ group,FAQ-groep toevoegen
Max width,Maximale breedte
Content column width.,Breedte inhoudskolom.
Allow multiple open,Meerdere tegelijk openen toestaan
"When off, opening one FAQ item closes the others in the same group.","Wanneer uitgeschakeld, sluit het openen van één FAQ-item de andere in dezelfde groep."
New link,Nieuwe link
New column,Nieuwe kolom
Add column,Kolom toevoegen
${title} · ${count} links,${title} · ${count} links
Column title,Kolomtitel
Links,Links
"Min 1, max 12.","Min. 1, max. 12."
Add link,Link toevoegen
New arrivals,Nieuwe collectie
Boxed,Begrensd
Wide (full bleed),Breed (full bleed)
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,Begrensd blijft binnen de container van de pagina (het thema bepaalt de maximale breedte). Breed loopt van rand tot rand.
Scales down on mobile.,Wordt op mobiel kleiner geschaald.
Optional. Painted behind content. Combine with a tint below for legibility.,Optioneel. Achter de inhoud geplaatst. Combineer met een tint hieronder voor leesbaarheid.
XS,XS
Spacing,Ruimte
Size,Grootte
Mobile scales down ~⅔ automatically.,Op mobiel wordt automatisch ~⅔ kleiner geschaald.
Divider line,Scheidingslijn
Show divider line,Scheidingslijn tonen
A horizontal rule centred in the spacing band.,Een horizontale lijn gecentreerd in de tussenruimte.
Line color,Lijnkleur
Default uses the theme's divider color.,Standaard gebruikt de scheidingskleur van het thema.
Sides,Zijkanten
Bottom,Onder
Dots,Stippen
Bars,Balken
Mobile image (optional),Mobiele afbeelding (optioneel)
Used at ≤ 767 px. Falls back to the main image.,Gebruikt bij ≤ 767 px. Valt terug op de hoofdafbeelding.
e.g. New collection,bijv. Nieuwe collectie
e.g. Summer Sale,bijv. Zomeruitverkoop
Sub text,Subtekst
Check out our latest products with special discounts.,Bekijk onze nieuwste producten met speciale kortingen.
Primary button,Primaire knop
Secondary button,Secundaire knop
+ Add secondary button,+ Secundaire knop toevoegen
Overrides,Overschrijvingen
Leaves slide-specific anchor; falls back to the slideshow's default.,Laat dia-specifiek anker; valt terug op de standaard van de diavoorstelling.
Overlay tint,Overlaytint
Overlay opacity,Overlay-ondoorzichtigheid
Make whole slide clickable,Hele dia klikbaar maken
Behavior,Gedrag
Transition,Overgang
Slide,Schuiven
Fade,Vervagen
Transition speed,Overgangssnelheid
Autoplay,Automatisch afspelen
Autoplay delay,Vertraging automatisch afspelen
${seconds} s between slides,${seconds} s tussen dia's
Pause on hover,Pauzeren bij hover
Pause for 20 s after user nav,20 s pauzeren na navigatie door gebruiker
Arrows,Pijlen
Aspect ratio,Beeldverhouding
`Auto` matches the natural image height (jumps between slides).,`Auto` volgt de natuurlijke afbeeldingshoogte (springt tussen dia's).
Default content position,Standaard inhoudspositie
Per-slide overrides win.,Overschrijvingen per dia hebben voorrang.
Default overlay tint,Standaard overlaytint
Default overlay opacity,Standaard overlay-ondoorzichtigheid
Slides (${count}),Dia's (${count})
No slides yet.,Nog geen dia's.
Add your first slide,Voeg je eerste dia toe
Slide ${number},Dia ${number}
Image only,Alleen afbeelding
Empty,Leeg
Show slide,Dia tonen
Hide slide,Dia verbergen
Move slide up,Dia omhoog verplaatsen
Move slide down,Dia omlaag verplaatsen
Delete slide,Dia verwijderen
Top,Boven
Cover,Vullen
Contain,Passend
Required for accessibility.,Vereist voor toegankelijkheid.
Image fit,Afbeeldingspassing
"Small all-caps label. E.g. ""LIMITED EDITION"".","Klein label in hoofdletters. Bijv. ""LIMITED EDITION""."
Limited edition,Beperkte oplage
One strong line,Eén krachtige regel
Two lines of supporting copy.,Twee regels ondersteunende tekst.
Image position,Afbeeldingspositie
Vertical alignment,Verticale uitlijning
Aligns the copy panel content.,Lijnt de inhoud van het tekstpaneel uit.
Remove call to action,Call-to-action verwijderen
Add a call to action,Een call-to-action toevoegen
Custom CSS classes for the text block,Aangepaste CSS-klassen voor het tekstblok
Add group,Groep toevoegen
${label} · ${count} subs,${label} · ${count} subs
Parent label,Bovenliggend label
Parent link,Bovenliggende link
Image alt text,Alt-tekst afbeelding
Sub-categories,Subcategorieën
"Min 1, max 8.","Min. 1, max. 8."
Add sub-category,Subcategorie toevoegen
Dresses,Jurken
Columns (desktop),Kolommen (desktop)
On tablets the layout is always 2 columns.,Op tablets is de lay-out altijd 2 kolommen.
Make parent image a link,Bovenliggende afbeelding tot link maken
"When off, only the sub-chips and parent label are interactive.","Indien uit, zijn alleen de sub-chips en het bovenliggende label interactief."
Title,Titel
e.g. Free shipping,bijv. Gratis verzending
Optional supporting line below the title.,Optionele ondersteunende regel onder de titel.
Icon,Pictogram
Optional. SVG or raster image. Hidden when icons are turned off globally.,Optioneel. SVG- of rasterafbeelding. Verborgen wanneer pictogrammen globaal zijn uitgeschakeld.
Optional. Makes the whole cell clickable.,Optioneel. Maakt de hele cel klikbaar.
"Auto matches the item count, capped at 4.","Auto volgt het aantal items, met een maximum van 4."
3,3
4,4
Icon size,Pictogramgrootte
Show icons,Pictogrammen tonen
Master switch. Items without an icon URL are unaffected.,Hoofdschakelaar. Items zonder pictogram-URL worden niet beïnvloed.
Show divider,Scheiding tonen
Vertical line between cells.,Verticale lijn tussen cellen.
Collection,Collectie
Search collections…,Collecties zoeken…
No collections match “${value}”.,Geen collecties komen overeen met “${value}”.
You have no collections yet.,Je hebt nog geen collecties.
Please select a collection,Selecteer een collectie
"Defaults to ""${name}"" (the collection's name).","Standaard ""${name}"" (de naam van de collectie)."
Defaults to the picked collection's name.,Standaard de naam van de gekozen collectie.
Collection name,Collectienaam
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,Standaard de beschrijving van de collectie. Door dit in te stellen vervang je de opgemaakte beschrijving door platte tekst.
e.g. Hand-picked styles for the season.,bijv. Met de hand geselecteerde stijlen voor het seizoen.
View all link,Alles bekijken-link
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.","Optioneel. Verborgen indien leeg. Kies een categorie, product of pagina, of plak een aangepaste URL."
"Optional. Defaults to ""View all →"".","Optioneel. Standaard ""Alles bekijken →""."
View all →,Alles bekijken →
Total products,Totaal aantal producten
Number of products to display.,Aantal weer te geven producten.
Products per row,Producten per rij
Grid columns (1–6 typical).,Rasterkolommen (1–6 gebruikelijk).
Count is required,Aantal is vereist
e.g. 8,bijv. 8
Count per row is required,Aantal per rij is vereist
e.g. 4,bijv. 4
Cover image,Omslagafbeelding
COLLECTION,COLLECTIE
"Defaults to ""${pickedName}"".","Standaard ""${pickedName}""."
Defaults to the picked collection name.,Standaard de naam van de gekozen collectie.
Optional. One or two sentences of editorial copy.,Optioneel. Een of twee zinnen redactionele tekst.
"Linen, cotton, easy stuff.","Linnen, katoen, makkelijke materialen."
Preview product count,Aantal productvoorbeelden
2 (1×2),2 (1×2)
4 (2×2),4 (2×2)
Please pick a collection,Kies een collectie
Add collection,Collectie toevoegen
Row heading,Rijkop
The Linen Edit,The Linen Edit
Optional. Hidden when empty.,Optioneel. Verborgen indien leeg.
View all label,Alles bekijken-label
Show price,Prijs tonen
Show divider between rows,Scheiding tussen rijen tonen
Selected:,Geselecteerd:
Image override,Afbeelding overschrijven
Override image,Afbeelding overschrijven
Override image (optional),Afbeelding overschrijven (optioneel)
Leave empty to use the product's primary image.,Laat leeg om de hoofdafbeelding van het product te gebruiken.
Small label above the product name. Optional.,Klein label boven de productnaam. Optioneel.
FEATURED,UITGELICHT
Editorial copy,Redactionele tekst
Overrides the product's own description in this context. Leave blank to hide.,Overschrijft in deze context de eigen beschrijving van het product. Laat leeg om te verbergen.
Two lines of copy explaining why this product is being spotlighted right now.,Twee regels tekst die uitleggen waarom dit product nu wordt uitgelicht.
Please pick a product,Kies een product
e.g. On orders over $50,bijv. Bij bestellingen boven $50
Text block,Tekstblok
Menu,Menu
Footer menu,Footermenu
Banner,Banner
Simple Slideshow,Eenvoudige diavoorstelling
Brand story,Merkverhaal
Category mosaic,Categoriemozaïek
Tiered categories,Gelaagde categorieën
Bento grid,Bento-raster
Separator,Scheidingslijn
Section,Sectie
Split feature,Gesplitste feature
Announcement bar,Aankondigingsbalk
Coupon block,Couponblok
FAQ block,FAQ-blok
Trust strip,Vertrouwensbalk
Collection products,Collectieproducten
Collection stack,Collectiestapel
Collection spotlight,Collectie in de schijnwerpers
Product hero,Producthero
Layout container with 1–4 columns for nesting widgets.,Lay-outcontainer met 1–4 kolommen voor het nesten van widgets.
Add rich text content,Voeg rijke-tekstinhoud toe
Navigation links,Navigatielinks
Multi-column list of footer links — a titled column of navigation links per group.,Lijst met footerlinks in meerdere kolommen — een kolom met titel en navigatielinks per groep.
A single hero image with optional overlay copy and CTAs.,Eén hero-afbeelding met optionele overlaytekst en CTA's.
Rotating image carousel,Roterende afbeeldingscarrousel
Editorial block combining an image and long-form brand narrative. Four layout variants.,Redactioneel blok dat een afbeelding combineert met een uitgebreid merkverhaal. Vier lay-outvarianten.
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.","Een raster van 3–6 categorietegels voor het primaire ""Shop op categorie""-ingangspunt."
A two-level nav block: parent category image plus a row of sub-category chips.,Een navigatieblok met twee niveaus: afbeelding van de hoofdcategorie plus een rij subcategoriechips.
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,Een asymmetrisch mozaïek van CTA-tegels — één grote hero plus 1–4 ondersteunende tegels.
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.","Verticale ruimte tussen widgets, met een optionele scheidingslijn. Mobiel schaalt automatisch kleiner."
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,Gestileerde neerzetbare band die andere widgets omhult. Schakel tussen breed (rand-tot-rand) en omkaderd (themacontainer).
A 50/50 image + copy promo block with optional CTA. The canonical promo moment widget.,Een 50/50-promoblok met afbeelding + tekst en optionele CTA. De standaard promomoment-widget.
A thin top-of-page bar with one or more rotating announcements.,Een dunne balk bovenaan de pagina met een of meer roterende aankondigingen.
A promo panel with a copyable discount code and CTA.,Een promopaneel met een kopieerbare kortingscode en CTA.
Flexible content block mixing prose sections and accordion FAQ groups.,Flexibel inhoudsblok dat tekstsecties en accordeon-FAQ-groepen combineert.
"A row of value-prop items (free shipping, easy returns, etc.) for below-the-hero or above-the-footer reinforcement.","Een rij met waardepunten (gratis verzending, eenvoudig retourneren, enz.) ter versterking onder de hero of boven de footer."
A list of products from a collection,Een lijst met producten uit een collectie
"Stacked rows of collections, each with a heading, view-all link, and a strip of products.","Gestapelde rijen collecties, elk met een kop, een 'alles bekijken'-link en een strip met producten."
"A featured collection with cover image, editorial copy, and a small product preview grid.","Een uitgelichte collectie met omslagafbeelding, redactionele tekst en een klein voorbeeldraster met producten."
"A single-product spotlight — image, name, price, and a link to the full product page.","Eén product in de schijnwerpers — afbeelding, naam, prijs en een link naar de volledige productpagina."
