Welcome Back!,மீண்டும் வரவேற்கிறோம்!
Manage tax classes and tax rates for different regions.,பல்வேறு பகுதிகளுக்கான வரி வகுப்புகள் மற்றும் வரி விகிதங்களை நிர்வகிக்கவும்.
Manage the SEO settings of the category.,வகையின் SEO அமைப்புகளை நிர்வகிக்கவும்.
Manage the SEO settings.,SEO அமைப்புகளை நிர்வகிக்கவும்.
Manage the attributes.,பண்புகளை நிர்வகிக்கவும்.
Manage the collections associated with this product.,இந்தப் பொருளுடன் தொடர்புடைய தொகுப்புகளை நிர்வகிக்கவும்.
Manage the general information of the category.,வகையின் பொதுவான தகவலை நிர்வகிக்கவும்.
Manage the general information of the product.,பொருளின் பொதுவான தகவலை நிர்வகிக்கவும்.
Manage the inventory settings of the product.,தயாரிப்பின் சரக்கு அமைப்புகளை நிர்வகிக்கவும்.
Manage the products assigned to this category.,இந்த வகைக்கு ஒதுக்கப்பட்ட தயாரிப்புகளை நிர்வகிக்கவும்.
Manage the products assigned to this collection.,இந்தத் தொகுப்பிற்கு ஒதுக்கப்பட்ட தயாரிப்புகளை நிர்வகிக்கவும்.
Manage the shipping settings of the product.,தயாரிப்பின் அனுப்புதல் அமைப்புகளை நிர்வகிக்கவும்.
Manage the status settings of the category.,வகையின் நிலை அமைப்புகளை நிர்வகிக்கவும்.
Manage the variant group of the product.,தயாரிப்பின் மாறுபாட்டுக் குழுவை நிர்வகிக்கவும்.
Marketing,சந்தைப்படுத்தல்
Max ${unit},அதிகபட்சம் ${unit}
Max is required,அதிகபட்சம் தேவை
Maximum,அதிகபட்சம்
Maximum amount is ${value} ${currency},அதிகபட்ச தொகை ${value} ${currency}
Maximum quantity is required,அதிகபட்ச அளவு தேவை
Maximum quantity must be greater than or equal to 0,அதிகபட்ச அளவு 0 ஐ விட அதிகமாகவோ அல்லது சமமாகவோ இருக்க வேண்டும்
Media,ஊடகம்
Meta Description,மெட்டா விளக்கம்
Meta Title,மெட்டா தலைப்பு
Meta Title is required,மெட்டா தலைப்பு தேவை
Meta description,மெட்டா விளக்கம்
Meta description is required,மெட்டா விளக்கம் தேவை
Meta title,மெட்டா தலைப்பு
Meta title is required,மெட்டா தலைப்பு தேவை
Method,முறை
Method created,முறை உருவாக்கப்பட்டது
Method name,முறையின் பெயர்
Method name is required,முறையின் பெயர் தேவை
Method updated,முறை புதுப்பிக்கப்பட்டது
Methods →,முறைகள் →
Min ${unit},குறைந்தபட்சம் ${unit}
Min Price,குறைந்தபட்ச விலை
Min Weight,குறைந்தபட்ச எடை
Min is required,குறைந்தபட்சம் தேவை
Min price is required,குறைந்தபட்ச விலை தேவை
Min weight is required,குறைந்தபட்ச எடை தேவை
Minimum purchase amount,குறைந்தபட்ச கொள்முதல் தொகை
Minimum purchase qty,குறைந்தபட்ச கொள்முதல் அளவு
Minimum purchase quantity,குறைந்தபட்ச கொள்முதல் அளவு
Minimum purchased amount. This only applies to registered customers.,குறைந்தபட்ச வாங்கிய தொகை. இது பதிவுசெய்யப்பட்ட வாடிக்கையாளர்களுக்கு மட்டுமே பொருந்தும்.
Minimum quantity is required,குறைந்தபட்ச அளவு தேவை
Missing name,பெயர் இல்லை
Money,பணம்
Name is required.,பெயர் தேவை.
Navigation,வழிசெலுத்தல்
New Attribute,புதிய பண்பு
New Category,புதிய வகை
New Collection,புதிய தொகுப்பு
New Coupon,புதிய கூப்பன்
New Page,புதிய பக்கம்
New Variant,புதிய மாறுபாடு
New coupon,புதிய கூப்பன்
New rate,புதிய கட்டணம்
No collections,தொகுப்புகள் இல்லை
No editable routes.,திருத்தக்கூடிய பாதைகள் இல்லை.
No file selected,எந்தக் கோப்பும் தேர்ந்தெடுக்கப்படவில்லை
No methods yet — add one to start offering Core shipping.,இன்னும் முறைகள் இல்லை — Core அனுப்புதலை வழங்கத் தொடங்க ஒன்றைச் சேர்க்கவும்.
No packages yet. Create one — shippable products require a package.,இன்னும் தொகுப்புகள் இல்லை. ஒன்றை உருவாக்கவும் — அனுப்பக்கூடிய தயாரிப்புகளுக்கு ஒரு தொகுப்பு தேவை.
No product to display.,காண்பிக்க தயாரிப்பு இல்லை.
"No providers attached. Click ""Attach Provider"" to add one.","வழங்குநர்கள் இணைக்கப்படவில்லை. ஒன்றைச் சேர்க்க ""Attach Provider"" ஐ கிளிக் செய்யவும்."
"No rates yet — click ""Add Rate"" to offer this method in a zone.","இன்னும் கட்டணங்கள் இல்லை — ஒரு மண்டலத்தில் இந்த முறையை வழங்க ""Add Rate"" ஐ கிளிக் செய்யவும்."
"No results for ""${keyword}""","""${keyword}"" க்கான முடிவுகள் இல்லை"
No routes have opted into page-builder editing yet.,எந்தப் பாதையும் இன்னும் page-builder திருத்துதலைத் தேர்ந்தெடுக்கவில்லை.
No shipping required?,அனுப்புதல் தேவையில்லையா?
No subdivisions available — whole country is covered.,துணைப்பிரிவுகள் எதுவும் இல்லை — முழு நாடும் உள்ளடக்கப்பட்டுள்ளது.
No widgets available.,விட்ஜெட்டுகள் எதுவும் இல்லை.
"No widgets match ""${query}"".","""${query}"" க்கு பொருந்தும் விட்ஜெட்டுகள் இல்லை."
No widgets on this route yet.,இந்தப் பாதையில் இன்னும் விட்ஜெட்டுகள் இல்லை.
No zones,மண்டலங்கள் இல்லை
No zones found,மண்டலங்கள் எதுவும் கிடைக்கவில்லை
Not visible individually,தனித்தனியாகக் காணக்கூடியதல்ல
Nothing to publish,வெளியிட எதுவும் இல்லை
Nothing to redo on this page,இந்தப் பக்கத்தில் மீண்டும் செய்ய எதுவும் இல்லை
Nothing to undo on this page,இந்தப் பக்கத்தில் செயல்தவிர்க்க எதுவும் இல்லை
Number,எண்
Option text is required,விருப்பத் தேர்வு உரை தேவை
Optional. Added to the shipping weight for quotes and labels.,விருப்பத்திற்குரியது. மேற்கோள்கள் மற்றும் லேபிள்களுக்கான அனுப்புதல் எடையில் சேர்க்கப்படும்.
Order Number,ஆர்டர் எண்
Order conditions,ஆர்டர் நிபந்தனைகள்
Orders (${count}),ஆர்டர்கள் (${count})
Other,மற்றவை
Other pages keep their pending changes.,மற்ற பக்கங்கள் தங்கள் நிலுவையிலுள்ள மாற்றங்களை வைத்திருக்கும்.
Overlaps with existing rollout: ${plans}.,ஏற்கனவே உள்ள வெளியீட்டுடன் ஒன்றுடன் ஒன்று மேலடுக்காகிறது: ${plans}.
Overlaps with existing rollouts: ${plans}.,ஏற்கனவே உள்ள வெளியீடுகளுடன் ஒன்றுடன் ஒன்று மேலடுக்காகிறது: ${plans}.
Package,தொகுப்பு
Package created,தொகுப்பு உருவாக்கப்பட்டது
Package deleted,தொகுப்பு நீக்கப்பட்டது
Package saved,தொகுப்பு சேமிக்கப்பட்டது
Packages,தொகுப்புகள்
Page Name,பக்கத்தின் பெயர்
Page Not Found,பக்கம் கிடைக்கவில்லை
Page builder,பக்க உருவாக்கி
Page builder canvas,பக்க உருவாக்கி கேன்வாஸ்
Page created successfully!,பக்கம் வெற்றிகரமாக உருவாக்கப்பட்டது!
Page is required,பக்கம் தேவை
Page name is required,பக்கத்தின் பெயர் தேவை
Pages,பக்கங்கள்
Parent category,பெற்றோர் வகை
Payment Setting,கட்டண அமைப்பு
Payment mode,கட்டண முறை
Payment setting saved,கட்டண அமைப்பு சேமிக்கப்பட்டது
Paypal Payment,Paypal கட்டணம்
Pending start time,நிலுவையிலுள்ள தொடக்க நேரம்
Percentage discount to entire order,முழு ஆர்டருக்கும் சதவீத தள்ளுபடி
Percentage discount to specific products,குறிப்பிட்ட தயாரிப்புகளுக்கு சதவீத தள்ளுபடி
Phone,தொலைபேசி
Pick a start time to schedule this rollout.,இந்த வெளியீட்டைத் திட்டமிட ஒரு தொடக்க நேரத்தைத் தேர்வுசெய்யவும்.
Pick a widget below to insert as a child.,குழந்தையாகச் செருக கீழே ஒரு விட்ஜெட்டைத் தேர்வுசெய்யவும்.
Pick up where you left off — ${count} pending changes,நீங்கள் நிறுத்திய இடத்திலிருந்து தொடரவும் — ${count} நிலுவையிலுள்ள மாற்றங்கள்
Pick up where you left off — 1 pending change,நீங்கள் நிறுத்திய இடத்திலிருந்து தொடரவும் — 1 நிலுவையிலுள்ள மாற்றம்
Pin drawer open,டிராயரை திறந்த நிலையில் பின் செய்யவும்
Pin — keep drawer open across canvas clicks,பின் — கேன்வாஸ் கிளிக்குகள் முழுவதும் டிராயரைத் திறந்த நிலையில் வைக்கவும்
Placed on: ${routes},வைக்கப்பட்டது: ${routes}
Placements,இடங்கள்
Postal Code,அஞ்சல் குறியீடு
"Postcode (e.g., ""90210""). Empty for all postcodes.","அஞ்சல் குறியீடு (எ.கா., ""90210""). அனைத்து அஞ்சல் குறியீடுகளுக்கும் காலியாக விடவும்."
Preselected for new products. Exactly one package is the default.,புதிய தயாரிப்புகளுக்கு முன்தேர்வு செய்யப்பட்டது. சரியாக ஒரு தொகுப்பு இயல்புநிலை ஆகும்.
Preview,முன்னோட்டம்
Price-based tiers,விலை அடிப்படையிலான அடுக்குகள்
Priority,முன்னுரிமை
Priority is required,முன்னுரிமை தேவை
Product Name,தயாரிப்பின் பெயர்
Product Status,தயாரிப்பு நிலை
Product created successfully,தயாரிப்பு வெற்றிகரமாக உருவாக்கப்பட்டது
Product updated successfully,தயாரிப்பு வெற்றிகரமாக புதுப்பிக்கப்பட்டது
Products (${count}),தயாரிப்புகள் (${count})
Promotion,விளம்பரம்
Proportional allocation based on cart items,வண்டி உருப்படிகளின் அடிப்படையில் விகிதாசார ஒதுக்கீடு
Provide the SEO details for the CMS page.,CMS பக்கத்திற்கான SEO விவரங்களை வழங்கவும்.
Provide the basic information for the CMS page.,CMS பக்கத்திற்கான அடிப்படை தகவலை வழங்கவும்.
Provider,வழங்குநர்
Province Restrictions,மாகாண கட்டுப்பாடுகள்
"Province code (e.g., ""CA""). Use ""*"" for all provinces.","மாகாண குறியீடு (எ.கா., ""CA""). அனைத்து மாகாணங்களுக்கும் ""*"" ஐப் பயன்படுத்தவும்."
Provinces,மாகாணங்கள்
Provinces is required,மாகாணங்கள் தேவை
Provinces:,மாகாணங்கள்:
Publish failed,வெளியிடுதல் தோல்வியடைந்தது
Publish now,இப்போது வெளியிடவும்
Publish to the live storefront,நேரடி கடைமுகப்பில் வெளியிடவும்
Publishable Key,வெளியிடக்கூடிய விசை
Publishing…,வெளியிடுகிறது…
Qty is required,அளவு தேவை
Quick links,விரைவு இணைப்புகள்
Rate,கட்டணம்
Rate added,கட்டணம் சேர்க்கப்பட்டது
Rate is required,கட்டணம் தேவை
Rate removed,கட்டணம் அகற்றப்பட்டது
Rate status,கட்டண நிலை
Rate updated,கட்டணம் புதுப்பிக்கப்பட்டது
Redo (⇧⌘Z) — re-applies the last undone edit on this page,மீண்டும் செய் (⇧⌘Z) — இந்தப் பக்கத்தில் கடைசியாக செயல்தவிர்க்கப்பட்ட திருத்தத்தை மீண்டும் பயன்படுத்துகிறது
Redo last undone change on this page,இந்தப் பக்கத்தில் கடைசியாக செயல்தவிர்க்கப்பட்ட மாற்றத்தை மீண்டும் செய்யவும்
Reference,குறிப்பு
Refund,பணத்திரும்பல்
Refund amount,பணத்திரும்பத் தொகை
Remove Zone,மண்டலத்தை அகற்று
Remove placement,இடநிலையை அகற்று
Remove rate,விகிதத்தை அகற்று
Remove this rate?,இந்த விகிதத்தை அகற்றவா?
Removed,அகற்றப்பட்டது
Resize settings drawer,அமைப்புகள் இழுப்பறையை மறுஅளவாக்கு
"Results for ""${keyword}""","""${keyword}"" க்கான முடிவுகள்"
Revert all pages to saved state,அனைத்து பக்கங்களையும் சேமித்த நிலைக்கு மீட்டெடு
Revert everything,அனைத்தையும் மீட்டெடு
Revert this page,இந்தப் பக்கத்தை மீட்டெடு
Revert this page only,இந்தப் பக்கத்தை மட்டும் மீட்டெடு
Revert to saved state?,சேமித்த நிலைக்கு மீட்டெடுக்கவா?
Reverting…,மீட்டெடுக்கிறது…
Rich text,ரிச் டெக்ஸ்ட்
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,இந்த வெளியீடு கடைசியாக சேமிக்கப்பட்டதிலிருந்து நீங்கள் செய்த மாற்றங்களை மீட்டெடுக்கவும். நேரடி கடைமுகம் பாதிக்கப்படாது — அது ஏற்கனவே சேமித்த நிலையைப் பிரதிபலிக்கிறது.
SEO,SEO
SEO Information,SEO தகவல்
SKU is required,SKU தேவை
Sale,விற்பனை
Sandbox,சாண்ட்பாக்ஸ்
Save Settings,அமைப்புகளைச் சேமி
Save as rollout plan,வெளியீட்டுத் திட்டமாகச் சேமி
Save as rollout plan and leave,வெளியீட்டுத் திட்டமாகச் சேமித்து வெளியேறு
Save changes,மாற்றங்களைச் சேமி
Save failed,சேமிப்பு தோல்வியடைந்தது
Save method,முறையைச் சேமி
Save rate,விகிதத்தைச் சேமி
Saving…,சேமிக்கிறது…
Schedule failed,திட்டமிடல் தோல்வியடைந்தது
Scheduled,திட்டமிடப்பட்டது
Search engine optimize,தேடுபொறி உகந்தமயமாக்கல்
Search widgets,விட்ஜெட்களைத் தேடு
Secret Key,இரகசிய விசை
Select Category,வகையைத் தேர்ந்தெடு
Select Parent Category,முதன்மை வகையைத் தேர்ந்தெடு
Select Products by SKU,SKU மூலம் தயாரிப்புகளைத் தேர்ந்தெடு
Select a provider first,முதலில் ஒரு வழங்குநரைத் தேர்ந்தெடு
Select a provider…,ஒரு வழங்குநரைத் தேர்ந்தெடு…
Select an option,ஒரு விருப்பத்தைத் தேர்ந்தெடு
Select category,வகையைத் தேர்ந்தெடு
Select countries,நாடுகளைத் தேர்ந்தெடு
Select operator,இயக்கியைத் தேர்ந்தெடு
Select options,விருப்பங்களைத் தேர்ந்தெடு
Select page,பக்கத்தைத் தேர்ந்தெடு
Select products to add to this collection.,இந்த தொகுப்பில் சேர்க்க தயாரிப்புகளைத் தேர்ந்தெடுக்கவும்.
Select the list of attribute,பண்புப் பட்டியலைத் தேர்ந்தெடு
Select this option if the product is a digital product or service that does not require shipping.,தயாரிப்பு கப்பல் போக்குவரத்து தேவைப்படாத ஒரு டிஜிட்டல் தயாரிப்பு அல்லது சேவையாக இருந்தால் இந்த விருப்பத்தைத் தேர்ந்தெடுக்கவும்.
Set a start time to schedule.,திட்டமிட ஒரு தொடக்க நேரத்தை அமைக்கவும்.
Set the status and visibility of the product.,தயாரிப்பின் நிலை மற்றும் தெரிவுநிலையை அமைக்கவும்.
Share,பகிர்
Shipping Cost,கப்பல் போக்குவரத்துச் செலவு
Shipping Providers,கப்பல் போக்குவரத்து வழங்குநர்கள்
Shipping address,கப்பல் போக்குவரத்து முகவரி
Shipping cost is required,கப்பல் போக்குவரத்துச் செலவு தேவை
Shipping provider setting saved,கப்பல் போக்குவரத்து வழங்குநர் அமைப்பு சேமிக்கப்பட்டது
Shipping tax class,கப்பல் போக்குவரத்து வரி வகுப்பு
Short text,குறுகிய உரை
Show global areas,உலகளாவிய பகுதிகளைக் காட்டு
Show on routes,வழித்தடங்களில் காட்டு
Show products?,தயாரிப்புகளைக் காட்டவா?
Show this widget on every page,இந்த விட்ஜெட்டை ஒவ்வொரு பக்கத்திலும் காட்டு
Size (L × W × H),அளவு (நீ × அ × உ)
Sort,வரிசைப்படுத்து
Sort order is required,வரிசை வரிசைப்படுத்தல் தேவை
Sort order must be a positive number,வரிசை வரிசைப்படுத்தல் ஒரு நேர்மறை எண்ணாக இருக்க வேண்டும்
Start,தொடங்கு
Start a page-builder session,பக்க உருவாக்கி அமர்வைத் தொடங்கு
Start date,தொடக்க தேதி
Start new changeset,புதிய மாற்றத்தொகுப்பைத் தொடங்கு
Start time is invalid.,தொடக்க நேரம் செல்லாது.
State Date,நிலை தேதி
Status is required,நிலை தேவை
Stay,இரு
Stay on this page,இந்தப் பக்கத்தில் இரு
Stock Availability,இருப்பு கிடைப்பு
Stop highlighting global areas,உலகளாவிய பகுதிகளை முன்னிலைப்படுத்துவதை நிறுத்து
Store Address,கடை முகவரி
Store Description,கடை விளக்கம்
Store Email,கடை மின்னஞ்சல்
Store Name,கடை பெயர்
Store Phone Number,கடை தொலைபேசி எண்
Store Setting,கடை அமைப்பு
Store Settings,கடை அமைப்புகள்
Store address,கடை முகவரி
Storefront,கடைமுகம்
Stripe Payment,Stripe பணம் செலுத்துதல்
Tablet,டேப்லெட்
Take our survey,எங்கள் கணக்கெடுப்பில் பங்கேற்கவும்
Target Products,இலக்கு தயாரிப்புகள்
Tax Class,வரி வகுப்பு
Tax calculation configuration,வரி கணக்கீட்டு கட்டமைப்பு
Tax class name,வரி வகுப்பு பெயர்
Tax class name is required,வரி வகுப்பு பெயர் தேவை
Tax classes,வரி வகுப்புகள்
Tax rate has been saved successfully!,வரி விகிதம் வெற்றிகரமாகச் சேமிக்கப்பட்டது!
Tax setting has been saved successfully!,வரி அமைப்பு வெற்றிகரமாகச் சேமிக்கப்பட்டது!
The box or envelope this product ships in. Applies to all variants of this product.,இந்த தயாரிப்பு அனுப்பப்படும் பெட்டி அல்லது உறை. இந்த தயாரிப்பின் அனைத்து வகைகளுக்கும் பொருந்தும்.
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,நீங்கள் அனுப்பும் பெட்டிகள் மற்றும் உறைகள். கப்பல் அனுப்பக்கூடிய ஒவ்வொரு தயாரிப்பும் ஒன்றைக் குறிப்பிடுகிறது — அதன் பரிமாணங்கள் மற்றும் வெற்று எடை கப்பல் போக்குவரத்து மேற்கோள்கள் மற்றும் லேபிள்களை இயக்குகின்றன.
The conditions related to the customer for the coupon to be applied.,கூப்பன் பயன்படுத்தப்படுவதற்கு வாடிக்கையாளர் தொடர்பான நிபந்தனைகள்.
The conditions related to the order for the coupon to be applied.,கூப்பன் பயன்படுத்தப்படுவதற்கு ஆர்டர் தொடர்பான நிபந்தனைகள்.
The default package cannot be deleted,இயல்புநிலை தொகுப்பை நீக்க முடியாது
The draft holds ${count} saved changes you can publish later.,வரைவில் நீங்கள் பின்னர் வெளியிடக்கூடிய ${count} சேமித்த மாற்றங்கள் உள்ளன.
The draft holds 1 saved change you can publish later.,வரைவில் நீங்கள் பின்னர் வெளியிடக்கூடிய 1 சேமித்த மாற்றம் உள்ளது.
The draft is deleted.,வரைவு நீக்கப்பட்டது.
The draft itself is deleted.,வரைவே நீக்கப்பட்டது.
The general information about the coupon.,கூப்பன் பற்றிய பொதுவான தகவல்.
"The language of the admin panel, independent of the storefront.","கடைமுகத்திலிருந்து சுயாதீனமாக, நிர்வாகப் பலகத்தின் மொழி."
The method will no longer apply to this zone.,இந்த முறை இனி இந்த மண்டலத்திற்குப் பொருந்தாது.
The minimum quantity of items required in the order to qualify for this coupon.,இந்த கூப்பனுக்குத் தகுதிபெற ஆர்டரில் தேவைப்படும் குறைந்தபட்ச உருப்படிகளின் அளவு.
The minimum total amount required for the order to qualify for this coupon.,இந்த கூப்பனுக்குத் தகுதிபெற ஆர்டருக்குத் தேவைப்படும் குறைந்தபட்ச மொத்தத் தொகை.
The rollout plan,வெளியீட்டுத் திட்டம்
The storefront's primary language. Pages in this language have no URL prefix.,கடைமுகத்தின் முதன்மை மொழி. இந்த மொழியிலுள்ள பக்கங்களுக்கு URL முன்னொட்டு இல்லை.
The type of discount applied by the coupon.,கூப்பனால் பயன்படுத்தப்படும் தள்ளுபடியின் வகை.
The zone this rate applies to.,இந்த விகிதம் பொருந்தும் மண்டலம்.
"There is no ""Select"" attribute available.","""Select"" பண்பு எதுவும் கிடைக்கவில்லை."
There is no attribute to display,காண்பிக்க பண்பு எதுவும் இல்லை
There is no category to display,காண்பிக்க வகை எதுவும் இல்லை
There is no collections to display,காண்பிக்க தொகுப்புகள் எதுவும் இல்லை
There is no coupon to display,காண்பிக்க கூப்பன் எதுவும் இல்லை
There is no customer to display,காண்பிக்க வாடிக்கையாளர் எதுவும் இல்லை
There is no order to display,காண்பிக்க ஆர்டர் எதுவும் இல்லை
There is no page to display,காண்பிக்க பக்கம் எதுவும் இல்லை
There is no widget to display,காண்பிக்க விட்ஜெட் எதுவும் இல்லை
There was an error fetching attribute groups.,பண்புக் குழுக்களைப் பெறுவதில் பிழை ஏற்பட்டது.
There was an error fetching categories.,வகைகளைப் பெறுவதில் பிழை ஏற்பட்டது.
There was an error fetching collections.,தொகுப்புகளைப் பெறுவதில் பிழை ஏற்பட்டது.
There was an error fetching file browser APIs.,கோப்பு உலாவி API-களைப் பெறுவதில் பிழை ஏற்பட்டது.
There was an error fetching products.,தயாரிப்புகளைப் பெறுவதில் பிழை ஏற்பட்டது.
This cannot be undone. Packages still assigned to products can't be removed.,இதைச் செயல்தவிர்க்க முடியாது. இன்னும் தயாரிப்புகளுக்கு ஒதுக்கப்பட்ட தொகுப்புகளை அகற்ற முடியாது.
This changeset has no operations yet.,இந்த மாற்றத்தொகுப்பில் இன்னும் செயல்பாடுகள் எதுவும் இல்லை.
This field is required,இந்த புலம் தேவை
This is the URL path for the CMS page.,இது CMS பக்கத்திற்கான URL பாதை.
This is the address used to calculate tax rates.,இது வரி விகிதங்களைக் கணக்கிட பயன்படும் முகவரி.
This is the meta title for the CMS page.,இது CMS பக்கத்திற்கான மெட்டா தலைப்பு.
This is the name of the CMS page that will be displayed in the admin panel.,இது நிர்வாகப் பலகத்தில் காண்பிக்கப்படும் CMS பக்கத்தின் பெயர்.
This is the tax class applied to shipping costs.,இது கப்பல் போக்குவரத்துச் செலவுகளுக்குப் பயன்படுத்தப்படும் வரி வகுப்பு.
This product has some variants like color or size?,இந்த தயாரிப்பில் நிறம் அல்லது அளவு போன்ற சில வகைகள் உள்ளனவா?
This provider has no per-zone configuration. Methods and per-zone rates are managed in the provider's own admin area.,இந்த வழங்குநருக்கு ஒவ்வொரு மண்டலத்திற்கான கட்டமைப்பு இல்லை. முறைகள் மற்றும் ஒவ்வொரு மண்டல விகிதங்கள் வழங்குநரின் சொந்த நிர்வாகப் பகுதியில் நிர்வகிக்கப்படுகின்றன.
This removes the zone along with its provider attachments and rates. This cannot be undone.,இது மண்டலத்தை அதன் வழங்குநர் இணைப்புகள் மற்றும் விகிதங்களுடன் சேர்த்து அகற்றுகிறது. இதைச் செயல்தவிர்க்க முடியாது.
This route has unpublished changes in your draft,இந்த வழித்தடத்தில் உங்கள் வரைவில் வெளியிடப்படாத மாற்றங்கள் உள்ளன
This will be saved as a pending change you can publish or discard.,இது நீங்கள் வெளியிடக்கூடிய அல்லது நிராகரிக்கக்கூடிய நிலுவையிலுள்ள மாற்றமாகச் சேமிக்கப்படும்.
Tiered,அடுக்கு வரிசை
Type is required,வகை தேவை
URL Key,URL விசை
URL Key is required,URL விசை தேவை
"URL Key must be lowercase and can only contain letters, numbers, and hyphens","URL விசை சிறிய எழுத்தில் இருக்க வேண்டும், மேலும் எழுத்துகள், எண்கள் மற்றும் இடைக்கோடுகளை மட்டுமே கொண்டிருக்க முடியும்"
URL key,URL விசை
URL key is required,URL விசை தேவை
URL key must be lowercase and can only contain alphanumeric characters and hyphens,"URL விசை சிறிய எழுத்தில் இருக்க வேண்டும், மேலும் எழுத்தெண் வரியுருக்கள் மற்றும் இடைக்கோடுகளை மட்டுமே கொண்டிருக்க முடியும்"
Unassign,ஒதுக்கீட்டை நீக்கு
Undo (⌘Z) — undoes your last edit on this page,செயல்தவிர் (⌘Z) — இந்தப் பக்கத்தில் உங்கள் கடைசி திருத்தத்தை மீட்டெடுக்கிறது
Undo / Redo,செயல்தவிர் / மீண்டும்செய்
Undo last change on this page,இந்தப் பக்கத்தில் கடைசி மாற்றத்தைச் செயல்தவிர்
Unknown,தெரியாதது
Unlink,இணைப்பு நீக்கு
Unpin drawer,டிராயரை அவிழ்
Unpin — drawer will close when you click empty canvas,அவிழ் — காலியான கேன்வாஸை கிளிக் செய்தால் டிராயர் மூடப்படும்
Unpublished changes,வெளியிடப்படாத மாற்றங்கள்
Unsaved changes,சேமிக்கப்படாத மாற்றங்கள்
Update the name and active window for this rollout plan. Content edits are managed separately in the editor.,இந்த ரோல்அவுட் திட்டத்திற்கான பெயரையும் செயலில் உள்ள சாளரத்தையும் புதுப்பிக்கவும். உள்ளடக்கத் திருத்தங்கள் எடிட்டரில் தனியாக நிர்வகிக்கப்படுகின்றன.
Update the variant details and attributes here.,இங்கே மாறுபாட்டு விவரங்களையும் பண்புகளையும் புதுப்பிக்கவும்.
Updated,புதுப்பிக்கப்பட்டது
Upload an image for the category.,வகைக்காக ஒரு படத்தைப் பதிவேற்றவும்.
Used Times,பயன்படுத்தப்பட்ட முறைகள்
Value is required,மதிப்பு தேவை
Variant Group,மாறுபாட்டுக் குழு
Variant created successfully,மாறுபாடு வெற்றிகரமாக உருவாக்கப்பட்டது
Variant updated successfully,மாறுபாடு வெற்றிகரமாக புதுப்பிக்கப்பட்டது
Version ${version},பதிப்பு ${version}
Visibility,தெரிவுநிலை
Visibility determines where the product appears in the store. It does not affect the saleability of the product.,கடையில் தயாரிப்பு எங்கு தோன்றுகிறது என்பதைத் தெரிவுநிலை தீர்மானிக்கிறது. இது தயாரிப்பின் விற்பனைத் தன்மையைப் பாதிக்காது.
Visitors will see the new layout on their next page load.,பார்வையாளர்கள் தங்களின் அடுத்த பக்க ஏற்றத்தில் புதிய தளவமைப்பைக் காண்பார்கள்.
Webhook Secret Key,Webhook ரகசிய விசை
Weight,எடை
Weight must be 0 or greater,எடை 0 அல்லது அதற்கு மேற்பட்டதாக இருக்க வேண்டும்
Weight must be a positive number,எடை நேர்மறை எண்ணாக இருக்க வேண்டும்
Weight-based tiers,எடை அடிப்படையிலான அடுக்குகள்
Widget Settings,விட்ஜெட் அமைப்புகள்
Widget created successfully!,விட்ஜெட் வெற்றிகரமாக உருவாக்கப்பட்டது!
Widgets,விட்ஜெட்கள்
Width,அகலம்
Width is required,அகலம் தேவை
Width must be greater than 0,அகலம் 0 ஐ விட அதிகமாக இருக்க வேண்டும்
Will roll out automatically: ${range},தானாகவே வெளியிடப்படும்: ${range}
Working…,செயல்படுகிறது…
Worldwide,உலகம் முழுவதும்
X,X
Y,Y
You have ${count} changes in this draft that haven’t been published yet.,இந்த வரைவில் இன்னும் வெளியிடப்படாத ${count} மாற்றங்கள் உங்களிடம் உள்ளன.
You have ${count} changes still saving.,இன்னும் சேமிக்கப்பட்டுக்கொண்டிருக்கும் ${count} மாற்றங்கள் உங்களிடம் உள்ளன.
You have 1 change in this draft that hasn’t been published yet.,இந்த வரைவில் இன்னும் வெளியிடப்படாத 1 மாற்றம் உங்களிடம் உள்ளது.
You have 1 change still saving.,இன்னும் சேமிக்கப்பட்டுக்கொண்டிருக்கும் 1 மாற்றம் உங்களிடம் உள்ளது.
Your draft is safe on the server — you can come back and publish it any time.,உங்கள் வரைவு சேவையகத்தில் பாதுகாப்பாக உள்ளது — எந்த நேரத்திலும் திரும்பி வந்து அதை வெளியிடலாம்.
Your edits on other pages stay in the draft.,மற்ற பக்கங்களில் உங்கள் திருத்தங்கள் வரைவில் இருக்கும்.
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,உங்கள் webhook url இவ்வாறு இருக்க வேண்டும்: https://yourdomain.com/api/stripe/webhook
Zone,மண்டலம்
Zone Name,மண்டலப் பெயர்
Zone Rates,மண்டல விகிதங்கள்
Zone created,மண்டலம் உருவாக்கப்பட்டது
Zone is required,மண்டலம் தேவை
Zone name is required,மண்டலப் பெயர் தேவை
Zone removed,மண்டலம் அகற்றப்பட்டது
Zone updated,மண்டலம் புதுப்பிக்கப்பட்டது
Zones served,சேவை செய்யப்படும் மண்டலங்கள்
and ${count} more,மேலும் ${count}
container will also hide,கொள்கலனும் மறைக்கப்படும்
current page,தற்போதைய பக்கம்
e.g. Small Box,எ.கா. சிறிய பெட்டி
e.g. Summer Sale 2026,எ.கா. கோடை விற்பனை 2026
