${count} orders,${count} đơn hàng
Value is required,Giá trị là bắt buộc
Variant Group,Nhóm biến thể
Variant created successfully,Đã tạo biến thể thành công
Variant updated successfully,Đã cập nhật biến thể thành công
Version ${version},Phiên bản ${version}
Visibility,Hiển thị
Visibility determines where the product appears in the store. It does not affect the saleability of the product.,Hiển thị quyết định nơi sản phẩm xuất hiện trong cửa hàng. Nó không ảnh hưởng đến khả năng bán của sản phẩm.
Visitors will see the new layout on their next page load.,Khách sẽ thấy bố cục mới ở lần tải trang tiếp theo.
Webhook Secret Key,Khóa bí mật Webhook
Weight,Cân nặng
Weight must be 0 or greater,Cân nặng phải từ 0 trở lên
Weight must be a positive number,Cân nặng phải là số dương
Weight-based tiers,Bậc theo cân nặng
Widget Settings,Cài đặt tiện ích
Widget created successfully!,Đã tạo tiện ích thành công!
Widgets,Tiện ích
Width,Chiều rộng
Width is required,Chiều rộng là bắt buộc
Width must be greater than 0,Chiều rộng phải lớn hơn 0
Will roll out automatically: ${range},Sẽ tự triển khai: ${range}
Working…,Đang xử lý…
Worldwide,Toàn cầu
X,X
Y,Y
You have ${count} changes in this draft that haven’t been published yet.,Bạn có ${count} thay đổi trong bản nháp này chưa được phát hành.
You have ${count} changes still saving.,Bạn có ${count} thay đổi đang được lưu.
You have 1 change in this draft that hasn’t been published yet.,Bạn có 1 thay đổi trong bản nháp này chưa được phát hành.
You have 1 change still saving.,Bạn có 1 thay đổi đang được lưu.
Your draft is safe on the server — you can come back and publish it any time.,Bản nháp được lưu an toàn trên máy chủ — bạn có thể quay lại phát hành bất cứ lúc nào.
Your edits on other pages stay in the draft.,Chỉnh sửa ở trang khác vẫn nằm trong bản nháp.
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,URL webhook của bạn nên là: https://yourdomain.com/api/stripe/webhook
Zone,Khu vực
Zone Name,Tên khu vực
Zone Rates,Giá ship khu vực
Zone created,Đã tạo khu vực
Zone is required,Khu vực là bắt buộc
Zone name is required,Tên khu vực là bắt buộc
Zone removed,Đã bỏ khu vực
Zone updated,Đã cập nhật khu vực
Zones served,Khu vực phục vụ
and ${count} more,và ${count} mục nữa
container will also hide,vùng chứa cũng sẽ ẩn
current page,trang hiện tại
e.g. Small Box,vd. Hộp nhỏ
e.g. Summer Sale 2026,vd. Sale Hè 2026
e.g. content,vd. nội dung
"e.g., 10.00",vd. 10.00
"e.g., EU, US-West","vd. EU, US-West"
"e.g., Express",vd. Hỏa tốc
"e.g., FEDEX_GROUND, usps_priority","vd. FEDEX_GROUND, usps_priority"
every page,mọi trang
indefinite,vô thời hạn
open,mở
"publishing is immediate and can’t be undone from this screen. To stage instead, cancel and choose “Schedule a rollout”.","phát hành diễn ra ngay và không thể hoàn tác từ màn hình này. Để chờ thay vì vậy, hãy hủy và chọn “Lên lịch triển khai”."
quantity of products are matched bellow conditions(All),số lượng sản phẩm khớp các điều kiện dưới (Tất cả)
subtotal,tạm tính
to a storefront route's,đến tuyến của cửa hàng
to make it appear here.,để nó hiện ở đây.
weight,cân nặng
widget? This will be saved as a pending change you can publish or discard.,tiện ích? Việc này sẽ được lưu thành thay đổi chờ để bạn phát hành hoặc bỏ.
will be removed and the live storefront will stop applying its edits. The underlying changeset and its pending content edits are preserved.,sẽ bị bỏ và cửa hàng trực tiếp ngừng áp dụng chỉnh sửa của nó. Bộ thay đổi nền và các chỉnh sửa nội dung chờ vẫn được giữ.
— None —,— Không —
Cash On Delivery,Thanh toán khi nhận hàng
Please select a valid payment method,Vui lòng chọn phương thức thanh toán hợp lệ
Show ${label} width,Hiện chiều rộng ${label}
Column ${index},Cột ${index}
Switch page,Chuyển trang
Search pages…,Tìm trang…
Search pages,Tìm trang
Save your pending edits — the live storefront will catch up,Lưu các thay đổi đang chờ — cửa hàng sẽ cập nhật theo
No changes to save — the rollout matches the editor,Không có thay đổi để lưu — kế hoạch khớp với trình chỉnh sửa
Save,Lưu
More rollout actions,Thêm thao tác triển khai
Revert to saved state…,Khôi phục về trạng thái đã lưu…
Roll back the editor to what the rollout currently shows on the storefront,Đưa trình chỉnh sửa về nội dung kế hoạch đang hiển thị trên cửa hàng
Nothing to revert — the editor matches the saved state,Không có gì để khôi phục — trình chỉnh sửa khớp trạng thái đã lưu
Cancel rollout plan…,Hủy kế hoạch triển khai…
Remove the schedule — the changeset is preserved,Xóa lịch — tập thay đổi vẫn được giữ
Publish,Xuất bản
More publish options,Thêm tùy chọn xuất bản
Apply all edits to the live storefront immediately,Áp dụng mọi thay đổi lên cửa hàng ngay lập tức
Save as rollout plan…,Lưu thành kế hoạch triển khai…
Schedule these edits to roll out at a future time,Lên lịch triển khai các thay đổi này vào lúc khác
Discard pending changes…,Hủy các thay đổi đang chờ…
Choose between discarding the whole draft or just this page,Chọn hủy toàn bộ bản nháp hoặc chỉ trang này
Switch session,Chuyển phiên
New changeset,Tập thay đổi mới
Rollout: ${name},Triển khai: ${name}
Click or drag to add,Nhấp hoặc kéo để thêm
Delete,Xóa
Name,Tên
Background color,Màu nền
Text color,Màu chữ
Dwell time,Thời gian hiển thị
Time each announcement stays visible (in addition to the 400ms slide transition).,Thời gian mỗi thông báo hiển thị (ngoài hiệu ứng trượt 400ms).
Announcements,Thông báo
Add announcement,Thêm thông báo
Untitled,Chưa đặt tên
Free shipping on orders over $50,Miễn phí vận chuyển cho đơn hàng trên $50
Optional. Makes the entire row a clickable link.,Tùy chọn. Biến cả hàng thành một liên kết có thể nhấp.
Link label,Nhãn liên kết
Optional. Displayed after the content; defaults to the content itself.,Tùy chọn. Hiển thị sau nội dung; mặc định là chính nội dung.
Shop now,Mua ngay
Dark,Tối
Light,Sáng
Gradient,Chuyển sắc
Left,Trái
Center,Giữa
Right,Phải
Selected image,Hình ảnh đã chọn
No image selected,Chưa chọn hình ảnh
Replace,Thay thế
Clear,Xóa bỏ
Reflects the alignment below.,Phản ánh căn chỉnh bên dưới.
Banner Image,Hình ảnh banner
Mobile image,Hình ảnh di động
Optional. Swapped in below the 768px breakpoint. Falls back to the image above when empty — typical use is a portrait crop of the same scene.,Tùy chọn. Được dùng dưới điểm ngắt 768px. Quay về hình ảnh phía trên khi để trống — thường dùng là bản cắt dọc của cùng cảnh.
Alignment,Căn chỉnh
Overlay copy,Nội dung lớp phủ
Eyebrow,Nhãn phụ
"Small all-caps label above the heading. E.g. ""LIMITED EDITION"".","Nhãn viết hoa nhỏ phía trên tiêu đề. Ví dụ ""PHIÊN BẢN GIỚI HẠN""."
LIMITED EDITION,PHIÊN BẢN GIỚI HẠN
Heading,Tiêu đề
The Summer Edit,Tuyển Tập Mùa Hè
Sub-text,Văn bản phụ
One short supporting sentence.,Một câu bổ trợ ngắn gọn.
Overlay placement,Vị trí lớp phủ
Content position,Vị trí nội dung
Where the overlay text sits on the image.,Vị trí văn bản lớp phủ trên hình ảnh.
Tint,Sắc phủ
A scrim behind the overlay text for legibility. Dark / gradient flip the text to white automatically.,Lớp che sau văn bản lớp phủ để dễ đọc. Tối / chuyển sắc tự động đổi chữ thành trắng.
Tint opacity,Độ mờ sắc phủ
Call to actions,Lời kêu gọi hành động
Remove primary CTA,Xóa CTA chính
+ Add a primary CTA,+ Thêm CTA chính
Secondary,Phụ
Remove secondary CTA,Xóa CTA phụ
Learn more,Tìm hiểu thêm
+ Add a secondary CTA,+ Thêm CTA phụ
Details,Chi tiết
Alt text,Văn bản thay thế
Describes the banner for screen readers and SEO.,Mô tả banner cho trình đọc màn hình và SEO.
"e.g. ""Summer sale promotional banner""","ví dụ ""Banner khuyến mãi mùa hè"""
Banner link,Liên kết banner
Optional. Clicking the banner navigates here.,Tùy chọn. Nhấp vào banner sẽ chuyển đến đây.
Display name,Tên hiển thị
Shop,Cửa hàng
Target,Đích đến
"Page, category, product, or a custom URL.","Trang, danh mục, sản phẩm hoặc URL tùy chỉnh."
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,SEO: không truyền điểm xếp hạng cho liên kết này (rel=nofollow).
No referrer,Không gửi referrer
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,Quyền riêng tư: bỏ URL nguồn (rel=noreferrer). Liên kết mở tab mới luôn bao gồm điều này.
Menu items,Mục menu
Add menu item,Thêm mục menu
Sub-items,Mục con
Optional dropdown links (1 level).,Liên kết thả xuống tùy chọn (1 cấp).
Add sub-item,Thêm mục con
Options,Tùy chọn
Use as main menu,Dùng làm menu chính
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.","Điều hướng chính — trên di động sẽ thu gọn thành menu hamburger. Tắt cho danh sách liên kết đơn giản (ví dụ chân trang), giữ nguyên hàng ngang trên di động."
Custom CSS classes,Lớp CSS tùy chỉnh
Applied to the rendered menu element.,Áp dụng cho phần tử menu được hiển thị.
e.g. main-nav font-semibold,ví dụ main-nav font-semibold
S,S
M,M
L,L
Tiles,Ô
Add tile,Thêm ô
Hero · ,Hero · 
Used when no image is set.,Dùng khi chưa đặt hình ảnh.
Small label above the heading.,Nhãn nhỏ phía trên tiêu đề.
THE SUMMER EDIT,Tuyển tập mùa hè
New Arrivals,Hàng mới về
Body,Nội dung chính
Big card — the headline of the grid.,Thẻ lớn — tiêu đề của lưới.
Link URL,URL liên kết
Gap,Khoảng cách
Minimum block height,Chiều cao khối tối thiểu
Image left,Hình ảnh bên trái
Image right,Hình ảnh bên phải
Centered,Căn giữa
Pull quote,Trích dẫn nổi bật
Variant,Biến thể
Image column size,Kích thước cột hình ảnh
Describe the image,Mô tả hình ảnh
Copy,Nội dung
"Small all-caps label. E.g. ""OUR STORY"".","Nhãn nhỏ chữ in hoa. Ví dụ ""CÂU CHUYỆN CỦA CHÚNG TÔI""."
Our story,Câu chuyện của chúng tôi
"Made by hand, in small batches","Làm thủ công, theo từng lô nhỏ"
"Required for the pull-quote variant. Displayed large, styled as a blockquote.","Bắt buộc cho biến thể trích dẫn nổi bật. Hiển thị cỡ lớn, theo kiểu blockquote."
"A short, quotable line.","Một câu ngắn, dễ trích dẫn."
Three or four sentences of brand narrative.,Ba hoặc bốn câu kể về thương hiệu.
Second body paragraph (optional),Đoạn nội dung thứ hai (tùy chọn)
A second short paragraph if the story needs it.,Một đoạn ngắn thứ hai nếu câu chuyện cần.
Read more link,Liên kết đọc thêm
Read more,Đọc thêm
URL,URL
Remove read-more link,Xóa liên kết đọc thêm
+ Add a read-more link,+ Thêm liên kết đọc thêm
Square,Vuông
Landscape,Ngang
Portrait,Dọc
Overlay,Lớp phủ
Below,Bên dưới
New category,Danh mục mới
Section heading,Tiêu đề mục
Optional. Shown above the grid.,Tùy chọn. Hiển thị phía trên lưới.
Shop by category,Mua theo danh mục
Women,Nữ
Columns,Số cột
Auto,Tự động
Asymmetric makes the first tile span 2 columns.,Bất đối xứng làm ô đầu tiên chiếm 2 cột.
Uniform,Đồng đều
Asymmetric,Bất đối xứng
Image aspect,Tỷ lệ hình ảnh
Label position,Vị trí nhãn
Blush,Hồng phấn
XL,XL
Position ${c},Vị trí ${c}
Column layout,Bố cục cột
Drag widgets into each column. Children re-flow when you change the ratio.,Kéo widget vào từng cột. Nội dung con sắp xếp lại khi bạn đổi tỷ lệ.
Space between columns.,Khoảng cách giữa các cột.
Where content sits within each column. Applied uniformly to every column.,Vị trí nội dung trong mỗi cột. Áp dụng đồng đều cho mọi cột.
Row appearance,Giao diện hàng
Background,Nền
Custom color,Màu tùy chỉnh
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","Bất kỳ màu CSS nào (vd. ""#0a0a0a"" hoặc ""rgb(10,10,10)""). Để trống để dùng mẫu màu phía trên."
Padding,Khoảng đệm
Outer spacing around the row. Scales down on mobile.,Khoảng cách bên ngoài quanh hàng. Thu nhỏ trên di động.
Solid,Liền nét
Dashed,Nét đứt
Already expired,Đã hết hạn
Expires in ${days}d ${hours}h,Hết hạn sau ${days}d ${hours}h
Expires in ${hours}h ${minutes}m,Hết hạn sau ${hours}h ${minutes}m
Offer,Ưu đãi
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".","Dòng tạo cấp bách. Tùy chọn. Vd. ""Có hạn · Kết thúc Chủ nhật""."
Limited · Ends Sunday,Có hạn · Kết thúc Chủ nhật
Headline,Tiêu đề
Take 20% off your order,Giảm 20% cho đơn hàng của bạn
Optional. One short instructional line.,Tùy chọn. Một dòng hướng dẫn ngắn.
Use code at checkout,Dùng mã khi thanh toán
Promo code,Mã khuyến mãi
Displayed in uppercase to shoppers.,Hiển thị bằng chữ in hoa cho người mua.
Expires,Hết hạn
Optional. The block auto-hides after this time for live visitors.,Tùy chọn. Khối tự ẩn sau thời gian này đối với khách đang xem.
Call to action,Kêu gọi hành động
Button label,Nhãn nút
Shop now →,Mua ngay →
Button link,Liên kết nút
Appearance,Giao diện
Border,Viền
Narrow,Hẹp
Normal,Bình thường
Wide,Rộng
Shown above all content. Optional.,Hiển thị trên toàn bộ nội dung. Tùy chọn.
e.g. Frequently asked,ví dụ: Câu hỏi thường gặp
Prose,Đoạn văn
FAQ group · ${count} items,Nhóm FAQ · ${count} mục
Group heading,Tiêu đề nhóm
Optional sub-heading.,Tiêu đề phụ tùy chọn.
e.g. Shipping,ví dụ: Vận chuyển
Add question,Thêm câu hỏi
Question,Câu hỏi
e.g. How long does shipping take?,ví dụ: Giao hàng mất bao lâu?
Answer,Trả lời
"Supports **bold**, _italic_, and line breaks.","Hỗ trợ **đậm**, _nghiêng_ và xuống dòng."
e.g. Orders ship within 24 hours…,ví dụ: Đơn hàng giao trong vòng 24 giờ…
Add prose,Thêm đoạn văn
Add FAQ group,Thêm nhóm FAQ
Max width,Chiều rộng tối đa
Content column width.,Chiều rộng cột nội dung.
Allow multiple open,Cho phép mở nhiều mục
"When off, opening one FAQ item closes the others in the same group.","Khi tắt, mở một mục FAQ sẽ đóng các mục khác trong cùng nhóm."
New link,Liên kết mới
New column,Cột mới
Add column,Thêm cột
${title} · ${count} links,${title} · ${count} liên kết
Column title,Tiêu đề cột
Links,Liên kết
"Min 1, max 12.","Tối thiểu 1, tối đa 12."
Add link,Thêm liên kết
New arrivals,Hàng mới về
Boxed,Trong khung
Wide (full bleed),Rộng (tràn viền)
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,Trong khung giữ nội dung bên trong vùng chứa của trang (giao diện quyết định chiều rộng tối đa). Rộng tràn từ mép này sang mép kia.
Scales down on mobile.,Thu nhỏ trên di động.
Optional. Painted behind content. Combine with a tint below for legibility.,Tùy chọn. Đặt phía sau nội dung. Kết hợp với lớp phủ màu bên dưới để dễ đọc.
XS,XS
Spacing,Khoảng cách
Size,Kích thước
Mobile scales down ~⅔ automatically.,Trên di động tự động thu nhỏ ~⅔.
Divider line,Đường phân cách
Show divider line,Hiện đường phân cách
A horizontal rule centred in the spacing band.,Một đường ngang căn giữa trong vùng khoảng cách.
Line color,Màu đường kẻ
Default uses the theme's divider color.,Mặc định dùng màu phân cách của giao diện.
Sides,Các cạnh
Bottom,Dưới
Dots,Chấm tròn
Bars,Thanh
Mobile image (optional),Hình ảnh di động (tùy chọn)
Used at ≤ 767 px. Falls back to the main image.,Dùng ở ≤ 767 px. Mặc định về hình ảnh chính.
e.g. New collection,ví dụ: Bộ sưu tập mới
e.g. Summer Sale,ví dụ: Khuyến mãi hè
Sub text,Văn bản phụ
Check out our latest products with special discounts.,Khám phá sản phẩm mới nhất với ưu đãi đặc biệt.
Primary button,Nút chính
Secondary button,Nút phụ
Remove,Gỡ bỏ
+ Add secondary button,+ Thêm nút phụ
Overrides,Ghi đè
Leaves slide-specific anchor; falls back to the slideshow's default.,Bỏ trống điểm neo riêng cho slide; dùng mặc định của trình chiếu.
Overlay tint,Màu lớp phủ
Overlay opacity,Độ mờ lớp phủ
Make whole slide clickable,Cho phép nhấp vào toàn bộ slide
Behavior,Hành vi
Transition,Hiệu ứng chuyển
Slide,Trượt
Fade,Mờ dần
Transition speed,Tốc độ chuyển
Autoplay,Tự động phát
Autoplay delay,Độ trễ tự động phát
${seconds} s between slides,${seconds} giây giữa các slide
Pause on hover,Tạm dừng khi rê chuột
Pause for 20 s after user nav,Tạm dừng 20 giây sau khi người dùng điều hướng
Arrows,Mũi tên
Aspect ratio,Tỉ lệ khung hình
`Auto` matches the natural image height (jumps between slides).,`Auto` khớp chiều cao gốc của hình ảnh (nhảy giữa các slide).
Default content position,Vị trí nội dung mặc định
Per-slide overrides win.,Ghi đè riêng từng slide được ưu tiên.
Default overlay tint,Màu lớp phủ mặc định
Default overlay opacity,Độ mờ lớp phủ mặc định
Slides (${count}),Slide (${count})
No slides yet.,Chưa có slide nào.
Add your first slide,Thêm slide đầu tiên
Slide ${number},Slide ${number}
Image only,Chỉ hình ảnh
Empty,Trống
Show slide,Hiện slide
Hide slide,Ẩn slide
Move slide up,Di chuyển slide lên
Move slide down,Di chuyển slide xuống
Delete slide,Xóa slide
Top,Trên cùng
Cover,Phủ kín
Contain,Vừa khung
Required for accessibility.,Bắt buộc để hỗ trợ tiếp cận.
Image fit,Cách vừa hình ảnh
"Small all-caps label. E.g. ""LIMITED EDITION"".","Nhãn chữ in hoa nhỏ. Ví dụ: ""PHIÊN BẢN GIỚI HẠN""."
Limited edition,Phiên bản giới hạn
One strong line,Một dòng nổi bật
Two lines of supporting copy.,Hai dòng nội dung bổ trợ.
Image position,Vị trí hình ảnh
Vertical alignment,Căn theo chiều dọc
Aligns the copy panel content.,Căn nội dung bảng văn bản.
Remove call to action,Xóa nút kêu gọi hành động
Add a call to action,Thêm nút kêu gọi hành động
Custom CSS classes for the text block,Lớp CSS tùy chỉnh cho khối văn bản
Add group,Thêm nhóm
${label} · ${count} subs,${label} · ${count} mục con
Parent label,Nhãn danh mục cha
Parent link,Liên kết danh mục cha
Image alt text,Văn bản thay thế hình ảnh
Sub-categories,Danh mục con
"Min 1, max 8.","Tối thiểu 1, tối đa 8."
Add sub-category,Thêm danh mục con
Dresses,Váy đầm
Columns (desktop),Số cột (máy tính)
On tablets the layout is always 2 columns.,"Trên máy tính bảng, bố cục luôn là 2 cột."
Make parent image a link,Biến hình danh mục cha thành liên kết
"When off, only the sub-chips and parent label are interactive.","Khi tắt, chỉ các chip con và nhãn danh mục cha có thể tương tác."
Title,Tiêu đề
e.g. Free shipping,ví dụ: Miễn phí vận chuyển
Optional supporting line below the title.,Dòng bổ trợ tùy chọn bên dưới tiêu đề.
Icon,Biểu tượng
Optional. SVG or raster image. Hidden when icons are turned off globally.,Tùy chọn. Ảnh SVG hoặc raster. Bị ẩn khi tắt biểu tượng toàn cục.
Optional. Makes the whole cell clickable.,Tùy chọn. Cho phép nhấp vào toàn bộ ô.
"Auto matches the item count, capped at 4.","Tự động khớp số mục, tối đa 4."
3,3
4,4
Icon size,Kích thước biểu tượng
Show icons,Hiển thị biểu tượng
Master switch. Items without an icon URL are unaffected.,Công tắc chính. Mục không có URL biểu tượng không bị ảnh hưởng.
Show divider,Hiển thị đường phân cách
Vertical line between cells.,Đường dọc giữa các ô.
Collection,Bộ sưu tập
Search,Tìm kiếm
Search collections…,Tìm bộ sưu tập…
No collections match “${value}”.,Không có bộ sưu tập nào khớp “${value}”.
You have no collections yet.,Bạn chưa có bộ sưu tập nào.
Please select a collection,Vui lòng chọn bộ sưu tập
"Defaults to ""${name}"" (the collection's name).","Mặc định là ""${name}"" (tên bộ sưu tập)."
Defaults to the picked collection's name.,Mặc định là tên bộ sưu tập đã chọn.
Collection name,Tên bộ sưu tập
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,Mặc định là mô tả của bộ sưu tập. Đặt giá trị này sẽ thay mô tả định dạng bằng văn bản thuần.
e.g. Hand-picked styles for the season.,ví dụ: Những phong cách tuyển chọn cho mùa này.
View all link,Liên kết Xem tất cả
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.","Tùy chọn. Ẩn khi để trống. Chọn danh mục, sản phẩm, trang, hoặc dán URL tùy chỉnh."
"Optional. Defaults to ""View all →"".","Tùy chọn. Mặc định là ""Xem tất cả →""."
View all →,Xem tất cả →
Total products,Tổng số sản phẩm
Number of products to display.,Số sản phẩm hiển thị.
Products per row,Sản phẩm mỗi hàng
Grid columns (1–6 typical).,Số cột lưới (thường 1–6).
Count is required,Bắt buộc nhập số lượng
e.g. 8,ví dụ: 8
Count per row is required,Bắt buộc nhập số lượng mỗi hàng
e.g. 4,ví dụ: 4
Cover image,Hình ảnh bìa
COLLECTION,BỘ SƯU TẬP
"Defaults to ""${pickedName}"".","Mặc định là ""${pickedName}""."
Defaults to the picked collection name.,Mặc định là tên bộ sưu tập đã chọn.
Optional. One or two sentences of editorial copy.,Tùy chọn. Một hai câu nội dung biên tập.
"Linen, cotton, easy stuff.","Vải lanh, cotton, đồ thoải mái."
Preview product count,Số sản phẩm xem trước
2 (1×2),2 (1×2)
4 (2×2),4 (2×2)
Please pick a collection,Vui lòng chọn bộ sưu tập
Add collection,Thêm bộ sưu tập
Row heading,Tiêu đề hàng
The Linen Edit,Tuyển Tập Vải Lanh
Optional. Hidden when empty.,Tùy chọn. Ẩn khi để trống.
View all label,Nhãn Xem tất cả
Show price,Hiển thị giá
Show divider between rows,Hiển thị đường phân cách giữa các hàng
Product,Sản phẩm
Selected:,Đã chọn:
Image override,Hình ảnh thay thế
Override image,Thay thế hình ảnh
Override image (optional),Thay thế hình ảnh (tùy chọn)
Leave empty to use the product's primary image.,Để trống để dùng hình ảnh chính của sản phẩm.
Small label above the product name. Optional.,Nhãn nhỏ phía trên tên sản phẩm. Tùy chọn.
FEATURED,NỔI BẬT
Editorial copy,Nội dung biên tập
Overrides the product's own description in this context. Leave blank to hide.,Ghi đè mô tả riêng của sản phẩm trong ngữ cảnh này. Để trống để ẩn.
Two lines of copy explaining why this product is being spotlighted right now.,Hai dòng nội dung giải thích vì sao sản phẩm này đang được làm nổi bật.
Please pick a product,Vui lòng chọn sản phẩm
e.g. On orders over $50,ví dụ Cho đơn hàng trên $50
Text block,Khối văn bản
Menu,Menu
Footer menu,Menu chân trang
Banner,Banner
Simple Slideshow,Trình chiếu đơn giản
Brand story,Câu chuyện thương hiệu
Category mosaic,Lưới danh mục
Tiered categories,Danh mục phân cấp
Bento grid,Lưới Bento
Separator,Đường phân cách
Section,Phần
Split feature,Khối chia đôi
Announcement bar,Thanh thông báo
Coupon block,Khối mã giảm giá
FAQ block,Khối FAQ
Trust strip,Dải tin cậy
Collection products,Sản phẩm bộ sưu tập
Collection stack,Chồng bộ sưu tập
Collection spotlight,Bộ sưu tập nổi bật
Product hero,Sản phẩm tiêu điểm
Layout container with 1–4 columns for nesting widgets.,Khung bố cục 1–4 cột để lồng các widget.
Add rich text content,Thêm nội dung văn bản định dạng
Navigation links,Liên kết điều hướng
Multi-column list of footer links — a titled column of navigation links per group.,Danh sách liên kết chân trang nhiều cột — mỗi nhóm một cột có tiêu đề.
A single hero image with optional overlay copy and CTAs.,Một ảnh hero kèm nội dung phủ và nút CTA tùy chọn.
Rotating image carousel,Băng chuyền ảnh xoay vòng
Editorial block combining an image and long-form brand narrative. Four layout variants.,Khối biên tập kết hợp hình ảnh và câu chuyện thương hiệu dài. Bốn kiểu bố cục.
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.","Lưới 3–6 ô danh mục cho lối vào ""Mua theo danh mục"" chính."
A two-level nav block: parent category image plus a row of sub-category chips.,Khối điều hướng hai cấp: ảnh danh mục cha cùng hàng chip danh mục con.
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,Lưới ô CTA bất đối xứng — một ô hero lớn cùng 1–4 ô phụ.
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.","Khoảng cách dọc giữa các widget, kèm đường phân cách tùy chọn. Tự thu nhỏ trên di động."
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,"Dải có kiểu thả được, bao các widget khác. Chuyển giữa rộng (sát mép) và đóng khung (khung giao diện)."
A 50/50 image + copy promo block with optional CTA. The canonical promo moment widget.,Khối khuyến mãi ảnh + nội dung 50/50 kèm CTA tùy chọn. Widget khuyến mãi tiêu biểu.
A thin top-of-page bar with one or more rotating announcements.,Thanh mỏng đầu trang với một hoặc nhiều thông báo xoay vòng.
A promo panel with a copyable discount code and CTA.,Bảng khuyến mãi với mã giảm giá sao chép được và CTA.
Flexible content block mixing prose sections and accordion FAQ groups.,Khối nội dung linh hoạt kết hợp đoạn văn và nhóm FAQ dạng xếp gập.
"A row of value-prop items (free shipping, easy returns, etc.) for below-the-hero or above-the-footer reinforcement.","Hàng các mục giá trị (miễn phí vận chuyển, đổi trả dễ, v.v.) để nhấn mạnh dưới hero hoặc trên chân trang."
A list of products from a collection,Danh sách sản phẩm từ một bộ sưu tập
"Stacked rows of collections, each with a heading, view-all link, and a strip of products.","Các hàng bộ sưu tập xếp chồng, mỗi hàng có tiêu đề, liên kết xem tất cả và dải sản phẩm."
"A featured collection with cover image, editorial copy, and a small product preview grid.","Bộ sưu tập nổi bật với ảnh bìa, nội dung biên tập và lưới xem trước sản phẩm nhỏ."
"A single-product spotlight — image, name, price, and a link to the full product page.","Tiêu điểm một sản phẩm — ảnh, tên, giá và liên kết tới trang sản phẩm đầy đủ."
