Welcome Back!,Bentornato!
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,L'URL del tuo webhook dovrebbe essere: https://yourdomain.com/api/stripe/webhook
Zone,Zona
Zone Name,Nome zona
Zone Rates,Tariffe della zona
Zone created,Zona creata
Zone is required,La zona è obbligatoria
Zone name is required,Il nome della zona è obbligatorio
Zone removed,Zona rimossa
Zone updated,Zona aggiornata
Zones served,Zone servite
and ${count} more,e altri ${count}
container will also hide,anche il contenitore verrà nascosto
current page,pagina corrente
e.g. Small Box,es. Scatola piccola
e.g. Summer Sale 2026,es. Saldi estivi 2026
e.g. content,es. contenuto
"e.g., 10.00","es. 10,00"
"e.g., EU, US-West","es. EU, US-West"
"e.g., Express",es. Express
"e.g., FEDEX_GROUND, usps_priority","es. FEDEX_GROUND, usps_priority"
every page,ogni pagina
indefinite,indefinito
open,apri
"publishing is immediate and can’t be undone from this screen. To stage instead, cancel and choose “Schedule a rollout”.","la pubblicazione è immediata e non può essere annullata da questa schermata. Per metterla in fase di staging, annulla e scegli “Pianifica un rilascio”."
quantity of products are matched bellow conditions(All),la quantità di prodotti soddisfa le condizioni seguenti (Tutte)
subtotal,subtotale
to a storefront route's,a un percorso del negozio
to make it appear here.,per farlo apparire qui.
weight,peso
widget? This will be saved as a pending change you can publish or discard.,widget? Verrà salvato come modifica in sospeso che puoi pubblicare o annullare.
will be removed and the live storefront will stop applying its edits. The underlying changeset and its pending content edits are preserved.,verrà rimosso e il negozio attivo smetterà di applicare le sue modifiche. Il changeset sottostante e le sue modifiche ai contenuti in sospeso vengono conservati.
— None —,— Nessuno —
Cash On Delivery,Pagamento alla consegna
Please select a valid payment method,Seleziona un metodo di pagamento valido
Show ${label} width,Mostra larghezza ${label}
Column ${index},Colonna ${index}
Switch page,Cambia pagina
Search pages…,Cerca pagine…
Search pages,Cerca pagine
Save your pending edits — the live storefront will catch up,Salva le modifiche in sospeso — il negozio attivo verrà aggiornato
No changes to save — the rollout matches the editor,Nessuna modifica da salvare — il rilascio corrisponde all'editor
More rollout actions,Altre azioni di rilascio
Revert to saved state…,Ripristina lo stato salvato…
Roll back the editor to what the rollout currently shows on the storefront,Riporta l'editor a ciò che il rilascio mostra attualmente nel negozio
Nothing to revert — the editor matches the saved state,Niente da ripristinare — l'editor corrisponde allo stato salvato
Cancel rollout plan…,Annulla il piano di rilascio…
Remove the schedule — the changeset is preserved,Rimuovi la pianificazione — il changeset viene conservato
Publish,Pubblica
More publish options,Altre opzioni di pubblicazione
Apply all edits to the live storefront immediately,Applica subito tutte le modifiche al negozio attivo
Save as rollout plan…,Salva come piano di rilascio…
Schedule these edits to roll out at a future time,Pianifica il rilascio di queste modifiche in un momento futuro
Discard pending changes…,Annulla le modifiche in sospeso…
Choose between discarding the whole draft or just this page,Scegli se annullare l'intera bozza o solo questa pagina
Switch session,Cambia sessione
New changeset,Nuovo changeset
Rollout: ${name},Rilascio: ${name}
Click or drag to add,Fai clic o trascina per aggiungere
Background color,Colore di sfondo
Text color,Colore del testo
Dwell time,Tempo di permanenza
Time each announcement stays visible (in addition to the 400ms slide transition).,Tempo in cui ogni annuncio resta visibile (oltre alla transizione di scorrimento di 400ms).
Announcements,Annunci
Add announcement,Aggiungi annuncio
Untitled,Senza titolo
Free shipping on orders over $50,Spedizione gratuita per ordini superiori a $50
Optional. Makes the entire row a clickable link.,Facoltativo. Rende l'intera riga un link cliccabile.
Link label,Etichetta del link
Optional. Displayed after the content; defaults to the content itself.,Facoltativo. Visualizzato dopo il contenuto; per impostazione predefinita corrisponde al contenuto stesso.
Shop now,Acquista ora
Dark,Scuro
Light,Chiaro
Gradient,Sfumatura
Left,Sinistra
Center,Centro
Right,Destra
Selected image,Immagine selezionata
No image selected,Nessuna immagine selezionata
Replace,Sostituisci
Clear,Cancella
Reflects the alignment below.,Riflette l'allineamento qui sotto.
Banner Image,Immagine del banner
Mobile image,Immagine per dispositivi mobili
Optional. Swapped in below the 768px breakpoint. Falls back to the image above when empty — typical use is a portrait crop of the same scene.,"Facoltativo. Sostituita al di sotto del breakpoint di 768px. Se vuota, viene usata l'immagine sopra — l'uso tipico è un ritaglio verticale della stessa scena."
Alignment,Allineamento
Overlay copy,Testo in sovrapposizione
Eyebrow,Sopratitolo
"Small all-caps label above the heading. E.g. ""LIMITED EDITION"".","Piccola etichetta in maiuscolo sopra il titolo. Es. ""LIMITED EDITION""."
LIMITED EDITION,EDIZIONE LIMITATA
Heading,Titolo
The Summer Edit,La collezione estiva
Sub-text,Sottotesto
One short supporting sentence.,Una breve frase di supporto.
Overlay placement,Posizionamento della sovrapposizione
Content position,Posizione del contenuto
Where the overlay text sits on the image.,Dove si posiziona il testo in sovrapposizione sull'immagine.
Tint,Tonalità
A scrim behind the overlay text for legibility. Dark / gradient flip the text to white automatically.,Una velatura dietro il testo in sovrapposizione per la leggibilità. Scuro / sfumatura rendono automaticamente il testo bianco.
Tint opacity,Opacità della tonalità
Call to actions,Inviti all'azione
Remove primary CTA,Rimuovi CTA primaria
+ Add a primary CTA,+ Aggiungi una CTA primaria
Secondary,Secondaria
Remove secondary CTA,Rimuovi CTA secondaria
Learn more,Scopri di più
+ Add a secondary CTA,+ Aggiungi una CTA secondaria
Details,Dettagli
Alt text,Testo alternativo
Describes the banner for screen readers and SEO.,Descrive il banner per gli screen reader e la SEO.
"e.g. ""Summer sale promotional banner""","ad es. ""Banner promozionale dei saldi estivi"""
Banner link,Link del banner
Optional. Clicking the banner navigates here.,Facoltativo. Cliccando il banner si naviga qui.
Display name,Nome visualizzato
Shop,Negozio
Target,Destinazione
"Page, category, product, or a custom URL.","Pagina, categoria, prodotto o un URL personalizzato."
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,SEO: non trasferire valore di posizionamento a questo link (rel=nofollow).
No referrer,Nessun referrer
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,Privacy: rimuovi l'URL di provenienza (rel=noreferrer). I link in nuova scheda lo includono sempre.
Menu items,Voci di menu
Add menu item,Aggiungi voce di menu
Sub-items,Sottovoci
Optional dropdown links (1 level).,Link a tendina facoltativi (1 livello).
Add sub-item,Aggiungi sottovoce
Options,Opzioni
Use as main menu,Usa come menu principale
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.","Navigazione principale — su mobile si comprime in un menu hamburger. Disattiva per un semplice elenco di link (ad es. un footer), che rimane in linea su mobile."
Custom CSS classes,Classi CSS personalizzate
Applied to the rendered menu element.,Applicate all'elemento menu visualizzato.
e.g. main-nav font-semibold,ad es. main-nav font-semibold
S,S
M,M
L,L
Tiles,Riquadri
Add tile,Aggiungi riquadro
Hero · ,Hero · 
Used when no image is set.,Usato quando non è impostata alcuna immagine.
Small label above the heading.,Piccola etichetta sopra il titolo.
THE SUMMER EDIT,LA SELEZIONE ESTIVA
New Arrivals,Nuovi arrivi
Body,Corpo del testo
Big card — the headline of the grid.,Scheda grande — il titolo della griglia.
Link URL,URL del link
Gap,Spaziatura
Minimum block height,Altezza minima del blocco
Image left,Immagine a sinistra
Image right,Immagine a destra
Centered,Centrato
Pull quote,Citazione in evidenza
Variant,Variante
Image column size,Dimensione colonna immagine
Describe the image,Descrivi l'immagine
Copy,Testo
"Small all-caps label. E.g. ""OUR STORY"".","Piccola etichetta in maiuscolo. Ad es. ""LA NOSTRA STORIA""."
Our story,La nostra storia
"Made by hand, in small batches","Fatto a mano, in piccoli lotti"
"Required for the pull-quote variant. Displayed large, styled as a blockquote.","Obbligatorio per la variante citazione in evidenza. Visualizzato in grande, formattato come blockquote."
"A short, quotable line.",Una breve frase da citare.
Three or four sentences of brand narrative.,Tre o quattro frasi di racconto del brand.
Second body paragraph (optional),Secondo paragrafo del corpo (facoltativo)
A second short paragraph if the story needs it.,Un secondo breve paragrafo se la storia lo richiede.
Read more link,"Link ""Leggi di più"""
Read more,Leggi di più
URL,URL
Remove read-more link,"Rimuovi link ""Leggi di più"""
+ Add a read-more link,"+ Aggiungi un link ""Leggi di più"""
Square,Quadrato
Landscape,Orizzontale
Portrait,Verticale
Overlay,Sovrapposizione
Below,Sotto
New category,Nuova categoria
Section heading,Titolo della sezione
Optional. Shown above the grid.,Facoltativo. Mostrato sopra la griglia.
Shop by category,Acquista per categoria
Women,Donna
Columns,Colonne
Auto,Automatico
Asymmetric makes the first tile span 2 columns.,Asimmetrico fa estendere il primo riquadro su 2 colonne.
Uniform,Uniforme
Asymmetric,Asimmetrico
Image aspect,Proporzioni immagine
Label position,Posizione etichetta
Blush,Rosa cipria
XL,XL
Position ${c},Posizione ${c}
Column layout,Layout colonne
Drag widgets into each column. Children re-flow when you change the ratio.,Trascina i widget in ogni colonna. Gli elementi figli si riorganizzano quando cambi il rapporto.
Space between columns.,Spazio tra le colonne.
Where content sits within each column. Applied uniformly to every column.,Dove si posiziona il contenuto all'interno di ogni colonna. Applicato uniformemente a tutte le colonne.
Row appearance,Aspetto della riga
Background,Sfondo
Custom color,Colore personalizzato
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","Qualsiasi colore CSS (ad es. ""#0a0a0a"" o ""rgb(10,10,10)""). Lascia vuoto per usare il campione sopra."
Padding,Padding
Outer spacing around the row. Scales down on mobile.,Spaziatura esterna intorno alla riga. Si riduce su mobile.
Solid,Continuo
Dashed,Tratteggiato
Already expired,Già scaduto
Expires in ${days}d ${hours}h,Scade tra ${days}g ${hours}h
Expires in ${hours}h ${minutes}m,Scade tra ${hours}h ${minutes}m
Offer,Offerta
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".","Frase di urgenza. Facoltativa. Ad es. ""Limitato · Termina domenica""."
Limited · Ends Sunday,Limitato · Termina domenica
Headline,Titolo
Take 20% off your order,Ottieni il 20% di sconto sul tuo ordine
Optional. One short instructional line.,Facoltativo. Una breve riga di istruzioni.
Use code at checkout,Usa il codice al checkout
Promo code,Codice promo
Displayed in uppercase to shoppers.,Mostrato in maiuscolo ai clienti.
Expires,Scade
Optional. The block auto-hides after this time for live visitors.,Facoltativo. Il blocco si nasconde automaticamente dopo questo orario per i visitatori in tempo reale.
Call to action,Call to action
Button label,Etichetta del pulsante
Shop now →,Acquista ora →
Button link,Link del pulsante
Appearance,Aspetto
Border,Bordo
Narrow,Stretto
Normal,Normale
Wide,Largo
Shown above all content. Optional.,Mostrato sopra tutto il contenuto. Facoltativo.
e.g. Frequently asked,ad es. Domande frequenti
Prose,Testo
FAQ group · ${count} items,Gruppo FAQ · ${count} elementi
Group heading,Titolo del gruppo
Optional sub-heading.,Sottotitolo facoltativo.
e.g. Shipping,ad es. Spedizione
Add question,Aggiungi domanda
Question,Domanda
e.g. How long does shipping take?,ad es. Quanto tempo richiede la spedizione?
Answer,Risposta
"Supports **bold**, _italic_, and line breaks.","Supporta **grassetto**, _corsivo_ e interruzioni di riga."
e.g. Orders ship within 24 hours…,ad es. Gli ordini vengono spediti entro 24 ore…
Add prose,Aggiungi testo
Add FAQ group,Aggiungi gruppo FAQ
Max width,Larghezza massima
Content column width.,Larghezza della colonna di contenuto.
Allow multiple open,Consenti più aperti
"When off, opening one FAQ item closes the others in the same group.","Quando disattivato, aprire una voce FAQ chiude le altre nello stesso gruppo."
New link,Nuovo link
New column,Nuova colonna
Add column,Aggiungi colonna
${title} · ${count} links,${title} · ${count} link
Column title,Titolo della colonna
Links,Link
"Min 1, max 12.","Min 1, max 12."
Add link,Aggiungi link
New arrivals,Nuovi arrivi
Boxed,Riquadrato
Wide (full bleed),Largo (a tutta pagina)
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,Riquadrato rimane all'interno del contenitore della pagina (il tema decide la larghezza massima). Largo si estende da bordo a bordo.
Scales down on mobile.,Si riduce su mobile.
Optional. Painted behind content. Combine with a tint below for legibility.,Facoltativo. Dipinto dietro il contenuto. Combina con una tonalità sottostante per la leggibilità.
XS,XS
Spacing,Spaziatura
Size,Dimensione
Mobile scales down ~⅔ automatically.,Su mobile si riduce automaticamente di ~⅔.
Divider line,Linea divisoria
Show divider line,Mostra linea divisoria
A horizontal rule centred in the spacing band.,Una linea orizzontale centrata nella fascia di spaziatura.
Line color,Colore della linea
Default uses the theme's divider color.,Il valore predefinito usa il colore del divisore del tema.
Sides,Lati
Bottom,Basso
Dots,Punti
Bars,Barre
Mobile image (optional),Immagine mobile (opzionale)
Used at ≤ 767 px. Falls back to the main image.,Usata a ≤ 767 px. Ripiega sull'immagine principale.
e.g. New collection,es. Nuova collezione
e.g. Summer Sale,es. Saldi estivi
Sub text,Testo secondario
Check out our latest products with special discounts.,Scopri i nostri ultimi prodotti con sconti speciali.
Primary button,Pulsante primario
Secondary button,Pulsante secondario
+ Add secondary button,+ Aggiungi pulsante secondario
Overrides,Sostituzioni
Leaves slide-specific anchor; falls back to the slideshow's default.,Lascia l'ancora specifica della slide; ripiega sul valore predefinito dello slideshow.
Overlay tint,Tinta dell'overlay
Overlay opacity,Opacità dell'overlay
Make whole slide clickable,Rendi cliccabile l'intera slide
Behavior,Comportamento
Transition,Transizione
Slide,Scorrimento
Fade,Dissolvenza
Transition speed,Velocità di transizione
Autoplay,Riproduzione automatica
Autoplay delay,Ritardo riproduzione automatica
${seconds} s between slides,${seconds} s tra le slide
Pause on hover,Pausa al passaggio del mouse
Pause for 20 s after user nav,Pausa di 20 s dopo la navigazione dell'utente
Arrows,Frecce
Aspect ratio,Proporzioni
`Auto` matches the natural image height (jumps between slides).,`Auto` corrisponde all'altezza naturale dell'immagine (salta tra le slide).
Default content position,Posizione predefinita del contenuto
Per-slide overrides win.,Le sostituzioni per singola slide prevalgono.
Default overlay tint,Tinta predefinita dell'overlay
Default overlay opacity,Opacità predefinita dell'overlay
Slides (${count}),Slide (${count})
No slides yet.,Nessuna slide ancora.
Add your first slide,Aggiungi la tua prima slide
Slide ${number},Slide ${number}
Image only,Solo immagine
Empty,Vuoto
Show slide,Mostra slide
Hide slide,Nascondi slide
Move slide up,Sposta slide su
Move slide down,Sposta slide giù
Delete slide,Elimina slide
Top,Alto
Cover,Riempi
Contain,Adatta
Required for accessibility.,Necessario per l'accessibilità.
Image fit,Adattamento immagine
"Small all-caps label. E.g. ""LIMITED EDITION"".","Piccola etichetta in maiuscolo. Es. ""EDIZIONE LIMITATA""."
Limited edition,Edizione limitata
One strong line,Una riga d'impatto
Two lines of supporting copy.,Due righe di testo di supporto.
Image position,Posizione immagine
Vertical alignment,Allineamento verticale
Aligns the copy panel content.,Allinea il contenuto del pannello di testo.
Remove call to action,Rimuovi call to action
Add a call to action,Aggiungi una call to action
Custom CSS classes for the text block,Classi CSS personalizzate per il blocco di testo
Add group,Aggiungi gruppo
${label} · ${count} subs,${label} · ${count} sottocat.
Parent label,Etichetta principale
Parent link,Link principale
Image alt text,Testo alternativo immagine
Sub-categories,Sottocategorie
"Min 1, max 8.","Min 1, max 8."
Add sub-category,Aggiungi sottocategoria
Dresses,Abiti
Columns (desktop),Colonne (desktop)
On tablets the layout is always 2 columns.,Su tablet il layout è sempre a 2 colonne.
Make parent image a link,Rendi l'immagine principale un link
"When off, only the sub-chips and parent label are interactive.","Se disattivato, solo i chip secondari e l'etichetta principale sono interattivi."
Title,Titolo
e.g. Free shipping,es. Spedizione gratuita
Optional supporting line below the title.,Riga di supporto opzionale sotto il titolo.
Icon,Icona
Optional. SVG or raster image. Hidden when icons are turned off globally.,Opzionale. Immagine SVG o raster. Nascosta quando le icone sono disattivate globalmente.
Optional. Makes the whole cell clickable.,Opzionale. Rende cliccabile l'intera cella.
"Auto matches the item count, capped at 4.","Auto corrisponde al numero di elementi, con un massimo di 4."
3,3
4,4
Icon size,Dimensione icona
Show icons,Mostra icone
Master switch. Items without an icon URL are unaffected.,Interruttore principale. Gli elementi senza URL icona non sono interessati.
Show divider,Mostra divisore
Vertical line between cells.,Linea verticale tra le celle.
Collection,Collezione
Search collections…,Cerca collezioni…
No collections match “${value}”.,Nessuna collezione corrisponde a “${value}”.
You have no collections yet.,Non hai ancora nessuna collezione.
Please select a collection,Seleziona una collezione
"Defaults to ""${name}"" (the collection's name).","Predefinito su ""${name}"" (il nome della collezione)."
Defaults to the picked collection's name.,Predefinito sul nome della collezione selezionata.
Collection name,Nome della collezione
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,Predefinito sulla descrizione della collezione. Impostando questo valore si sostituisce la descrizione in rich-text con testo semplice.
e.g. Hand-picked styles for the season.,es. Stili selezionati a mano per la stagione.
View all link,Link Vedi tutto
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.","Opzionale. Nascosto se vuoto. Scegli una categoria, un prodotto, una pagina o incolla un URL personalizzato."
"Optional. Defaults to ""View all →"".","Opzionale. Predefinito su ""Vedi tutto →""."
View all →,Vedi tutto →
Total products,Prodotti totali
Number of products to display.,Numero di prodotti da visualizzare.
Products per row,Prodotti per riga
Grid columns (1–6 typical).,Colonne della griglia (tipicamente 1–6).
Count is required,Il numero è obbligatorio
e.g. 8,es. 8
Count per row is required,Il numero per riga è obbligatorio
e.g. 4,es. 4
Cover image,Immagine di copertina
COLLECTION,COLLEZIONE
"Defaults to ""${pickedName}"".","Predefinito su ""${pickedName}""."
Defaults to the picked collection name.,Predefinito sul nome della collezione selezionata.
Optional. One or two sentences of editorial copy.,Opzionale. Una o due frasi di testo editoriale.
"Linen, cotton, easy stuff.","Lino, cotone, cose comode."
Preview product count,Numero di prodotti in anteprima
2 (1×2),2 (1×2)
4 (2×2),4 (2×2)
Please pick a collection,Scegli una collezione
Add collection,Aggiungi collezione
Row heading,Intestazione riga
The Linen Edit,The Linen Edit
Optional. Hidden when empty.,Opzionale. Nascosto se vuoto.
View all label,Etichetta Vedi tutto
Show price,Mostra prezzo
Show divider between rows,Mostra divisore tra le righe
Selected:,Selezionato:
Image override,Sostituzione immagine
Override image,Sostituisci immagine
Override image (optional),Sostituisci immagine (opzionale)
Leave empty to use the product's primary image.,Lascia vuoto per usare l'immagine principale del prodotto.
Small label above the product name. Optional.,Piccola etichetta sopra il nome del prodotto. Opzionale.
FEATURED,IN EVIDENZA
Editorial copy,Testo editoriale
Overrides the product's own description in this context. Leave blank to hide.,Sostituisce la descrizione del prodotto in questo contesto. Lascia vuoto per nascondere.
Two lines of copy explaining why this product is being spotlighted right now.,Due righe di testo che spiegano perché questo prodotto è messo in evidenza in questo momento.
Please pick a product,Scegli un prodotto
e.g. On orders over $50,es. Sugli ordini superiori a $50
Text block,Blocco di testo
Menu,Menu
Footer menu,Menu del piè di pagina
Banner,Banner
Simple Slideshow,Slideshow semplice
Brand story,Storia del brand
Category mosaic,Mosaico di categorie
Tiered categories,Categorie a livelli
Bento grid,Griglia bento
Separator,Separatore
Section,Sezione
Split feature,Riquadro diviso
Announcement bar,Barra annunci
Coupon block,Blocco coupon
FAQ block,Blocco FAQ
Trust strip,Striscia di fiducia
Collection products,Prodotti della collezione
Collection stack,Stack di collezioni
Collection spotlight,Collezione in evidenza
Product hero,Hero prodotto
Layout container with 1–4 columns for nesting widgets.,Contenitore layout con 1–4 colonne per annidare i widget.
Add rich text content,Aggiungi contenuto di testo formattato
Navigation links,Link di navigazione
Multi-column list of footer links — a titled column of navigation links per group.,Elenco a più colonne di link del footer — una colonna con titolo di link di navigazione per ogni gruppo.
A single hero image with optional overlay copy and CTAs.,Una singola immagine hero con testo in sovrimpressione e CTA opzionali.
Rotating image carousel,Carosello di immagini rotante
Editorial block combining an image and long-form brand narrative. Four layout variants.,Blocco editoriale che combina un'immagine e una narrazione estesa del brand. Quattro varianti di layout.
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.","Una griglia di 3–6 riquadri di categorie per il punto di accesso principale ""Acquista per categoria""."
A two-level nav block: parent category image plus a row of sub-category chips.,Un blocco di navigazione a due livelli: immagine della categoria principale più una riga di chip di sottocategorie.
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,Un mosaico asimmetrico di riquadri CTA — un grande riquadro hero più 1–4 riquadri di supporto.
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.","Spaziatura verticale tra i widget, con una linea divisoria opzionale. Su mobile si ridimensiona automaticamente."
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,Fascia stilizzata che racchiude altri widget. Alterna tra ampia (da bordo a bordo) e in cornice (contenitore del tema).
A 50/50 image + copy promo block with optional CTA. The canonical promo moment widget.,Un blocco promozionale 50/50 con immagine + testo e CTA opzionale. Il widget promozionale per eccellenza.
A thin top-of-page bar with one or more rotating announcements.,Una barra sottile in cima alla pagina con uno o più annunci rotanti.
A promo panel with a copyable discount code and CTA.,Un pannello promozionale con un codice sconto copiabile e una CTA.
Flexible content block mixing prose sections and accordion FAQ groups.,Blocco di contenuto flessibile che combina sezioni di testo e gruppi FAQ a fisarmonica.
"A row of value-prop items (free shipping, easy returns, etc.) for below-the-hero or above-the-footer reinforcement.","Una riga di elementi di valore (spedizione gratuita, resi facili, ecc.) per rafforzare la sezione sotto l'hero o sopra il footer."
A list of products from a collection,Un elenco di prodotti da una collezione
"Stacked rows of collections, each with a heading, view-all link, and a strip of products.","Righe impilate di collezioni, ciascuna con un titolo, un link ""vedi tutto"" e una striscia di prodotti."
"A featured collection with cover image, editorial copy, and a small product preview grid.","Una collezione in evidenza con immagine di copertina, testo editoriale e una piccola griglia di anteprima prodotti."
"A single-product spotlight — image, name, price, and a link to the full product page.","Un prodotto singolo in evidenza — immagine, nome, prezzo e un link alla pagina completa del prodotto."
