Welcome Back!,Тавтай морилно уу!
Provinces is required,Аймгууд шаардлагатай
Provinces:,Аймгууд:
Publish failed,Нийтлэл амжилтгүй боллоо
Publish now,Одоо нийтлэх
Publish to the live storefront,Идэвхтэй дэлгүүрт нийтлэх
Publishable Key,Нийтлэх боломжтой түлхүүр
Publishing…,Нийтэлж байна…
Qty is required,Тоо ширхэг шаардлагатай
Quick links,Шуурхай холбоосууд
Rate,Тариф
Rate added,Тариф нэмэгдлээ
Rate is required,Тариф шаардлагатай
Rate removed,Тариф хасагдлаа
Rate status,Тарифын төлөв
Rate updated,Тариф шинэчлэгдлээ
Redo (⇧⌘Z) — re-applies the last undone edit on this page,Дахин хийх (⇧⌘Z) — энэ хуудсанд буцаасан сүүлчийн засварыг дахин хэрэгжүүлнэ
Redo last undone change on this page,Энэ хуудсанд буцаасан сүүлчийн өөрчлөлтийг дахин хийх
Reference,Лавлагаа
Refund,Буцаан олголт
Refund amount,Буцаан олголтын дүн
Remove Zone,Бүс хасах
Remove placement,Байршил хасах
Remove rate,Тариф хасах
Remove this rate?,Энэ тарифыг устгах уу?
Removed,Устгасан
Resize settings drawer,Тохиргооны самбарын хэмжээг өөрчлөх
"Results for ""${keyword}""","""${keyword}""-ийн үр дүн"
Revert all pages to saved state,Бүх хуудсыг хадгалсан төлөвт буцаах
Revert everything,Бүгдийг буцаах
Revert this page,Энэ хуудсыг буцаах
Revert this page only,Зөвхөн энэ хуудсыг буцаах
Revert to saved state?,Хадгалсан төлөвт буцаах уу?
Reverting…,Буцааж байна…
Rich text,Баялаг текст
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,Энэ нэвтрүүлэлтийг сүүлд хадгалсанаас хойш хийсэн өөрчлөлтүүдээ буцаах. Шууд дэлгүүр хэвээр байна — энэ нь аль хэдийн хадгалсан төлөвийг тусгасан.
SEO,SEO
SEO Information,SEO мэдээлэл
SKU is required,SKU шаардлагатай
Sale,Хямдрал
Sandbox,Туршилтын орчин
Save Settings,Тохиргоог хадгалах
Save as rollout plan,Нэвтрүүлэлтийн төлөвлөгөө болгон хадгалах
Save as rollout plan and leave,Нэвтрүүлэлтийн төлөвлөгөө болгон хадгалаад гарах
Save changes,Өөрчлөлтийг хадгалах
Save failed,Хадгалж чадсангүй
Save method,Аргыг хадгалах
Save rate,Тарифыг хадгалах
Saving…,Хадгалж байна…
Schedule failed,Хуваарь тогтоож чадсангүй
Scheduled,Хуваарьт оруулсан
Search engine optimize,Хайлтын системд оновчтой болгох
Search widgets,Виджет хайх
Secret Key,Нууц түлхүүр
Select Category,Ангилал сонгох
Select Parent Category,Эх ангилал сонгох
Select Products by SKU,Бүтээгдэхүүнийг SKU-аар сонгох
Select a provider first,Эхлээд нийлүүлэгч сонгоно уу
Select a provider…,Нийлүүлэгч сонгох…
Select an option,Сонголт сонгох
Select category,Ангилал сонгох
Select countries,Улсуудыг сонгох
Select operator,Оператор сонгох
Select options,Сонголтуудыг сонгох
Select page,Хуудас сонгох
Select products to add to this collection.,Энэ цуглуулгад нэмэх бүтээгдэхүүнүүдийг сонгоно уу.
Select the list of attribute,Шинж чанарын жагсаалтыг сонгох
Select this option if the product is a digital product or service that does not require shipping.,Хэрэв бүтээгдэхүүн нь хүргэлт шаардлагагүй дижитал бүтээгдэхүүн эсвэл үйлчилгээ бол энэ сонголтыг сонгоно уу.
Set a start time to schedule.,Хуваарьт оруулахын тулд эхлэх хугацааг тохируулна уу.
Set the status and visibility of the product.,Бүтээгдэхүүний төлөв болон харагдах байдлыг тохируулна уу.
Share,Хуваалцах
Shipping Cost,Хүргэлтийн зардал
Shipping Providers,Хүргэлтийн нийлүүлэгчид
Shipping address,Хүргэх хаяг
Shipping cost is required,Хүргэлтийн зардал шаардлагатай
Shipping provider setting saved,Хүргэлтийн нийлүүлэгчийн тохиргоог хадгаллаа
Shipping tax class,Хүргэлтийн татварын ангилал
Short text,Богино текст
Show global areas,Глобал хэсгүүдийг харуулах
Show on routes,Маршрутууд дээр харуулах
Show products?,Бүтээгдэхүүн харуулах уу?
Show this widget on every page,Энэ виджетийг бүх хуудсан дээр харуулах
Size (L × W × H),Хэмжээ (У × Ө × Ө)
Sort,Эрэмбэлэх
Sort order is required,Эрэмбийн дараалал шаардлагатай
Sort order must be a positive number,Эрэмбийн дараалал эерэг тоо байх ёстой
Start,Эхлэх
Start a page-builder session,Хуудас бүтээгчийн сесс эхлүүлэх
Start date,Эхлэх огноо
Start new changeset,Шинэ өөрчлөлтийн багц эхлүүлэх
Start time is invalid.,Эхлэх хугацаа буруу байна.
State Date,Огноо
Status is required,Төлөв шаардлагатай
Stay,Үлдэх
Stay on this page,Энэ хуудсан дээр үлдэх
Stock Availability,Нөөцийн боломж
Stop highlighting global areas,Глобал хэсгүүдийг тодруулахаа болих
Store Address,Дэлгүүрийн хаяг
Store Description,Дэлгүүрийн тайлбар
Store Email,Дэлгүүрийн имэйл
Store Name,Дэлгүүрийн нэр
Store Phone Number,Дэлгүүрийн утасны дугаар
Store Setting,Дэлгүүрийн тохиргоо
Store Settings,Дэлгүүрийн тохиргоо
Store address,Дэлгүүрийн хаяг
Storefront,Дэлгүүрийн нүүр
Stripe Payment,Stripe төлбөр
Tablet,Таблет
Take our survey,Манай судалгаанд оролцоно уу
Target Products,Зорилтот бүтээгдэхүүн
Tax Class,Татварын ангилал
Tax calculation configuration,Татвар тооцоолох тохиргоо
Tax class name,Татварын ангиллын нэр
Tax class name is required,Татварын ангиллын нэр шаардлагатай
Tax classes,Татварын ангиллууд
Tax rate has been saved successfully!,Татварын тарифыг амжилттай хадгаллаа!
Tax setting has been saved successfully!,Татварын тохиргоог амжилттай хадгаллаа!
The box or envelope this product ships in. Applies to all variants of this product.,Энэ бүтээгдэхүүнийг хүргэх хайрцаг эсвэл дугтуй. Энэ бүтээгдэхүүний бүх хувилбарт хамаарна.
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,Таны хүргэлтэд ашигладаг хайрцаг болон дугтуйнууд. Хүргэх боломжтой бүх бүтээгдэхүүн нэгийг ашигладаг — түүний хэмжээ болон хоосон жин нь хүргэлтийн үнэ болон шошгыг тодорхойлдог.
The conditions related to the customer for the coupon to be applied.,Купоныг хэрэглэхэд хамаарах худалдан авагчтай холбоотой нөхцлүүд.
The conditions related to the order for the coupon to be applied.,Купоныг хэрэглэхэд хамаарах захиалгатай холбоотой нөхцлүүд.
The default package cannot be deleted,Үндсэн багцыг устгах боломжгүй
The draft holds ${count} saved changes you can publish later.,Ноорогт дараа нь нийтлэх боломжтой ${count} хадгалсан өөрчлөлт байна.
The draft holds 1 saved change you can publish later.,Ноорогт дараа нь нийтлэх боломжтой 1 хадгалсан өөрчлөлт байна.
The draft is deleted.,Ноорог устгагдсан.
The draft itself is deleted.,Ноорог өөрөө устгагдсан.
The general information about the coupon.,Купоны талаарх ерөнхий мэдээлэл.
"The language of the admin panel, independent of the storefront.",Дэлгүүрийн нүүрнээс хамааралгүй админ самбарын хэл.
The method will no longer apply to this zone.,Энэ арга нь энэ бүсэд цаашид хамаарахгүй.
The minimum quantity of items required in the order to qualify for this coupon.,Энэ купоныг авах эрх үүсгэхэд захиалгад шаардагдах барааны хамгийн бага тоо хэмжээ.
The minimum total amount required for the order to qualify for this coupon.,Энэ купоныг авах эрх үүсгэхэд захиалгад шаардагдах хамгийн бага нийт дүн.
The rollout plan,Нэвтрүүлэлтийн төлөвлөгөө
The storefront's primary language. Pages in this language have no URL prefix.,Дэлгүүрийн нүүрний үндсэн хэл. Энэ хэл дээрх хуудсууд URL угтваргүй.
The type of discount applied by the coupon.,Купоноор хэрэглэх хөнгөлөлтийн төрөл.
The zone this rate applies to.,Энэ тариф хамаарах бүс.
"There is no ""Select"" attribute available.","Боломжтой ""Select"" шинж чанар алга."
There is no attribute to display,Харуулах шинж чанар алга
There is no category to display,Харуулах ангилал алга
There is no collections to display,Харуулах цуглуулга алга
There is no coupon to display,Харуулах купон алга
There is no customer to display,Харуулах худалдан авагч алга
There is no order to display,Харуулах захиалга алга
There is no page to display,Харуулах хуудас алга
There is no widget to display,Харуулах виджет алга
There was an error fetching attribute groups.,Шинж чанарын бүлгүүдийг татахад алдаа гарлаа.
There was an error fetching categories.,Ангиллуудыг татахад алдаа гарлаа.
There was an error fetching collections.,Цуглуулгуудыг татахад алдаа гарлаа.
There was an error fetching file browser APIs.,Файл хөтлөгчийн API-уудыг татахад алдаа гарлаа.
There was an error fetching products.,Бүтээгдэхүүнүүдийг татахад алдаа гарлаа.
This cannot be undone. Packages still assigned to products can't be removed.,Үүнийг буцаах боломжгүй. Бүтээгдэхүүнд хуваарилагдсан хэвээр байгаа багцуудыг устгах боломжгүй.
This changeset has no operations yet.,Энэ өөрчлөлтийн багцад одоогоор ямар ч үйлдэл алга.
This field is required,Энэ талбар шаардлагатай
This is the URL path for the CMS page.,Энэ нь CMS хуудасны URL зам юм.
This is the address used to calculate tax rates.,Энэ нь татварын тарифыг тооцоолоход ашигладаг хаяг юм.
This is the meta title for the CMS page.,Энэ нь CMS хуудасны мета гарчиг юм.
This is the name of the CMS page that will be displayed in the admin panel.,Энэ нь админ самбарт харагдах CMS хуудасны нэр юм.
This is the tax class applied to shipping costs.,Энэ нь хүргэлтийн зардалд хэрэглэх татварын ангилал юм.
This product has some variants like color or size?,"Энэ бүтээгдэхүүн өнгө, хэмжээ зэрэг хувилбартай юу?"
This provider has no per-zone configuration. Methods and per-zone rates are managed in the provider's own admin area.,Энэ нийлүүлэгч бүс тус бүрийн тохиргоогүй. Аргууд болон бүс тус бүрийн тарифыг нийлүүлэгчийн өөрийн админ хэсэгт удирддаг.
This removes the zone along with its provider attachments and rates. This cannot be undone.,Энэ нь бүсийг түүний нийлүүлэгчийн хавсралт болон тарифуудтай хамт устгана. Үүнийг буцаах боломжгүй.
This route has unpublished changes in your draft,Энэ маршрутад таны ноорогт нийтлээгүй өөрчлөлтүүд байна
This will be saved as a pending change you can publish or discard.,Энэ нь таны нийтлэх эсвэл хаях боломжтой хүлээгдэж буй өөрчлөлт болгон хадгалагдана.
Tiered,Шатлалт
Type is required,Төрөл шаардлагатай
URL Key,URL түлхүүр
URL Key is required,URL түлхүүр шаардлагатай
"URL Key must be lowercase and can only contain letters, numbers, and hyphens","URL түлхүүр жижиг үсгээр байх ёстой бөгөөд зөвхөн үсэг, тоо, зураас агуулж болно"
URL key,URL түлхүүр
URL key is required,URL түлхүүр шаардлагатай
URL key must be lowercase and can only contain alphanumeric characters and hyphens,URL түлхүүр жижиг үсгээр байх ёстой бөгөөд зөвхөн үсэг тоо болон зураас агуулж болно
Unassign,Хуваарилалтыг цуцлах
Undo (⌘Z) — undoes your last edit on this page,Буцаах (⌘Z) — энэ хуудсан дээрх сүүлчийн засварыг буцаана
Undo / Redo,Буцаах / Дахин хийх
Undo last change on this page,Энэ хуудсан дээрх сүүлчийн өөрчлөлтийг буцаах
Unknown,Тодорхойгүй
Unlink,Холбоос салгах
Unpin drawer,Хайрцгийн бэхэлгээ салгах
Unpin — drawer will close when you click empty canvas,Бэхэлгээ салгах — хоосон зураг дээр дармагц хайрцаг хаагдана
Unpublished changes,Нийтлээгүй өөрчлөлтүүд
Unsaved changes,Хадгалаагүй өөрчлөлтүүд
Update the name and active window for this rollout plan. Content edits are managed separately in the editor.,Энэ нэвтрүүлэх төлөвлөгөөний нэр болон идэвхтэй цонхыг шинэчилнэ. Контентын засваруудыг засварлагч дотор тусад нь удирдана.
Update the variant details and attributes here.,Хувилбарын дэлгэрэнгүй мэдээлэл болон шинж чанаруудыг энд шинэчилнэ үү.
Updated,Шинэчилсэн
Upload an image for the category.,Ангиллын зураг байршуулна уу.
Used Times,Ашигласан тоо
Value is required,Утга оруулах шаардлагатай
Variant Group,Хувилбарын бүлэг
Variant created successfully,Хувилбарыг амжилттай үүсгэлээ
Variant updated successfully,Хувилбарыг амжилттай шинэчиллээ
Version ${version},Хувилбар ${version}
Visibility,Харагдах байдал
Visibility determines where the product appears in the store. It does not affect the saleability of the product.,Харагдах байдал нь бүтээгдэхүүн дэлгүүрт хаана харагдахыг тодорхойлно. Энэ нь бүтээгдэхүүний борлуулагдах чадварт нөлөөлөхгүй.
Visitors will see the new layout on their next page load.,Зочид дараагийн хуудас ачаалах үед шинэ байрлалыг харах болно.
Webhook Secret Key,Webhook нууц түлхүүр
Weight,Жин
Weight must be 0 or greater,Жин 0 эсвэл түүнээс их байх ёстой
Weight must be a positive number,Жин эерэг тоо байх ёстой
Weight-based tiers,Жинд суурилсан түвшнүүд
Widget Settings,Widget тохиргоо
Widget created successfully!,Widget амжилттай үүсгэлээ!
Widgets,Widget-үүд
Width,Өргөн
Width is required,Өргөн оруулах шаардлагатай
Width must be greater than 0,Өргөн 0-оос их байх ёстой
Will roll out automatically: ${range},Автоматаар нэвтрэх болно: ${range}
Working…,Боловсруулж байна…
Worldwide,Дэлхий даяар
X,X
Y,Y
You have ${count} changes in this draft that haven’t been published yet.,Энэ ноорог дотор нийтлэгдээгүй ${count} өөрчлөлт байна.
You have ${count} changes still saving.,Хадгалагдаж байгаа ${count} өөрчлөлт байна.
You have 1 change in this draft that hasn’t been published yet.,Энэ ноорог дотор нийтлэгдээгүй 1 өөрчлөлт байна.
You have 1 change still saving.,Хадгалагдаж байгаа 1 өөрчлөлт байна.
Your draft is safe on the server — you can come back and publish it any time.,Таны ноорог серверт аюулгүй хадгалагдсан — та хүссэн үедээ буцаж ирээд нийтэлж болно.
Your edits on other pages stay in the draft.,Бусад хуудсан дахь таны засварууд нооргонд хадгалагдана.
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,Таны webhook url нь дараах байх ёстой: https://yourdomain.com/api/stripe/webhook
Zone,Бүс
Zone Name,Бүсийн нэр
Zone Rates,Бүсийн тарифууд
Zone created,Бүс үүсгэлээ
Zone is required,Бүс оруулах шаардлагатай
Zone name is required,Бүсийн нэр оруулах шаардлагатай
Zone removed,Бүс устгалаа
Zone updated,Бүс шинэчиллээ
Zones served,Үйлчилсэн бүсүүд
and ${count} more,болон бусад ${count}
container will also hide,савлагаа мөн нуугдана
current page,одоогийн хуудас
e.g. Small Box,ж.нь Жижиг хайрцаг
e.g. Summer Sale 2026,ж.нь Зуны хямдрал 2026
e.g. content,ж.нь content
"e.g., 10.00",ж.нь 10.00
"e.g., EU, US-West","ж.нь EU, US-West"
"e.g., Express",ж.нь Express
"e.g., FEDEX_GROUND, usps_priority","ж.нь FEDEX_GROUND, usps_priority"
every page,бүх хуудас
indefinite,хязгааргүй
open,нээх
"publishing is immediate and can’t be undone from this screen. To stage instead, cancel and choose “Schedule a rollout”.","нийтлэх нь шууд хийгдэх бөгөөд энэ дэлгэцээс буцаах боломжгүй. Үүний оронд бэлтгэхийн тулд цуцалж, “Нэвтрүүлэхийг товлох”-ыг сонгоно уу."
quantity of products are matched bellow conditions(All),доорх нөхцөлд тохирох бүтээгдэхүүний тоо хэмжээ (Бүгд)
subtotal,дэд дүн
to a storefront route's,дэлгүүрийн маршрутын
to make it appear here.,үүнийг энд харагдуулахын тулд.
weight,жин
widget? This will be saved as a pending change you can publish or discard.,widget? Энэ нь таны нийтлэх эсвэл устгаж болох хүлээгдэж буй өөрчлөлт болгон хадгалагдана.
will be removed and the live storefront will stop applying its edits. The underlying changeset and its pending content edits are preserved.,устгагдах бөгөөд идэвхтэй дэлгүүр түүний засваруудыг хэрэглэхээ болино. Үндсэн өөрчлөлтийн багц болон түүний хүлээгдэж буй контентын засварууд хадгалагдана.
— None —,— Байхгүй —
Cash On Delivery,Хүлээн авах үед төлөх
Please select a valid payment method,Хүчинтэй төлбөрийн арга сонгоно уу
Show ${label} width,${label} өргөнийг харуулах
Column ${index},Багана ${index}
Switch page,Хуудас солих
Search pages…,Хуудас хайх…
Search pages,Хуудас хайх
Save your pending edits — the live storefront will catch up,Хүлээгдэж буй засваруудаа хадгалах — идэвхтэй дэлгүүр шинэчлэгдэнэ
No changes to save — the rollout matches the editor,Хадгалах өөрчлөлт байхгүй — нэвтрүүлэлт нь засварлагчтай таарч байна
More rollout actions,Нэвтрүүлэх бусад үйлдлүүд
Revert to saved state…,Хадгалсан төлөвт буцах…
Roll back the editor to what the rollout currently shows on the storefront,Засварлагчийг нэвтрүүлэлт одоо дэлгүүрт харуулж буй төлөвт буцаах
Nothing to revert — the editor matches the saved state,Буцаах зүйл байхгүй — засварлагч нь хадгалсан төлөвтэй таарч байна
Cancel rollout plan…,Нэвтрүүлэх төлөвлөгөөг цуцлах…
Remove the schedule — the changeset is preserved,Хуваарийг устгах — өөрчлөлтийн багц хадгалагдана
Publish,Нийтлэх
More publish options,Нийтлэх бусад сонголтууд
Apply all edits to the live storefront immediately,Бүх засварыг идэвхтэй дэлгүүрт шууд хэрэглэх
Save as rollout plan…,Нэвтрүүлэх төлөвлөгөө болгон хадгалах…
Schedule these edits to roll out at a future time,Эдгээр засваруудыг ирээдүйд нэвтрүүлэхээр товлох
Discard pending changes…,Хүлээгдэж буй өөрчлөлтүүдийг устгах…
Choose between discarding the whole draft or just this page,Бүх ноорог эсвэл зөвхөн энэ хуудсыг устгах хооронд сонгоно уу
Switch session,Сесс солих
New changeset,Шинэ өөрчлөлтийн багц
Rollout: ${name},Нэвтрүүлэлт: ${name}
Click or drag to add,Нэмэхийн тулд дарах эсвэл чирэх
Background color,Дэвсгэр өнгө
Text color,Текстийн өнгө
Dwell time,Харагдах хугацаа
Time each announcement stays visible (in addition to the 400ms slide transition).,Зарлал бүр харагдаж байх хугацаа (400ms гулсах шилжилтээс гадна).
Announcements,Зарлалууд
Add announcement,Зарлал нэмэх
Untitled,Гарчиггүй
Free shipping on orders over $50,$50-аас дээш захиалгад үнэгүй хүргэлт
Optional. Makes the entire row a clickable link.,Заавал биш. Бүх мөрийг дарж болох холбоос болгоно.
Link label,Холбоосын шошго
Optional. Displayed after the content; defaults to the content itself.,Заавал биш. Контентын дараа харагдана; анхдагчаар контент өөрөө болно.
Shop now,Одоо худалдан авах
Dark,Бараан
Light,Цайвар
Gradient,Градиент
Left,Зүүн
Center,Төв
Right,Баруун
Selected image,Сонгосон зураг
No image selected,Зураг сонгоогүй
Replace,Солих
Clear,Цэвэрлэх
Reflects the alignment below.,Доорх зэрэгцүүлэлтийг тусгана.
Banner Image,Баннерын зураг
Mobile image,Гар утасны зураг
Optional. Swapped in below the 768px breakpoint. Falls back to the image above when empty — typical use is a portrait crop of the same scene.,Заавал биш. 768px-ийн доор солигдоно. Хоосон үед дээрх зураг руу буцна — ихэвчлэн ижил үзэгдлийн босоо тайралтыг ашиглана.
Alignment,Зэрэгцүүлэлт
Overlay copy,Давхаргын текст
Eyebrow,Дээд шошго
"Small all-caps label above the heading. E.g. ""LIMITED EDITION"".","Гарчгийн дээрх том үсгээр бичсэн жижиг шошго. Ж.нь ""LIMITED EDITION""."
LIMITED EDITION,ХЯЗГААРЛАГДМАЛ ХЭВЛЭЛ
Heading,Гарчиг
The Summer Edit,Зуны түүвэр
Sub-text,Дэд текст
One short supporting sentence.,Нэг богино тайлбар өгүүлбэр.
Overlay placement,Давхаргын байрлал
Content position,Контентын байрлал
Where the overlay text sits on the image.,Давхаргын текст зураг дээр хаана байрлахыг тодорхойлно.
Tint,Өнгөний нэмэлт
A scrim behind the overlay text for legibility. Dark / gradient flip the text to white automatically.,Уншихад хялбар болгох үүднээс давхаргын текстийн ард тавих хөшиг. Бараан / градиент нь текстийг автоматаар цагаан болгоно.
Tint opacity,Өнгөний тунгалаг байдал
Call to actions,Үйлдэлд уриалах
Remove primary CTA,Үндсэн CTA-г устгах
+ Add a primary CTA,+ Үндсэн CTA нэмэх
Secondary,Хоёрдогч
Remove secondary CTA,Хоёрдогч CTA-г устгах
Learn more,Дэлгэрэнгүй
+ Add a secondary CTA,+ Хоёрдогч CTA нэмэх
Details,Дэлгэрэнгүй
Alt text,Alt текст
Describes the banner for screen readers and SEO.,Дэлгэц уншигч болон SEO-д зориулж баннерыг тайлбарлана.
"e.g. ""Summer sale promotional banner""","ж.нь ""Зуны хямдралын сурталчилгааны баннер"""
Banner link,Баннерын холбоос
Optional. Clicking the banner navigates here.,Заавал биш. Баннер дээр дарвал энд шилжинэ.
Display name,Харагдах нэр
Shop,Дэлгүүр
Target,Зорилт
"Page, category, product, or a custom URL.","Хуудас, ангилал, бүтээгдэхүүн эсвэл захиалгат URL."
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,SEO: энэ холбоост зэрэглэлийн кредит дамжуулахгүй (rel=nofollow).
No referrer,Лавлагаагүй
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,Нууцлал: лавлагаа URL-ийг хасах (rel=noreferrer). Шинэ табын холбоост үргэлж багтана.
Menu items,Цэсний зүйлс
Add menu item,Цэсний зүйл нэмэх
Sub-items,Дэд зүйлс
Optional dropdown links (1 level).,Заавал биш дэлгэгдэх холбоос (1 түвшин).
Add sub-item,Дэд зүйл нэмэх
Options,Сонголтууд
Use as main menu,Үндсэн цэс болгон ашиглах
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.","Үндсэн навигаци — гар утсан дээр хамбургер цэс болж хураагдана. Энгийн холбоосын жагсаалт (ж.нь хөл) бол унтраа, энэ нь гар утсан дээр мөрөн дотор хэвээр үлдэнэ."
Custom CSS classes,Захиалгат CSS класс
Applied to the rendered menu element.,Гаргасан цэсний элементэд хэрэглэнэ.
e.g. main-nav font-semibold,ж.нь main-nav font-semibold
S,S
M,M
L,L
Tiles,Хавтгайлбар
Add tile,Хавтгайлбар нэмэх
Hero · ,Hero · 
Used when no image is set.,Зураг тохируулаагүй үед ашиглана.
Small label above the heading.,Гарчгийн дээрх жижиг шошго.
THE SUMMER EDIT,ЗУНЫ ЭДИТ
New Arrivals,Шинэ ирэлт
Body,Үндсэн хэсэг
Big card — the headline of the grid.,Том карт — торны гарчиг.
Link URL,Холбоосын URL
Gap,Зай
Minimum block height,Блокийн доод өндөр
Image left,Зураг зүүн талд
Image right,Зураг баруун талд
Centered,Голлуулсан
Pull quote,Иш татсан эшлэл
Variant,Хувилбар
Image column size,Зургийн баганын хэмжээ
Describe the image,Зургийг тайлбарлах
Copy,Текст
"Small all-caps label. E.g. ""OUR STORY"".","Жижиг том үсгийн шошго. Ж.нь ""БИДНИЙ ТҮҮХ""."
Our story,Бидний түүх
"Made by hand, in small batches","Гар хийц, бага хэмжээгээр"
"Required for the pull-quote variant. Displayed large, styled as a blockquote.","Иш татсан эшлэлийн хувилбарт шаардлагатай. Том харагдаж, blockquote хэлбэрээр загварчлагдана."
"A short, quotable line.","Богино, иш татах боломжтой мөр."
Three or four sentences of brand narrative.,"Брэндийн өгүүлэмжийн гурав, дөрвөн өгүүлбэр."
Second body paragraph (optional),Хоёр дахь үндсэн догол мөр (заавал биш)
A second short paragraph if the story needs it.,Түүхэнд шаардлагатай бол хоёр дахь богино догол мөр.
Read more link,Дэлгэрэнгүй унших холбоос
Read more,Дэлгэрэнгүй унших
URL,URL
Remove read-more link,Дэлгэрэнгүй унших холбоосыг устгах
+ Add a read-more link,+ Дэлгэрэнгүй унших холбоос нэмэх
Square,Дөрвөлжин
Landscape,Хэвтээ
Portrait,Босоо
Overlay,Давхарласан
Below,Доор
New category,Шинэ ангилал
Section heading,Хэсгийн гарчиг
Optional. Shown above the grid.,Заавал биш. Торны дээр харагдана.
Shop by category,Ангиллаар худалдан авах
Women,Эмэгтэй
Columns,Багана
Auto,Авто
Asymmetric makes the first tile span 2 columns.,Тэгш бус нь эхний хавтгайлбарыг 2 багана дамжуулна.
Uniform,Жигд
Asymmetric,Тэгш бус
Image aspect,Зургийн харьцаа
Label position,Шошгоны байрлал
Blush,Цайвар ягаан
XL,XL
Position ${c},Байрлал ${c}
Column layout,Баганын байрлал
Drag widgets into each column. Children re-flow when you change the ratio.,Виджетийг багана бүр рүү чирнэ. Харьцааг өөрчлөхөд дэд элементүүд дахин урсана.
Space between columns.,Багана хоорондын зай.
Where content sits within each column. Applied uniformly to every column.,Багана бүрийн дотор контент хаана байрлах. Багана бүрд жигд хэрэглэнэ.
Row appearance,Мөрийн харагдац
Background,Дэвсгэр
Custom color,Захиалгат өнгө
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","Аливаа CSS өнгө (ж.нь ""#0a0a0a"" эсвэл ""rgb(10,10,10)""). Дээрх дээжийг ашиглахын тулд хоосон орхино уу."
Padding,Дотор зай
Outer spacing around the row. Scales down on mobile.,Мөрний эргэн тойрны гадаад зай. Гар утсан дээр багасна.
Solid,Тасралтгүй
Dashed,Зураасан
Already expired,Хугацаа аль хэдийн дууссан
Expires in ${days}d ${hours}h,Хугацаа дуусахад ${days}ө ${hours}ц
Expires in ${hours}h ${minutes}m,Хугацаа дуусахад ${hours}ц ${minutes}м
Offer,Санал
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".","Яаралтай мөр. Заавал биш. Ж.нь ""Хязгаарлагдмал · Ням гарагт дуусна""."
Limited · Ends Sunday,Хязгаарлагдмал · Ням гарагт дуусна
Headline,Гарчиг
Take 20% off your order,Захиалгаасаа 20% хямдрал аваарай
Optional. One short instructional line.,Заавал биш. Нэг богино зааварчилгааны мөр.
Use code at checkout,Төлбөр төлөхдөө кодыг ашиглана уу
Promo code,Урамшууллын код
Displayed in uppercase to shoppers.,Худалдан авагчдад том үсгээр харагдана.
Expires,Хугацаа дуусна
Optional. The block auto-hides after this time for live visitors.,Заавал биш. Энэ хугацааны дараа блок шууд зочдод автоматаар нуугдана.
Call to action,Үйлдэл уриалга
Button label,Товчны шошго
Shop now →,Одоо худалдан авах →
Button link,Товчны холбоос
Appearance,Харагдац
Border,Хүрээ
Narrow,Нарийн
Normal,Энгийн
Wide,Өргөн
Shown above all content. Optional.,Бүх контентын дээр харагдана. Заавал биш.
e.g. Frequently asked,ж.нь Түгээмэл асуулт
Prose,Бичвэр
FAQ group · ${count} items,FAQ бүлэг · ${count} зүйл
Group heading,Бүлгийн гарчиг
Optional sub-heading.,Заавал биш дэд гарчиг.
e.g. Shipping,ж.нь Хүргэлт
Add question,Асуулт нэмэх
Question,Асуулт
e.g. How long does shipping take?,ж.нь Хүргэлт хэр удах вэ?
Answer,Хариулт
"Supports **bold**, _italic_, and line breaks.","**bold**, _italic_ болон мөр таслалтыг дэмждэг."
e.g. Orders ship within 24 hours…,ж.нь Захиалга 24 цагийн дотор илгээгдэнэ…
Add prose,Бичвэр нэмэх
Add FAQ group,FAQ бүлэг нэмэх
Max width,Дээд өргөн
Content column width.,Контентын баганын өргөн.
Allow multiple open,Олныг нээхийг зөвшөөрөх
"When off, opening one FAQ item closes the others in the same group.",Унтраалттай үед нэг FAQ зүйлийг нээхэд тухайн бүлгийн бусдыг хаана.
New link,Шинэ холбоос
New column,Шинэ багана
Add column,Багана нэмэх
${title} · ${count} links,${title} · ${count} холбоос
Column title,Баганын гарчиг
Links,Холбоос
"Min 1, max 12.","Хамгийн бага 1, дээд 12."
Add link,Холбоос нэмэх
New arrivals,Шинэ ирэлт
Boxed,Хайрцагласан
Wide (full bleed),Өргөн (бүтэн дүүргэлт)
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,Хайрцагласан нь хуудасны контейнер дотор үлдэнэ (загвар нь дээд өргөнийг шийднэ). Өргөн нь захаас зах хүртэл задарна.
Scales down on mobile.,Гар утсан дээр багасна.
Optional. Painted behind content. Combine with a tint below for legibility.,Заавал биш. Контентын ард будагдана. Уншихад тохиромжтой болгохын тулд доорх өнгөтэй хослуул.
XS,XS
Spacing,Зай
Size,Хэмжээ
