Welcome Back!,С возвращением!
Mobile image,Мобильное изображение
Optional. Swapped in below the 768px breakpoint. Falls back to the image above when empty — typical use is a portrait crop of the same scene.,Необязательно. Подставляется ниже контрольной точки 768px. При пустом значении используется изображение выше — обычно это портретная обрезка той же сцены.
Alignment,Выравнивание
Overlay copy,Текст наложения
Eyebrow,Надзаголовок
"Small all-caps label above the heading. E.g. ""LIMITED EDITION"".",Небольшая надпись заглавными буквами над заголовком. Напр. «LIMITED EDITION».
LIMITED EDITION,ОГРАНИЧЕННАЯ СЕРИЯ
Heading,Заголовок
The Summer Edit,Летняя подборка
Sub-text,Подзаголовок
One short supporting sentence.,Одно короткое поясняющее предложение.
Overlay placement,Расположение наложения
Content position,Позиция содержимого
Where the overlay text sits on the image.,Где текст наложения располагается на изображении.
Tint,Затемнение
A scrim behind the overlay text for legibility. Dark / gradient flip the text to white automatically.,Подложка за текстом наложения для читаемости. Тёмный / градиент автоматически делают текст белым.
Tint opacity,Непрозрачность затемнения
Call to actions,Призывы к действию
Remove primary CTA,Удалить основной CTA
+ Add a primary CTA,+ Добавить основной CTA
Secondary,Второстепенный
Remove secondary CTA,Удалить второстепенный CTA
Learn more,Подробнее
+ Add a secondary CTA,+ Добавить второстепенный CTA
Details,Подробности
Alt text,Альтернативный текст
Describes the banner for screen readers and SEO.,Описывает баннер для программ чтения с экрана и SEO.
"e.g. ""Summer sale promotional banner""",напр. «Рекламный баннер летней распродажи»
Banner link,Ссылка баннера
Optional. Clicking the banner navigates here.,Необязательно. Клик по баннеру ведёт сюда.
Display name,Отображаемое имя
Shop,Магазин
Target,Цель
"Page, category, product, or a custom URL.","Страница, категория, товар или пользовательский URL."
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,SEO: не передавать вес ранжирования по этой ссылке (rel=nofollow).
No referrer,Без реферера
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,Конфиденциальность: убрать URL источника перехода (rel=noreferrer). Ссылки в новой вкладке всегда содержат это.
Menu items,Пункты меню
Add menu item,Добавить пункт меню
Sub-items,Подпункты
Optional dropdown links (1 level).,Необязательные ссылки выпадающего меню (1 уровень).
Add sub-item,Добавить подпункт
Options,Параметры
Use as main menu,Использовать как главное меню
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.","Основная навигация — на мобильных устройствах сворачивается в меню-гамбургер. Отключите для простого списка ссылок (например, в подвале), который остаётся встроенным на мобильных."
Custom CSS classes,Пользовательские классы CSS
Applied to the rendered menu element.,Применяются к отображаемому элементу меню.
e.g. main-nav font-semibold,"например, main-nav font-semibold"
S,S
M,M
L,L
Tiles,Плитки
Add tile,Добавить плитку
Hero · ,Баннер · 
Used when no image is set.,"Используется, если изображение не задано."
Small label above the heading.,Небольшая надпись над заголовком.
THE SUMMER EDIT,ЛЕТНЯЯ ПОДБОРКА
New Arrivals,Новинки
Body,Текст
Big card — the headline of the grid.,Большая карточка — главный акцент сетки.
Link URL,URL ссылки
Gap,Отступ
Minimum block height,Минимальная высота блока
Image left,Изображение слева
Image right,Изображение справа
Centered,По центру
Pull quote,Выноска
Variant,Вариант
Image column size,Размер колонки изображения
Describe the image,Опишите изображение
Copy,Текст
"Small all-caps label. E.g. ""OUR STORY"".","Небольшая надпись заглавными буквами. Например, ""НАША ИСТОРИЯ""."
Our story,Наша история
"Made by hand, in small batches","Сделано вручную, малыми партиями"
"Required for the pull-quote variant. Displayed large, styled as a blockquote.",Обязательно для варианта с выноской. Отображается крупно в стиле цитаты.
"A short, quotable line.",Короткая цитируемая фраза.
Three or four sentences of brand narrative.,Три-четыре предложения о бренде.
Second body paragraph (optional),Второй абзац текста (необязательно)
A second short paragraph if the story needs it.,"Второй короткий абзац, если требуется для истории."
Read more link,Ссылка «Подробнее»
Read more,Подробнее
URL,URL
Remove read-more link,Удалить ссылку «Подробнее»
+ Add a read-more link,+ Добавить ссылку «Подробнее»
Square,Квадрат
Landscape,Горизонтальное
Portrait,Вертикальное
Overlay,Поверх изображения
Below,Под изображением
New category,Новая категория
Section heading,Заголовок раздела
Optional. Shown above the grid.,Необязательно. Отображается над сеткой.
Shop by category,Покупки по категориям
Women,Женщины
Columns,Колонки
Auto,Авто
Asymmetric makes the first tile span 2 columns.,Асимметричный режим растягивает первую плитку на 2 колонки.
Uniform,Равномерно
Asymmetric,Асимметрично
Image aspect,Соотношение сторон изображения
Label position,Положение подписи
Blush,Пудровый
XL,XL
Position ${c},Позиция ${c}
Column layout,Макет колонок
Drag widgets into each column. Children re-flow when you change the ratio.,Перетащите виджеты в каждую колонку. Дочерние элементы перестраиваются при изменении соотношения.
Space between columns.,Расстояние между колонками.
Where content sits within each column. Applied uniformly to every column.,Расположение содержимого внутри каждой колонки. Применяется одинаково ко всем колонкам.
Row appearance,Оформление строки
Background,Фон
Custom color,Пользовательский цвет
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","Любой цвет CSS (например, ""#0a0a0a"" или ""rgb(10,10,10)""). Оставьте пустым, чтобы использовать образец выше."
Padding,Внутренние отступы
Outer spacing around the row. Scales down on mobile.,Внешние отступы вокруг строки. Уменьшаются на мобильных устройствах.
Solid,Сплошная
Dashed,Пунктирная
Already expired,Срок уже истёк
Expires in ${days}d ${hours}h,Истекает через ${days}д ${hours}ч
Expires in ${hours}h ${minutes}m,Истекает через ${hours}ч ${minutes}м
Offer,Предложение
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".","Строка срочности. Необязательно. Например, ""Ограничено · Заканчивается в воскресенье""."
Limited · Ends Sunday,Ограничено · Заканчивается в воскресенье
Headline,Заголовок
Take 20% off your order,Скидка 20% на ваш заказ
Optional. One short instructional line.,Необязательно. Одна короткая поясняющая строка.
Use code at checkout,Введите код при оформлении заказа
Promo code,Промокод
Displayed in uppercase to shoppers.,Отображается покупателям заглавными буквами.
Expires,Истекает
Optional. The block auto-hides after this time for live visitors.,Необязательно. После этого времени блок автоматически скрывается для посетителей.
Call to action,Призыв к действию
Button label,Текст кнопки
Shop now →,Купить сейчас →
Button link,Ссылка кнопки
Appearance,Оформление
Border,Граница
Narrow,Узкий
Normal,Обычный
Wide,Широкий
Shown above all content. Optional.,Отображается над всем содержимым. Необязательно.
e.g. Frequently asked,"например, Часто задаваемые"
Prose,Текст
FAQ group · ${count} items,Группа FAQ · ${count} элементов
Group heading,Заголовок группы
Optional sub-heading.,Необязательный подзаголовок.
e.g. Shipping,"например, Доставка"
Add question,Добавить вопрос
Question,Вопрос
e.g. How long does shipping take?,"например, Сколько времени занимает доставка?"
Answer,Ответ
"Supports **bold**, _italic_, and line breaks.","Поддерживает **жирный**, _курсив_ и переносы строк."
e.g. Orders ship within 24 hours…,"например, Заказы отправляются в течение 24 часов…"
Add prose,Добавить текст
Add FAQ group,Добавить группу FAQ
Max width,Максимальная ширина
Content column width.,Ширина колонки содержимого.
Allow multiple open,Разрешить несколько открытых
"When off, opening one FAQ item closes the others in the same group.","Если выключено, открытие одного элемента FAQ закрывает остальные в этой же группе."
New link,Новая ссылка
New column,Новая колонка
Add column,Добавить колонку
${title} · ${count} links,${title} · ${count} ссылок
Column title,Заголовок колонки
Links,Ссылки
"Min 1, max 12.","Мин. 1, макс. 12."
Add link,Добавить ссылку
New arrivals,Новинки
Boxed,В контейнере
Wide (full bleed),Широкий (на всю ширину)
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,В контейнере содержимое остаётся внутри контейнера страницы (максимальную ширину задаёт тема). Широкий растягивается от края до края.
Scales down on mobile.,Уменьшается на мобильных устройствах.
Optional. Painted behind content. Combine with a tint below for legibility.,Необязательно. Отображается за содержимым. Сочетайте с затемнением ниже для читаемости.
XS,XS
Spacing,Отступы
Size,Размер
Mobile scales down ~⅔ automatically.,На мобильных уменьшается примерно до ⅔ автоматически.
Divider line,Разделительная линия
Show divider line,Показывать разделительную линию
A horizontal rule centred in the spacing band.,Горизонтальная линия по центру области отступа.
Line color,Цвет линии
Default uses the theme's divider color.,По умолчанию используется цвет разделителя темы.
Sides,Стороны
Bottom,Снизу
Dots,Точки
Bars,Полосы
Mobile image (optional),Изображение для мобильных (необязательно)
Used at ≤ 767 px. Falls back to the main image.,Используется при ≤ 767 px. По умолчанию берётся основное изображение.
e.g. New collection,напр. Новая коллекция
e.g. Summer Sale,напр. Летняя распродажа
Sub text,Подзаголовок
Check out our latest products with special discounts.,Ознакомьтесь с нашими новинками со специальными скидками.
Primary button,Основная кнопка
Secondary button,Дополнительная кнопка
+ Add secondary button,+ Добавить дополнительную кнопку
Overrides,Переопределения
Leaves slide-specific anchor; falls back to the slideshow's default.,"Оставляет якорь, заданный для слайда; по умолчанию используется настройка слайд-шоу."
Overlay tint,Оттенок наложения
Overlay opacity,Непрозрачность наложения
Make whole slide clickable,Сделать весь слайд кликабельным
Behavior,Поведение
Transition,Переход
Slide,Слайд
Fade,Затухание
Transition speed,Скорость перехода
Autoplay,Автовоспроизведение
Autoplay delay,Задержка автовоспроизведения
${seconds} s between slides,${seconds} с между слайдами
Pause on hover,Пауза при наведении
Pause for 20 s after user nav,Пауза на 20 с после переключения пользователем
Arrows,Стрелки
Aspect ratio,Соотношение сторон
`Auto` matches the natural image height (jumps between slides).,`Auto` подстраивается под естественную высоту изображения (скачки между слайдами).
Default content position,Положение контента по умолчанию
Per-slide overrides win.,Приоритет у настроек отдельного слайда.
Default overlay tint,Оттенок наложения по умолчанию
Default overlay opacity,Непрозрачность наложения по умолчанию
Slides (${count}),Слайды (${count})
No slides yet.,Слайдов пока нет.
Add your first slide,Добавьте первый слайд
Slide ${number},Слайд ${number}
Image only,Только изображение
Empty,Пусто
Show slide,Показать слайд
Hide slide,Скрыть слайд
Move slide up,Переместить слайд вверх
Move slide down,Переместить слайд вниз
Delete slide,Удалить слайд
Top,Сверху
Cover,Заполнение
Contain,Вписать
Required for accessibility.,Обязательно для доступности.
Image fit,Подгонка изображения
"Small all-caps label. E.g. ""LIMITED EDITION"".",Небольшая надпись заглавными буквами. Напр. «LIMITED EDITION».
Limited edition,Ограниченная серия
One strong line,Одна яркая строка
Two lines of supporting copy.,Две строки поясняющего текста.
Image position,Положение изображения
Vertical alignment,Вертикальное выравнивание
Aligns the copy panel content.,Выравнивает содержимое текстовой панели.
Remove call to action,Удалить призыв к действию
Add a call to action,Добавить призыв к действию
Custom CSS classes for the text block,Пользовательские CSS-классы для текстового блока
Add group,Добавить группу
${label} · ${count} subs,${label} · ${count} подкат.
Parent label,Название родительской категории
Parent link,Ссылка родительской категории
Image alt text,Альтернативный текст изображения
Sub-categories,Подкатегории
"Min 1, max 8.","Мин. 1, макс. 8."
Add sub-category,Добавить подкатегорию
Dresses,Платья
Columns (desktop),Столбцы (десктоп)
On tablets the layout is always 2 columns.,На планшетах макет всегда в 2 столбца.
Make parent image a link,Сделать родительское изображение ссылкой
"When off, only the sub-chips and parent label are interactive.","Когда выключено, интерактивны только чипы подкатегорий и название родительской категории."
Title,Заголовок
e.g. Free shipping,напр. Бесплатная доставка
Optional supporting line below the title.,Необязательная поясняющая строка под заголовком.
Icon,Значок
Optional. SVG or raster image. Hidden when icons are turned off globally.,"Необязательно. SVG или растровое изображение. Скрывается, когда значки отключены глобально."
Optional. Makes the whole cell clickable.,Необязательно. Делает всю ячейку кликабельной.
"Auto matches the item count, capped at 4.","Auto подстраивается под количество элементов, но не более 4."
3,3
4,4
Icon size,Размер значка
Show icons,Показывать значки
Master switch. Items without an icon URL are unaffected.,Главный переключатель. На элементы без URL значка не влияет.
Show divider,Показывать разделитель
Vertical line between cells.,Вертикальная линия между ячейками.
Collection,Коллекция
Search collections…,Поиск коллекций…
No collections match “${value}”.,"Нет коллекций, соответствующих «${value}»."
You have no collections yet.,У вас пока нет коллекций.
Please select a collection,"Пожалуйста, выберите коллекцию"
"Defaults to ""${name}"" (the collection's name).",По умолчанию «${name}» (название коллекции).
Defaults to the picked collection's name.,По умолчанию название выбранной коллекции.
Collection name,Название коллекции
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,По умолчанию описание коллекции. Установка этого значения заменяет форматированное описание обычным текстом.
e.g. Hand-picked styles for the season.,напр. Отобранные вручную стили сезона.
View all link,Ссылка «Смотреть все»
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.","Необязательно. Скрывается, если пусто. Выберите категорию, товар, страницу или вставьте собственный URL."
"Optional. Defaults to ""View all →"".",Необязательно. По умолчанию «Смотреть все →».
View all →,Смотреть все →
Total products,Всего товаров
Number of products to display.,Количество отображаемых товаров.
Products per row,Товаров в строке
Grid columns (1–6 typical).,Столбцы сетки (обычно 1–6).
Count is required,Количество обязательно
e.g. 8,напр. 8
Count per row is required,Количество в строке обязательно
e.g. 4,напр. 4
Cover image,Обложка
COLLECTION,КОЛЛЕКЦИЯ
"Defaults to ""${pickedName}"".",По умолчанию «${pickedName}».
Defaults to the picked collection name.,По умолчанию название выбранной коллекции.
Optional. One or two sentences of editorial copy.,Необязательно. Одно-два предложения редакционного текста.
"Linen, cotton, easy stuff.","Лён, хлопок, лёгкие ткани."
Preview product count,Количество товаров в предпросмотре
2 (1×2),2 (1×2)
4 (2×2),4 (2×2)
Please pick a collection,"Пожалуйста, выберите коллекцию"
Add collection,Добавить коллекцию
Row heading,Заголовок строки
The Linen Edit,The Linen Edit
Optional. Hidden when empty.,"Необязательно. Скрывается, если пусто."
View all label,Текст ссылки «Смотреть все»
Show price,Показывать цену
Show divider between rows,Показывать разделитель между строками
Selected:,Выбрано:
Image override,Переопределение изображения
Override image,Переопределить изображение
Override image (optional),Переопределить изображение (необязательно)
Leave empty to use the product's primary image.,"Оставьте пустым, чтобы использовать основное изображение товара."
Small label above the product name. Optional.,Небольшая надпись над названием товара. Необязательно.
FEATURED,РЕКОМЕНДУЕМОЕ
Editorial copy,Редакционный текст
Overrides the product's own description in this context. Leave blank to hide.,"Переопределяет собственное описание товара в этом контексте. Оставьте пустым, чтобы скрыть."
Two lines of copy explaining why this product is being spotlighted right now.,"Две строки текста, объясняющие, почему этот товар выделен именно сейчас."
Please pick a product,"Пожалуйста, выберите товар"
e.g. On orders over $50,напр. При заказах от $50
Text block,Текстовый блок
Menu,Меню
Footer menu,Меню в подвале
Banner,Баннер
Simple Slideshow,Простое слайд-шоу
Brand story,История бренда
Category mosaic,Мозаика категорий
Tiered categories,Многоуровневые категории
Bento grid,Сетка бенто
Separator,Разделитель
Section,Секция
Split feature,Разделённый блок
Announcement bar,Панель объявлений
Coupon block,Блок купона
FAQ block,Блок FAQ
Trust strip,Полоса доверия
Collection products,Товары коллекции
Collection stack,Стек коллекций
Collection spotlight,Витрина коллекции
Product hero,Главный товар
Layout container with 1–4 columns for nesting widgets.,Контейнер макета с 1–4 колонками для вложенных виджетов.
Add rich text content,Добавить форматированный текст
Navigation links,Ссылки навигации
Multi-column list of footer links — a titled column of navigation links per group.,Многоколоночный список ссылок в подвале — отдельная колонка навигационных ссылок с заголовком для каждой группы.
A single hero image with optional overlay copy and CTAs.,Одно главное изображение с необязательным наложенным текстом и CTA.
Rotating image carousel,Вращающаяся карусель изображений
Editorial block combining an image and long-form brand narrative. Four layout variants.,"Редакторский блок, сочетающий изображение и развёрнутый рассказ о бренде. Четыре варианта макета."
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.",Сетка из 3–6 плиток категорий для основного входа «Покупки по категориям».
A two-level nav block: parent category image plus a row of sub-category chips.,Двухуровневый навигационный блок: изображение родительской категории и ряд чипов подкатегорий.
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,Асимметричная мозаика плиток CTA — одна большая главная плитка и 1–4 дополнительных.
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.",Вертикальный отступ между виджетами с необязательной разделительной линией. На мобильных уменьшается автоматически.
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,"Стилизованная полоса для перетаскивания, оборачивающая другие виджеты. Переключение между широким (во всю ширину) и блочным (контейнер темы) режимами."
A 50/50 image + copy promo block with optional CTA. The canonical promo moment widget.,Промо-блок 50/50 с изображением и текстом и необязательным CTA. Классический виджет промо-момента.
A thin top-of-page bar with one or more rotating announcements.,Тонкая полоса вверху страницы с одним или несколькими сменяющимися объявлениями.
A promo panel with a copyable discount code and CTA.,Промо-панель с копируемым промокодом и CTA.
Flexible content block mixing prose sections and accordion FAQ groups.,"Гибкий контентный блок, сочетающий текстовые разделы и группы FAQ в виде аккордеона."
"A row of value-prop items (free shipping, easy returns, etc.) for below-the-hero or above-the-footer reinforcement.","Ряд преимуществ (бесплатная доставка, лёгкий возврат и т. д.) для усиления под главным блоком или над подвалом."
A list of products from a collection,Список товаров из коллекции
"Stacked rows of collections, each with a heading, view-all link, and a strip of products.","Сложенные ряды коллекций, каждый с заголовком, ссылкой «Смотреть все» и полосой товаров."
"A featured collection with cover image, editorial copy, and a small product preview grid.","Избранная коллекция с обложкой, редакторским текстом и небольшой сеткой превью товаров."
"A single-product spotlight — image, name, price, and a link to the full product page.","Витрина одного товара — изображение, название, цена и ссылка на полную страницу товара."
