Welcome Back!,Üdvözöljük újra!
This provider has no per-zone configuration. Methods and per-zone rates are managed in the provider's own admin area.,Ennek a szolgáltatónak nincs zónánkénti konfigurációja. A módszereket és a zónánkénti tarifákat a szolgáltató saját adminisztrációs felületén kezelik.
This removes the zone along with its provider attachments and rates. This cannot be undone.,Ez eltávolítja a zónát a hozzá tartozó szolgáltatói csatolásokkal és tarifákkal együtt. Ez nem vonható vissza.
This route has unpublished changes in your draft,Ennek az útvonalnak közzé nem tett módosításai vannak a piszkozatában
This will be saved as a pending change you can publish or discard.,"Ez függőben lévő módosításként kerül mentésre, amelyet közzétehet vagy elvethet."
Tiered,Sávos
Type is required,A típus megadása kötelező
URL Key,URL-kulcs
URL Key is required,Az URL-kulcs megadása kötelező
"URL Key must be lowercase and can only contain letters, numbers, and hyphens","Az URL-kulcsnak kisbetűsnek kell lennie, és csak betűket, számokat és kötőjeleket tartalmazhat"
URL key,URL-kulcs
URL key is required,Az URL-kulcs megadása kötelező
URL key must be lowercase and can only contain alphanumeric characters and hyphens,"Az URL-kulcsnak kisbetűsnek kell lennie, és csak alfanumerikus karaktereket és kötőjeleket tartalmazhat"
Unassign,Hozzárendelés megszüntetése
Undo (⌘Z) — undoes your last edit on this page,Visszavonás (⌘Z) — visszavonja az utolsó szerkesztést ezen az oldalon
Undo / Redo,Visszavonás / Ismétlés
Undo last change on this page,Utolsó módosítás visszavonása ezen az oldalon
Unknown,Ismeretlen
Unlink,Hivatkozás eltávolítása
Unpin drawer,Fiók rögzítésének feloldása
Unpin — drawer will close when you click empty canvas,"Rögzítés feloldása — a fiók bezárul, ha üres vászonra kattint"
Unpublished changes,Nem közzétett módosítások
Unsaved changes,Nem mentett módosítások
Update the name and active window for this rollout plan. Content edits are managed separately in the editor.,Frissítse a kiterjesztési terv nevét és aktív időablakát. A tartalmi szerkesztéseket külön kezeli a szerkesztő.
Update the variant details and attributes here.,Itt frissítheti a variáns részleteit és tulajdonságait.
Updated,Frissítve
Upload an image for the category.,Töltsön fel képet a kategóriához.
Used Times,Felhasználások száma
Value is required,Az érték megadása kötelező
Variant Group,Variánscsoport
Variant created successfully,A variáns sikeresen létrejött
Variant updated successfully,A variáns sikeresen frissült
Version ${version},${version} verzió
Visibility,Láthatóság
Visibility determines where the product appears in the store. It does not affect the saleability of the product.,"A láthatóság határozza meg, hogy a termék hol jelenik meg az üzletben. Nem befolyásolja a termék eladhatóságát."
Visitors will see the new layout on their next page load.,A látogatók a következő oldalbetöltéskor látják az új elrendezést.
Webhook Secret Key,Webhook titkos kulcs
Weight,Súly
Weight must be 0 or greater,A súlynak 0-nak vagy nagyobbnak kell lennie
Weight must be a positive number,A súlynak pozitív számnak kell lennie
Weight-based tiers,Súly alapú sávok
Widget Settings,Widget beállítások
Widget created successfully!,A widget sikeresen létrejött!
Widgets,Widgetek
Width,Szélesség
Width is required,A szélesség megadása kötelező
Width must be greater than 0,A szélességnek 0-nál nagyobbnak kell lennie
Will roll out automatically: ${range},Automatikusan kiterjesztésre kerül: ${range}
Working…,Folyamatban…
Worldwide,Világszerte
X,X
Y,Y
You have ${count} changes in this draft that haven’t been published yet.,"Ebben a piszkozatban ${count} módosítás van, amelyet még nem tett közzé."
You have ${count} changes still saving.,${count} módosítás mentése még folyamatban van.
You have 1 change in this draft that hasn’t been published yet.,"Ebben a piszkozatban 1 módosítás van, amelyet még nem tett közzé."
You have 1 change still saving.,1 módosítás mentése még folyamatban van.
Your draft is safe on the server — you can come back and publish it any time.,A piszkozata biztonságban van a szerveren — bármikor visszatérhet és közzéteheti.
Your edits on other pages stay in the draft.,A többi oldalon végzett szerkesztései a piszkozatban maradnak.
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,A webhook URL-jének a következőnek kell lennie: https://yourdomain.com/api/stripe/webhook
Zone,Zóna
Zone Name,Zóna neve
Zone Rates,Zóna díjszabás
Zone created,Zóna létrehozva
Zone is required,A zóna megadása kötelező
Zone name is required,A zóna nevének megadása kötelező
Zone removed,Zóna eltávolítva
Zone updated,Zóna frissítve
Zones served,Kiszolgált zónák
and ${count} more,és további ${count}
container will also hide,a tároló is elrejtésre kerül
current page,jelenlegi oldal
e.g. Small Box,pl. Kis doboz
e.g. Summer Sale 2026,pl. Nyári akció 2026
e.g. content,pl. content
"e.g., 10.00",pl. 10.00
"e.g., EU, US-West","pl. EU, US-West"
"e.g., Express",pl. Express
"e.g., FEDEX_GROUND, usps_priority","pl. FEDEX_GROUND, usps_priority"
every page,minden oldal
indefinite,határozatlan
open,nyitva
"publishing is immediate and can’t be undone from this screen. To stage instead, cancel and choose “Schedule a rollout”.","a közzététel azonnali, és erről a képernyőről nem vonható vissza. Ehelyett előkészítéshez vonja vissza, és válassza a „Kiterjesztés ütemezése” lehetőséget."
quantity of products are matched bellow conditions(All),a termékek mennyisége megfelel az alábbi feltételeknek (Mind)
subtotal,részösszeg
to a storefront route's,egy storefront útvonalhoz
to make it appear here.,hogy itt megjelenjen.
weight,súly
widget? This will be saved as a pending change you can publish or discard.,"widgetet? Ez függőben lévő módosításként mentésre kerül, amelyet közzétehet vagy elvethet."
will be removed and the live storefront will stop applying its edits. The underlying changeset and its pending content edits are preserved.,"eltávolításra kerül, és az élő storefront leállítja a szerkesztéseinek alkalmazását. Az alapul szolgáló módosításcsomag és a függőben lévő tartalmi szerkesztései megmaradnak."
— None —,— Nincs —
Cash On Delivery,Utánvét
Please select a valid payment method,"Kérjük, válasszon érvényes fizetési módot"
Show ${label} width,${label} szélesség megjelenítése
Column ${index},${index}. oszlop
Switch page,Oldalváltás
Search pages…,Oldalak keresése…
Search pages,Oldalak keresése
Save your pending edits — the live storefront will catch up,Mentse el függőben lévő szerkesztéseit — az élő storefront utoléri
No changes to save — the rollout matches the editor,Nincs menthető módosítás — a kiterjesztés megegyezik a szerkesztővel
More rollout actions,További kiterjesztési műveletek
Revert to saved state…,Visszaállítás a mentett állapotra…
Roll back the editor to what the rollout currently shows on the storefront,"A szerkesztő visszaállítása arra, amit a kiterjesztés jelenleg a storefronton mutat"
Nothing to revert — the editor matches the saved state,Nincs mit visszaállítani — a szerkesztő megegyezik a mentett állapottal
Cancel rollout plan…,Kiterjesztési terv megszakítása…
Remove the schedule — the changeset is preserved,Az ütemezés eltávolítása — a módosításcsomag megmarad
Publish,Közzététel
More publish options,További közzétételi lehetőségek
Apply all edits to the live storefront immediately,Az összes szerkesztés azonnali alkalmazása az élő storefronton
Save as rollout plan…,Mentés kiterjesztési tervként…
Schedule these edits to roll out at a future time,Ezeknek a szerkesztéseknek a kiterjesztése egy jövőbeli időpontra ütemezve
Discard pending changes…,Függőben lévő módosítások elvetése…
Choose between discarding the whole draft or just this page,Válasszon a teljes piszkozat vagy csak ezen oldal elvetése között
Switch session,Munkamenet váltása
New changeset,Új módosításcsomag
Rollout: ${name},Kiterjesztés: ${name}
Click or drag to add,Kattintson vagy húzza a hozzáadáshoz
Background color,Háttérszín
Text color,Szövegszín
Dwell time,Megjelenítési idő
Time each announcement stays visible (in addition to the 400ms slide transition).,"Az az idő, ameddig az egyes közlemények láthatóak maradnak (a 400ms-os csúsztatási átmeneten felül)."
Announcements,Közlemények
Add announcement,Közlemény hozzáadása
Untitled,Cím nélküli
Free shipping on orders over $50,Ingyenes szállítás 50 $ feletti rendelésekre
Optional. Makes the entire row a clickable link.,Választható. A teljes sort kattintható hivatkozássá teszi.
Link label,Hivatkozás címkéje
Optional. Displayed after the content; defaults to the content itself.,Választható. A tartalom után jelenik meg; alapértelmezésben maga a tartalom.
Shop now,Vásároljon most
Dark,Sötét
Light,Világos
Gradient,Színátmenet
Left,Balra
Center,Középre
Right,Jobbra
Selected image,Kiválasztott kép
No image selected,Nincs kép kiválasztva
Replace,Csere
Clear,Törlés
Reflects the alignment below.,Tükrözi az alábbi igazítást.
Banner Image,Banner kép
Mobile image,Mobil kép
Optional. Swapped in below the 768px breakpoint. Falls back to the image above when empty — typical use is a portrait crop of the same scene.,Választható. A 768px töréspont alatt jelenik meg. Üresen hagyva a fenti képre vált vissza — jellemzően ugyanazon jelenet álló tájolású kivágása.
Alignment,Igazítás
Overlay copy,Rávetített szöveg
Eyebrow,Felcím
"Small all-caps label above the heading. E.g. ""LIMITED EDITION"".","Kis, csupa nagybetűs címke a fejléc felett. Pl. „LIMITED EDITION”."
LIMITED EDITION,LIMITÁLT KIADÁS
Heading,Fejléc
The Summer Edit,A nyári válogatás
Sub-text,Alszöveg
One short supporting sentence.,Egy rövid kiegészítő mondat.
Overlay placement,Rávetítés elhelyezése
Content position,Tartalom pozíciója
Where the overlay text sits on the image.,Hol helyezkedik el a rávetített szöveg a képen.
Tint,Árnyalat
A scrim behind the overlay text for legibility. Dark / gradient flip the text to white automatically.,Egy fátyolréteg a rávetített szöveg mögött az olvashatóság érdekében. A sötét / színátmenet automatikusan fehérre váltja a szöveget.
Tint opacity,Árnyalat átlátszatlansága
Call to actions,Cselekvésre ösztönzők
Remove primary CTA,Elsődleges CTA eltávolítása
+ Add a primary CTA,+ Elsődleges CTA hozzáadása
Secondary,Másodlagos
Remove secondary CTA,Másodlagos CTA eltávolítása
Learn more,Tudjon meg többet
+ Add a secondary CTA,+ Másodlagos CTA hozzáadása
Details,Részletek
Alt text,Alternatív szöveg
Describes the banner for screen readers and SEO.,Leírja a bannert képernyőolvasók és SEO számára.
"e.g. ""Summer sale promotional banner""","pl. ""Nyári akció reklámbanner"""
Banner link,Banner hivatkozás
Optional. Clicking the banner navigates here.,Opcionális. A bannerre kattintva ide navigál.
Display name,Megjelenítendő név
Shop,Bolt
Target,Cél
"Page, category, product, or a custom URL.","Oldal, kategória, termék vagy egyéni URL."
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,SEO: ne adjon rangsorolási értéket ennek a hivatkozásnak (rel=nofollow).
No referrer,Nincs hivatkozó
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,Adatvédelem: elhagyja a hivatkozó URL-t (rel=noreferrer). Az új lapon nyíló hivatkozások mindig tartalmazzák ezt.
Menu items,Menüelemek
Add menu item,Menüelem hozzáadása
Sub-items,Alelemek
Optional dropdown links (1 level).,Opcionális legördülő hivatkozások (1 szint).
Add sub-item,Alelem hozzáadása
Options,Beállítások
Use as main menu,Használat főmenüként
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.","Elsődleges navigáció — mobilon hamburger menüvé csukódik össze. Kapcsolja ki egyszerű hivatkozáslistához (pl. lábléc), amely mobilon egy sorban marad."
Custom CSS classes,Egyéni CSS osztályok
Applied to the rendered menu element.,A megjelenített menüelemre alkalmazva.
e.g. main-nav font-semibold,pl. main-nav font-semibold
S,S
M,M
L,L
Tiles,Csempék
Add tile,Csempe hozzáadása
Hero · ,Hero · 
Used when no image is set.,"Akkor használatos, ha nincs kép beállítva."
Small label above the heading.,Kis címke a fejléc fölött.
THE SUMMER EDIT,A NYÁRI VÁLOGATÁS
New Arrivals,Új érkezések
Body,Törzsszöveg
Big card — the headline of the grid.,Nagy kártya — a rács főcíme.
Link URL,Hivatkozás URL
Gap,Térköz
Minimum block height,Minimális blokkmagasság
Image left,Kép balra
Image right,Kép jobbra
Centered,Középre igazítva
Pull quote,Kiemelt idézet
Variant,Változat
Image column size,Képoszlop mérete
Describe the image,Írja le a képet
Copy,Szöveg
"Small all-caps label. E.g. ""OUR STORY"".","Kis, csupa nagybetűs címke. Pl. ""A TÖRTÉNETÜNK""."
Our story,A történetünk
"Made by hand, in small batches","Kézzel készült, kis tételekben"
"Required for the pull-quote variant. Displayed large, styled as a blockquote.","A kiemelt idézet változathoz szükséges. Nagy méretben jelenik meg, idézetblokként formázva."
"A short, quotable line.","Egy rövid, idézhető sor."
Three or four sentences of brand narrative.,Három-négy mondatnyi márkatörténet.
Second body paragraph (optional),Második törzsbekezdés (opcionális)
A second short paragraph if the story needs it.,"Egy második rövid bekezdés, ha a történet megkívánja."
Read more link,Tovább hivatkozás
Read more,Tovább
URL,URL
Remove read-more link,Tovább hivatkozás eltávolítása
+ Add a read-more link,+ Tovább hivatkozás hozzáadása
Square,Négyzet
Landscape,Fekvő
Portrait,Álló
Overlay,Rátét
Below,Alatt
New category,Új kategória
Section heading,Szakaszcím
Optional. Shown above the grid.,Opcionális. A rács fölött jelenik meg.
Shop by category,Vásárlás kategória szerint
Women,Nők
Columns,Oszlopok
Auto,Automatikus
Asymmetric makes the first tile span 2 columns.,Az aszimmetrikus elrendezésnél az első csempe 2 oszlopnyi széles.
Uniform,Egyenletes
Asymmetric,Aszimmetrikus
Image aspect,Kép képaránya
Label position,Címke pozíciója
Blush,Rózsaszín
XL,XL
Position ${c},${c}. pozíció
Column layout,Oszlopelrendezés
Drag widgets into each column. Children re-flow when you change the ratio.,"Húzza a widgeteket az egyes oszlopokba. A gyermekelemek újrarendeződnek, amikor megváltoztatja az arányt."
Space between columns.,Térköz az oszlopok között.
Where content sits within each column. Applied uniformly to every column.,Hol helyezkedik el a tartalom az egyes oszlopokon belül. Minden oszlopra egyformán alkalmazva.
Row appearance,Sor megjelenése
Background,Háttér
Custom color,Egyéni szín
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","Bármilyen CSS szín (pl. ""#0a0a0a"" vagy ""rgb(10,10,10)""). Hagyja üresen a fenti mintaszín használatához."
Padding,Belső margó
Outer spacing around the row. Scales down on mobile.,Külső térköz a sor körül. Mobilon kisebbre méretezve.
Solid,Folytonos
Dashed,Szaggatott
Already expired,Már lejárt
Expires in ${days}d ${hours}h,Lejár ${days} nap ${hours} óra múlva
Expires in ${hours}h ${minutes}m,Lejár ${hours} óra ${minutes} perc múlva
Offer,Ajánlat
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".","Sürgősségi sor. Opcionális. Pl. ""Korlátozott · Vasárnap véget ér""."
Limited · Ends Sunday,Korlátozott · Vasárnap véget ér
Headline,Főcím
Take 20% off your order,20% kedvezmény a rendelésére
Optional. One short instructional line.,Opcionális. Egy rövid útmutató sor.
Use code at checkout,Használja a kódot a pénztárnál
Promo code,Promóciós kód
Displayed in uppercase to shoppers.,A vásárlóknak nagybetűvel jelenik meg.
Expires,Lejár
Optional. The block auto-hides after this time for live visitors.,Opcionális. A blokk automatikusan elrejtődik az élő látogatók elől ezután az idő után.
Call to action,Cselekvésre ösztönzés
Button label,Gomb felirata
Shop now →,Vásároljon most →
Button link,Gomb hivatkozása
Appearance,Megjelenés
Border,Szegély
Narrow,Keskeny
Normal,Normál
Wide,Széles
Shown above all content. Optional.,Minden tartalom fölött jelenik meg. Opcionális.
e.g. Frequently asked,pl. Gyakran ismételt
Prose,Szövegtörzs
FAQ group · ${count} items,GYIK csoport · ${count} elem
Group heading,Csoport címe
Optional sub-heading.,Opcionális alcím.
e.g. Shipping,pl. Szállítás
Add question,Kérdés hozzáadása
Question,Kérdés
e.g. How long does shipping take?,pl. Mennyi ideig tart a szállítás?
Answer,Válasz
"Supports **bold**, _italic_, and line breaks.","Támogatja a **félkövér**, _dőlt_ és sortörés formázást."
e.g. Orders ship within 24 hours…,pl. A rendelések 24 órán belül kiszállításra kerülnek…
Add prose,Szövegtörzs hozzáadása
Add FAQ group,GYIK csoport hozzáadása
Max width,Maximális szélesség
Content column width.,Tartalomoszlop szélessége.
Allow multiple open,Több megnyitás engedélyezése
"When off, opening one FAQ item closes the others in the same group.","Ha ki van kapcsolva, egy GYIK elem megnyitása bezárja a többit ugyanabban a csoportban."
New link,Új hivatkozás
New column,Új oszlop
Add column,Oszlop hozzáadása
${title} · ${count} links,${title} · ${count} hivatkozás
Column title,Oszlop címe
Links,Hivatkozások
"Min 1, max 12.","Min. 1, max. 12."
Add link,Hivatkozás hozzáadása
New arrivals,Új érkezések
Boxed,Keretezett
Wide (full bleed),Széles (teljes kitöltés)
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,A keretezett az oldal konténerén belül marad (a téma dönt a maximális szélességről). A széles széltől szélig kitölt.
Scales down on mobile.,Mobilon kisebbre méretezve.
Optional. Painted behind content. Combine with a tint below for legibility.,Opcionális. A tartalom mögé festve. Az olvashatóság érdekében kombinálja az alábbi árnyalattal.
XS,XS
Spacing,Térköz
Size,Méret
Mobile scales down ~⅔ automatically.,Mobilon automatikusan kb. ⅔-ára kicsinyít.
Divider line,Elválasztó vonal
Show divider line,Elválasztó vonal megjelenítése
A horizontal rule centred in the spacing band.,A térközsávban középre igazított vízszintes vonal.
Line color,Vonal színe
Default uses the theme's divider color.,Alapértelmezetten a téma elválasztó színét használja.
Sides,Oldalak
Bottom,Alul
Dots,Pontok
Bars,Sávok
Mobile image (optional),Mobil kép (opcionális)
Used at ≤ 767 px. Falls back to the main image.,≤ 767 px esetén használatos. A fő képre tér vissza.
e.g. New collection,pl. Új kollekció
e.g. Summer Sale,pl. Nyári akció
Sub text,Alszöveg
Check out our latest products with special discounts.,Fedezze fel legújabb termékeinket különleges kedvezményekkel.
Primary button,Elsődleges gomb
Secondary button,Másodlagos gomb
+ Add secondary button,+ Másodlagos gomb hozzáadása
Overrides,Felülírások
Leaves slide-specific anchor; falls back to the slideshow's default.,Diaspecifikus horgony marad; a diavetítés alapértelmezésére tér vissza.
Overlay tint,Átfedés árnyalata
Overlay opacity,Átfedés átlátszatlansága
Make whole slide clickable,Az egész dia kattinthatóvá tétele
Behavior,Viselkedés
Transition,Átmenet
Slide,Csúsztatás
Fade,Áttűnés
Transition speed,Átmenet sebessége
Autoplay,Automatikus lejátszás
Autoplay delay,Automatikus lejátszás késleltetése
${seconds} s between slides,${seconds} mp a diák között
Pause on hover,Szüneteltetés rámutatáskor
Pause for 20 s after user nav,20 mp szünet felhasználói navigáció után
Arrows,Nyilak
Aspect ratio,Képarány
`Auto` matches the natural image height (jumps between slides).,Az `Auto` a kép természetes magasságához igazodik (ugrál a diák között).
Default content position,Alapértelmezett tartalompozíció
Per-slide overrides win.,A diánkénti felülírások érvényesülnek.
Default overlay tint,Alapértelmezett átfedési árnyalat
Default overlay opacity,Alapértelmezett átfedési átlátszatlanság
Slides (${count}),Diák (${count})
No slides yet.,Még nincsenek diák.
Add your first slide,Adja hozzá az első diát
Slide ${number},${number}. dia
Image only,Csak kép
Empty,Üres
Show slide,Dia megjelenítése
Hide slide,Dia elrejtése
Move slide up,Dia mozgatása felfelé
Move slide down,Dia mozgatása lefelé
Delete slide,Dia törlése
Top,Felül
Cover,Kitöltés
Contain,Beillesztés
Required for accessibility.,Az akadálymentesítéshez szükséges.
Image fit,Kép igazítása
"Small all-caps label. E.g. ""LIMITED EDITION"".","Kis méretű, csupa nagybetűs címke. Pl. „LIMITÁLT KIADÁS”."
Limited edition,Limitált kiadás
One strong line,Egy erőteljes sor
Two lines of supporting copy.,Két sornyi kiegészítő szöveg.
Image position,Kép pozíciója
Vertical alignment,Függőleges igazítás
Aligns the copy panel content.,A szövegpanel tartalmát igazítja.
Remove call to action,Cselekvésre ösztönzés eltávolítása
Add a call to action,Cselekvésre ösztönzés hozzáadása
Custom CSS classes for the text block,Egyéni CSS osztályok a szövegblokkhoz
Add group,Csoport hozzáadása
${label} · ${count} subs,${label} · ${count} alkategória
Parent label,Szülő címkéje
Parent link,Szülő hivatkozása
Image alt text,Kép alternatív szövege
Sub-categories,Alkategóriák
"Min 1, max 8.","Min. 1, max. 8."
Add sub-category,Alkategória hozzáadása
Dresses,Ruhák
Columns (desktop),Oszlopok (asztali)
On tablets the layout is always 2 columns.,Táblagépeken az elrendezés mindig 2 oszlopos.
Make parent image a link,A szülő kép hivatkozássá tétele
"When off, only the sub-chips and parent label are interactive.","Ha ki van kapcsolva, csak az alcímkék és a szülő címke interaktív."
Title,Cím
e.g. Free shipping,pl. Ingyenes szállítás
Optional supporting line below the title.,Opcionális kiegészítő sor a cím alatt.
Icon,Ikon
Optional. SVG or raster image. Hidden when icons are turned off globally.,"Opcionális. SVG vagy raszteres kép. Rejtve, ha az ikonok globálisan ki vannak kapcsolva."
Optional. Makes the whole cell clickable.,Opcionális. Az egész cellát kattinthatóvá teszi.
"Auto matches the item count, capped at 4.","Az Auto az elemek számához igazodik, legfeljebb 4-ig."
3,3
4,4
Icon size,Ikon mérete
Show icons,Ikonok megjelenítése
Master switch. Items without an icon URL are unaffected.,Fő kapcsoló. Az ikon URL nélküli elemek nem érintettek.
Show divider,Elválasztó megjelenítése
Vertical line between cells.,Függőleges vonal a cellák között.
Collection,Kollekció
Search collections…,Kollekciók keresése…
No collections match “${value}”.,Nincs a „${value}” kifejezésnek megfelelő kollekció.
You have no collections yet.,Még nincsenek kollekciói.
Please select a collection,"Kérjük, válasszon egy kollekciót"
"Defaults to ""${name}"" (the collection's name).",Alapértelmezetten „${name}” (a kollekció neve).
Defaults to the picked collection's name.,Alapértelmezetten a kiválasztott kollekció neve.
Collection name,Kollekció neve
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,Alapértelmezetten a kollekció leírása. Ennek beállítása a formázott leírást egyszerű szöveggel helyettesíti.
e.g. Hand-picked styles for the season.,pl. Az évszakra válogatott stílusok.
View all link,Összes megtekintése hivatkozás
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.","Opcionális. Rejtve, ha üres. Válasszon kategóriát, terméket, oldalt, vagy illesszen be egyéni URL-t."
"Optional. Defaults to ""View all →"".",Opcionális. Alapértelmezetten „Összes megtekintése →”.
View all →,Összes megtekintése →
Total products,Termékek összesen
Number of products to display.,A megjelenítendő termékek száma.
Products per row,Termékek soronként
Grid columns (1–6 typical).,Rácsoszlopok (jellemzően 1–6).
Count is required,A darabszám kötelező
e.g. 8,pl. 8
Count per row is required,A soronkénti darabszám kötelező
e.g. 4,pl. 4
Cover image,Borítókép
COLLECTION,KOLLEKCIÓ
"Defaults to ""${pickedName}"".",Alapértelmezetten „${pickedName}”.
Defaults to the picked collection name.,Alapértelmezetten a kiválasztott kollekció neve.
Optional. One or two sentences of editorial copy.,Opcionális. Egy-két mondatnyi szerkesztői szöveg.
"Linen, cotton, easy stuff.","Vászon, pamut, könnyű darabok."
Preview product count,Előnézeti termékszám
2 (1×2),2 (1×2)
4 (2×2),4 (2×2)
Please pick a collection,"Kérjük, válasszon egy kollekciót"
Add collection,Kollekció hozzáadása
Row heading,Sor fejléce
The Linen Edit,A vászon válogatás
Optional. Hidden when empty.,"Opcionális. Rejtve, ha üres."
View all label,Összes megtekintése címke
Show price,Ár megjelenítése
Show divider between rows,Elválasztó megjelenítése a sorok között
Selected:,Kiválasztva:
Image override,Kép felülírása
Override image,Kép felülírása
Override image (optional),Kép felülírása (opcionális)
Leave empty to use the product's primary image.,Hagyja üresen a termék elsődleges képének használatához.
Small label above the product name. Optional.,Kis méretű címke a terméknév felett. Opcionális.
FEATURED,KIEMELT
Editorial copy,Szerkesztői szöveg
Overrides the product's own description in this context. Leave blank to hide.,Felülírja a termék saját leírását ebben az összefüggésben. Hagyja üresen az elrejtéshez.
Two lines of copy explaining why this product is being spotlighted right now.,"Két sornyi szöveg, amely elmagyarázza, miért kerül most ez a termék a középpontba."
Please pick a product,"Kérjük, válasszon egy terméket"
e.g. On orders over $50,pl. 50 $ feletti rendeléseknél
Text block,Szövegblokk
Menu,Menü
Footer menu,Lábléc menü
Banner,Banner
Simple Slideshow,Egyszerű diavetítés
Brand story,Márkatörténet
Category mosaic,Kategória mozaik
Tiered categories,Szintezett kategóriák
Bento grid,Bento rács
Separator,Elválasztó
Section,Szakasz
Split feature,Osztott blokk
Announcement bar,Közleménysáv
Coupon block,Kuponblokk
FAQ block,GYIK blokk
Trust strip,Bizalmi sáv
Collection products,Gyűjtemény termékei
Collection stack,Gyűjteménykötegek
Collection spotlight,Kiemelt gyűjtemény
Product hero,Kiemelt termék
Layout container with 1–4 columns for nesting widgets.,Elrendezési tároló 1–4 oszloppal a beágyazott widgetekhez.
Add rich text content,Formázott szöveges tartalom hozzáadása
Navigation links,Navigációs hivatkozások
Multi-column list of footer links — a titled column of navigation links per group.,Több oszlopos lábléchivatkozás-lista — csoportonként egy címmel ellátott navigációs hivatkozásoszlop.
A single hero image with optional overlay copy and CTAs.,"Egyetlen kiemelt kép, opcionális ráhelyezett szöveggel és CTA-kkal."
Rotating image carousel,Forgó képkarusszel
Editorial block combining an image and long-form brand narrative. Four layout variants.,"Szerkesztői blokk, amely egy képet és hosszabb márkatörténetet ötvöz. Négy elrendezési változat."
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.",3–6 kategóriacsempéből álló rács az elsődleges „Vásárlás kategória szerint” belépési ponthoz.
A two-level nav block: parent category image plus a row of sub-category chips.,Kétszintű navigációs blokk: szülőkategória-kép és egy sor alkategória-címke.
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,Aszimmetrikus mozaik CTA-csempékből — egy nagy kiemelt csempe és 1–4 kiegészítő csempe.
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.","Függőleges térköz a widgetek között, opcionális elválasztó vonallal. Mobilon automatikusan kisebbedik."
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,"Stilizált, ledobható sáv, amely más widgeteket fog össze. Válthat széles (szélestől szélesig) és dobozos (témakonténer) között."
A 50/50 image + copy promo block with optional CTA. The canonical promo moment widget.,"50/50 arányú kép + szöveg promóciós blokk, opcionális CTA-val. A klasszikus promóciós widget."
A thin top-of-page bar with one or more rotating announcements.,"Vékony, az oldal tetején lévő sáv egy vagy több forgó közleménnyel."
A promo panel with a copyable discount code and CTA.,Promóciós panel másolható kedvezménykóddal és CTA-val.
Flexible content block mixing prose sections and accordion FAQ groups.,"Rugalmas tartalmi blokk, amely szöveges szakaszokat és összecsukható GYIK-csoportokat ötvöz."
"A row of value-prop items (free shipping, easy returns, etc.) for below-the-hero or above-the-footer reinforcement.","Egy sor előnyt kiemelő elem (ingyenes szállítás, könnyű visszaküldés stb.) a kiemelt blokk alatti vagy a lábléc feletti megerősítéshez."
A list of products from a collection,Egy gyűjtemény termékeinek listája
"Stacked rows of collections, each with a heading, view-all link, and a strip of products.","Egymásra rakott gyűjteménysorok, mindegyik egy címmel, „összes megtekintése” hivatkozással és egy termékcsíkkal."
"A featured collection with cover image, editorial copy, and a small product preview grid.","Kiemelt gyűjtemény borítóképpel, szerkesztői szöveggel és egy kis termékelőnézeti ráccsal."
"A single-product spotlight — image, name, price, and a link to the full product page.","Egytermékes kiemelés — kép, név, ár és hivatkozás a teljes termékoldalra."
