Welcome Back!,Bon retour !
indefinite,indéfini
open,ouvert
"publishing is immediate and can’t be undone from this screen. To stage instead, cancel and choose “Schedule a rollout”.","la publication est immédiate et ne peut pas être annulée depuis cet écran. Pour la préparer à la place, annulez et choisissez « Planifier un déploiement »."
quantity of products are matched bellow conditions(All),la quantité de produits correspond aux conditions ci-dessous (Toutes)
subtotal,sous-total
to a storefront route's,vers la route d'une vitrine
to make it appear here.,pour le faire apparaître ici.
weight,poids
widget? This will be saved as a pending change you can publish or discard.,widget ? Cela sera enregistré comme une modification en attente que vous pourrez publier ou ignorer.
will be removed and the live storefront will stop applying its edits. The underlying changeset and its pending content edits are preserved.,sera supprimé et la vitrine en ligne cessera d'appliquer ses modifications. L'ensemble de modifications sous-jacent et ses modifications de contenu en attente sont conservés.
— None —,— Aucun —
Cash On Delivery,Paiement à la livraison
Please select a valid payment method,Veuillez sélectionner un mode de paiement valide
Show ${label} width,Afficher la largeur ${label}
Column ${index},Colonne ${index}
Switch page,Changer de page
Search pages…,Rechercher des pages…
Search pages,Rechercher des pages
Save your pending edits — the live storefront will catch up,Enregistrez vos modifications en attente — la vitrine en ligne se mettra à jour
No changes to save — the rollout matches the editor,Aucune modification à enregistrer — le déploiement correspond à l'éditeur
More rollout actions,Plus d'actions de déploiement
Revert to saved state…,Revenir à l'état enregistré…
Roll back the editor to what the rollout currently shows on the storefront,Rétablir dans l'éditeur ce que le déploiement affiche actuellement sur la vitrine
Nothing to revert — the editor matches the saved state,Rien à annuler — l'éditeur correspond à l'état enregistré
Cancel rollout plan…,Annuler le plan de déploiement…
Remove the schedule — the changeset is preserved,Supprimer la planification — l'ensemble de modifications est conservé
Publish,Publier
More publish options,Plus d'options de publication
Apply all edits to the live storefront immediately,Appliquer immédiatement toutes les modifications à la vitrine en ligne
Save as rollout plan…,Enregistrer comme plan de déploiement…
Schedule these edits to roll out at a future time,Planifier ces modifications pour un déploiement ultérieur
Discard pending changes…,Ignorer les modifications en attente…
Choose between discarding the whole draft or just this page,Choisissez entre ignorer tout le brouillon ou seulement cette page
Switch session,Changer de session
New changeset,Nouvel ensemble de modifications
Rollout: ${name},Déploiement : ${name}
Click or drag to add,Cliquez ou glissez pour ajouter
Background color,Couleur d'arrière-plan
Text color,Couleur du texte
Dwell time,Temps d'affichage
Time each announcement stays visible (in addition to the 400ms slide transition).,Durée d'affichage de chaque annonce (en plus de la transition de diapositive de 400 ms).
Announcements,Annonces
Add announcement,Ajouter une annonce
Untitled,Sans titre
Free shipping on orders over $50,Livraison gratuite pour les commandes de plus de 50 $
Optional. Makes the entire row a clickable link.,Facultatif. Transforme toute la ligne en lien cliquable.
Link label,Libellé du lien
Optional. Displayed after the content; defaults to the content itself.,"Facultatif. Affiché après le contenu ; par défaut, le contenu lui-même."
Shop now,Acheter maintenant
Dark,Sombre
Light,Clair
Gradient,Dégradé
Left,Gauche
Center,Centre
Right,Droite
Selected image,Image sélectionnée
No image selected,Aucune image sélectionnée
Replace,Remplacer
Clear,Effacer
Reflects the alignment below.,Reflète l'alignement ci-dessous.
Banner Image,Image de bannière
Mobile image,Image mobile
Optional. Swapped in below the 768px breakpoint. Falls back to the image above when empty — typical use is a portrait crop of the same scene.,Facultatif. Substituée en dessous du point de rupture de 768px. Revient à l'image ci-dessus lorsqu'elle est vide — l'usage typique est un recadrage portrait de la même scène.
Alignment,Alignement
Overlay copy,Texte en superposition
Eyebrow,Surtitre
"Small all-caps label above the heading. E.g. ""LIMITED EDITION"".",Petit libellé en majuscules au-dessus du titre. P. ex. « LIMITED EDITION ».
LIMITED EDITION,ÉDITION LIMITÉE
Heading,Titre
The Summer Edit,La sélection d'été
Sub-text,Sous-texte
One short supporting sentence.,Une courte phrase d'accompagnement.
Overlay placement,Emplacement de la superposition
Content position,Position du contenu
Where the overlay text sits on the image.,Où se place le texte en superposition sur l'image.
Tint,Teinte
A scrim behind the overlay text for legibility. Dark / gradient flip the text to white automatically.,Un voile derrière le texte en superposition pour la lisibilité. Sombre / dégradé passent automatiquement le texte en blanc.
Tint opacity,Opacité de la teinte
Call to actions,Appels à l'action
Remove primary CTA,Supprimer le CTA principal
+ Add a primary CTA,+ Ajouter un CTA principal
Secondary,Secondaire
Remove secondary CTA,Supprimer le CTA secondaire
Learn more,En savoir plus
+ Add a secondary CTA,+ Ajouter un CTA secondaire
Details,Détails
Alt text,Texte alternatif
Describes the banner for screen readers and SEO.,Décrit la bannière pour les lecteurs d'écran et le SEO.
"e.g. ""Summer sale promotional banner""",p. ex. « Bannière promotionnelle des soldes d'été »
Banner link,Lien de la bannière
Optional. Clicking the banner navigates here.,Facultatif. Cliquer sur la bannière redirige ici.
Display name,Nom affiché
Shop,Boutique
Target,Cible
"Page, category, product, or a custom URL.","Page, catégorie, produit ou une URL personnalisée."
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,SEO : ne transmet pas de crédit de classement à ce lien (rel=nofollow).
No referrer,Aucun référent
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,Confidentialité : supprime l'URL de référence (rel=noreferrer). Les liens en nouvel onglet l'incluent toujours.
Menu items,Éléments du menu
Add menu item,Ajouter un élément de menu
Sub-items,Sous-éléments
Optional dropdown links (1 level).,Liens déroulants facultatifs (1 niveau).
Add sub-item,Ajouter un sous-élément
Options,Options
Use as main menu,Utiliser comme menu principal
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.","Navigation principale — sur mobile, elle se réduit en un menu hamburger. Désactivez pour une simple liste de liens (p. ex. un pied de page), qui reste en ligne sur mobile."
Custom CSS classes,Classes CSS personnalisées
Applied to the rendered menu element.,Appliquées à l'élément de menu rendu.
e.g. main-nav font-semibold,p. ex. main-nav font-semibold
S,S
M,M
L,L
Tiles,Tuiles
Add tile,Ajouter une tuile
Hero · ,Hero · 
Used when no image is set.,Utilisé lorsqu'aucune image n'est définie.
Small label above the heading.,Petite étiquette au-dessus du titre.
THE SUMMER EDIT,LA SÉLECTION ÉTÉ
New Arrivals,Nouveautés
Body,Corps
Big card — the headline of the grid.,Grande carte — l'accroche de la grille.
Link URL,URL du lien
Gap,Espacement
Minimum block height,Hauteur minimale du bloc
Image left,Image à gauche
Image right,Image à droite
Centered,Centré
Pull quote,Citation mise en avant
Variant,Variante
Image column size,Taille de la colonne d'image
Describe the image,Décrire l'image
Copy,Texte
"Small all-caps label. E.g. ""OUR STORY"".",Petite étiquette en majuscules. P. ex. « NOTRE HISTOIRE ».
Our story,Notre histoire
"Made by hand, in small batches","Fait main, en petites séries"
"Required for the pull-quote variant. Displayed large, styled as a blockquote.","Requis pour la variante citation mise en avant. Affiché en grand, stylisé comme une citation."
"A short, quotable line.",Une courte phrase à citer.
Three or four sentences of brand narrative.,Trois ou quatre phrases sur l'histoire de la marque.
Second body paragraph (optional),Deuxième paragraphe de corps (facultatif)
A second short paragraph if the story needs it.,Un deuxième court paragraphe si l'histoire le nécessite.
Read more link,Lien « Lire la suite »
Read more,Lire la suite
URL,URL
Remove read-more link,Supprimer le lien « Lire la suite »
+ Add a read-more link,+ Ajouter un lien « Lire la suite »
Square,Carré
Landscape,Paysage
Portrait,Portrait
Overlay,Superposition
Below,En dessous
New category,Nouvelle catégorie
Section heading,Titre de section
Optional. Shown above the grid.,Facultatif. Affiché au-dessus de la grille.
Shop by category,Acheter par catégorie
Women,Femmes
Columns,Colonnes
Auto,Auto
Asymmetric makes the first tile span 2 columns.,Le mode asymétrique fait s'étendre la première tuile sur 2 colonnes.
Uniform,Uniforme
Asymmetric,Asymétrique
Image aspect,Format de l'image
Label position,Position de l'étiquette
Blush,Rosé
XL,XL
Position ${c},Position ${c}
Column layout,Disposition des colonnes
Drag widgets into each column. Children re-flow when you change the ratio.,Faites glisser des widgets dans chaque colonne. Les éléments enfants se réorganisent lorsque vous modifiez le ratio.
Space between columns.,Espace entre les colonnes.
Where content sits within each column. Applied uniformly to every column.,Position du contenu dans chaque colonne. Appliqué uniformément à toutes les colonnes.
Row appearance,Apparence de la ligne
Background,Arrière-plan
Custom color,Couleur personnalisée
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","Toute couleur CSS (p. ex. « #0a0a0a » ou « rgb(10,10,10) »). Laissez vide pour utiliser l'échantillon ci-dessus."
Padding,Marge intérieure
Outer spacing around the row. Scales down on mobile.,Espacement extérieur autour de la ligne. Réduit sur mobile.
Solid,Plein
Dashed,Pointillé
Already expired,Déjà expiré
Expires in ${days}d ${hours}h,Expire dans ${days}j ${hours}h
Expires in ${hours}h ${minutes}m,Expire dans ${hours}h ${minutes}min
Offer,Offre
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".",Ligne d'urgence. Facultatif. P. ex. « Limité · Se termine dimanche ».
Limited · Ends Sunday,Limité · Se termine dimanche
Headline,Accroche
Take 20% off your order,Bénéficiez de 20 % sur votre commande
Optional. One short instructional line.,Facultatif. Une courte ligne d'instruction.
Use code at checkout,Utilisez le code au paiement
Promo code,Code promo
Displayed in uppercase to shoppers.,Affiché en majuscules aux clients.
Expires,Expire
Optional. The block auto-hides after this time for live visitors.,Facultatif. Le bloc se masque automatiquement après ce délai pour les visiteurs en direct.
Call to action,Appel à l'action
Button label,Libellé du bouton
Shop now →,Acheter maintenant →
Button link,Lien du bouton
Appearance,Apparence
Border,Bordure
Narrow,Étroit
Normal,Normal
Wide,Large
Shown above all content. Optional.,Affiché au-dessus de tout le contenu. Facultatif.
e.g. Frequently asked,p. ex. Questions fréquentes
Prose,Texte
FAQ group · ${count} items,Groupe FAQ · ${count} éléments
Group heading,Titre du groupe
Optional sub-heading.,Sous-titre facultatif.
e.g. Shipping,p. ex. Livraison
Add question,Ajouter une question
Question,Question
e.g. How long does shipping take?,p. ex. Combien de temps prend la livraison ?
Answer,Réponse
"Supports **bold**, _italic_, and line breaks.","Prend en charge le **gras**, l'_italique_ et les sauts de ligne."
e.g. Orders ship within 24 hours…,p. ex. Les commandes sont expédiées sous 24 heures…
Add prose,Ajouter du texte
Add FAQ group,Ajouter un groupe FAQ
Max width,Largeur maximale
Content column width.,Largeur de la colonne de contenu.
Allow multiple open,Autoriser plusieurs éléments ouverts
"When off, opening one FAQ item closes the others in the same group.","Lorsque désactivé, ouvrir un élément de FAQ ferme les autres du même groupe."
New link,Nouveau lien
New column,Nouvelle colonne
Add column,Ajouter une colonne
${title} · ${count} links,${title} · ${count} liens
Column title,Titre de la colonne
Links,Liens
"Min 1, max 12.","Min 1, max 12."
Add link,Ajouter un lien
New arrivals,Nouveautés
Boxed,Encadré
Wide (full bleed),Large (pleine largeur)
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,Encadré reste dans le conteneur de la page (le thème détermine la largeur maximale). Large s'étend de bord à bord.
Scales down on mobile.,Réduit sur mobile.
Optional. Painted behind content. Combine with a tint below for legibility.,Facultatif. Affiché derrière le contenu. Associez à une teinte ci-dessous pour la lisibilité.
XS,XS
Spacing,Espacement
Size,Taille
Mobile scales down ~⅔ automatically.,"Sur mobile, réduction automatique d'environ ⅔."
Divider line,Ligne de séparation
Show divider line,Afficher la ligne de séparation
A horizontal rule centred in the spacing band.,Une ligne horizontale centrée dans la zone d'espacement.
Line color,Couleur de la ligne
Default uses the theme's divider color.,"Par défaut, utilise la couleur de séparation du thème."
Sides,Côtés
Bottom,Bas
Dots,Points
Bars,Barres
Mobile image (optional),Image mobile (facultatif)
Used at ≤ 767 px. Falls back to the main image.,Utilisée à ≤ 767 px. Revient à l'image principale par défaut.
e.g. New collection,ex. Nouvelle collection
e.g. Summer Sale,ex. Soldes d'été
Sub text,Sous-texte
Check out our latest products with special discounts.,Découvrez nos derniers produits avec des remises spéciales.
Primary button,Bouton principal
Secondary button,Bouton secondaire
+ Add secondary button,+ Ajouter un bouton secondaire
Overrides,Remplacements
Leaves slide-specific anchor; falls back to the slideshow's default.,Conserve l'ancre propre à la diapositive ; revient à la valeur par défaut du diaporama.
Overlay tint,Teinte de superposition
Overlay opacity,Opacité de la superposition
Make whole slide clickable,Rendre toute la diapositive cliquable
Behavior,Comportement
Transition,Transition
Slide,Diapositive
Fade,Fondu
Transition speed,Vitesse de transition
Autoplay,Lecture automatique
Autoplay delay,Délai de lecture automatique
${seconds} s between slides,${seconds} s entre les diapositives
Pause on hover,Pause au survol
Pause for 20 s after user nav,Pause de 20 s après navigation de l'utilisateur
Arrows,Flèches
Aspect ratio,Format d'image
`Auto` matches the natural image height (jumps between slides).,`Auto` correspond à la hauteur naturelle de l'image (sauts entre les diapositives).
Default content position,Position du contenu par défaut
Per-slide overrides win.,Les remplacements par diapositive sont prioritaires.
Default overlay tint,Teinte de superposition par défaut
Default overlay opacity,Opacité de superposition par défaut
Slides (${count}),Diapositives (${count})
No slides yet.,Aucune diapositive pour l'instant.
Add your first slide,Ajoutez votre première diapositive
Slide ${number},Diapositive ${number}
Image only,Image uniquement
Empty,Vide
Show slide,Afficher la diapositive
Hide slide,Masquer la diapositive
Move slide up,Déplacer la diapositive vers le haut
Move slide down,Déplacer la diapositive vers le bas
Delete slide,Supprimer la diapositive
Top,Haut
Cover,Couvrir
Contain,Contenir
Required for accessibility.,Obligatoire pour l'accessibilité.
Image fit,Ajustement de l'image
"Small all-caps label. E.g. ""LIMITED EDITION"".",Petite étiquette en majuscules. Ex. « ÉDITION LIMITÉE ».
Limited edition,Édition limitée
One strong line,Une ligne percutante
Two lines of supporting copy.,Deux lignes de texte d'accompagnement.
Image position,Position de l'image
Vertical alignment,Alignement vertical
Aligns the copy panel content.,Aligne le contenu du panneau de texte.
Remove call to action,Supprimer l'appel à l'action
Add a call to action,Ajouter un appel à l'action
Custom CSS classes for the text block,Classes CSS personnalisées pour le bloc de texte
Add group,Ajouter un groupe
${label} · ${count} subs,${label} · ${count} sous-éléments
Parent label,Étiquette parente
Parent link,Lien parent
Image alt text,Texte alternatif de l'image
Sub-categories,Sous-catégories
"Min 1, max 8.","Min 1, max 8."
Add sub-category,Ajouter une sous-catégorie
Dresses,Robes
Columns (desktop),Colonnes (ordinateur)
On tablets the layout is always 2 columns.,"Sur tablette, la mise en page est toujours sur 2 colonnes."
Make parent image a link,Faire de l'image parente un lien
"When off, only the sub-chips and parent label are interactive.","Lorsque désactivé, seuls les sous-éléments et l'étiquette parente sont interactifs."
Title,Titre
e.g. Free shipping,ex. Livraison gratuite
Optional supporting line below the title.,Ligne d'accompagnement facultative sous le titre.
Icon,Icône
Optional. SVG or raster image. Hidden when icons are turned off globally.,Facultatif. Image SVG ou matricielle. Masquée lorsque les icônes sont désactivées globalement.
Optional. Makes the whole cell clickable.,Facultatif. Rend toute la cellule cliquable.
"Auto matches the item count, capped at 4.","Auto correspond au nombre d'éléments, plafonné à 4."
3,3
4,4
Icon size,Taille de l'icône
Show icons,Afficher les icônes
Master switch. Items without an icon URL are unaffected.,Interrupteur principal. Les éléments sans URL d'icône ne sont pas affectés.
Show divider,Afficher le séparateur
Vertical line between cells.,Ligne verticale entre les cellules.
Collection,Collection
Search collections…,Rechercher des collections…
No collections match “${value}”.,Aucune collection ne correspond à « ${value} ».
You have no collections yet.,Vous n'avez pas encore de collections.
Please select a collection,Veuillez sélectionner une collection
"Defaults to ""${name}"" (the collection's name).",Par défaut « ${name} » (le nom de la collection).
Defaults to the picked collection's name.,"Par défaut, le nom de la collection choisie."
Collection name,Nom de la collection
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,"Par défaut, la description de la collection. Renseigner ce champ remplace la description enrichie par du texte brut."
e.g. Hand-picked styles for the season.,ex. Styles sélectionnés à la main pour la saison.
View all link,Lien « Tout voir »
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.","Facultatif. Masqué lorsque vide. Choisissez une catégorie, un produit, une page, ou collez une URL personnalisée."
"Optional. Defaults to ""View all →"".",Facultatif. Par défaut « Tout voir → ».
View all →,Tout voir →
Total products,Nombre total de produits
Number of products to display.,Nombre de produits à afficher.
Products per row,Produits par ligne
Grid columns (1–6 typical).,Colonnes de la grille (1 à 6 typiquement).
Count is required,Le nombre est obligatoire
e.g. 8,ex. 8
Count per row is required,Le nombre par ligne est obligatoire
e.g. 4,ex. 4
Cover image,Image de couverture
COLLECTION,COLLECTION
"Defaults to ""${pickedName}"".",Par défaut « ${pickedName} ».
Defaults to the picked collection name.,"Par défaut, le nom de la collection choisie."
Optional. One or two sentences of editorial copy.,Facultatif. Une ou deux phrases de texte éditorial.
"Linen, cotton, easy stuff.","Lin, coton, des matières faciles à vivre."
Preview product count,Nombre de produits en aperçu
2 (1×2),2 (1×2)
4 (2×2),4 (2×2)
Please pick a collection,Veuillez choisir une collection
Add collection,Ajouter une collection
Row heading,Titre de la ligne
The Linen Edit,La sélection en lin
Optional. Hidden when empty.,Facultatif. Masqué lorsque vide.
View all label,Libellé « Tout voir »
Show price,Afficher le prix
Show divider between rows,Afficher un séparateur entre les lignes
Selected:,Sélectionné :
Image override,Remplacement d'image
Override image,Remplacer l'image
Override image (optional),Remplacer l'image (facultatif)
Leave empty to use the product's primary image.,Laissez vide pour utiliser l'image principale du produit.
Small label above the product name. Optional.,Petite étiquette au-dessus du nom du produit. Facultatif.
FEATURED,EN VEDETTE
Editorial copy,Texte éditorial
Overrides the product's own description in this context. Leave blank to hide.,Remplace la description propre du produit dans ce contexte. Laissez vide pour masquer.
Two lines of copy explaining why this product is being spotlighted right now.,Deux lignes de texte expliquant pourquoi ce produit est mis en avant en ce moment.
Please pick a product,Veuillez choisir un produit
e.g. On orders over $50,ex. Pour les commandes de plus de 50 $
Text block,Bloc de texte
Menu,Menu
Footer menu,Menu de pied de page
Banner,Bannière
Simple Slideshow,Diaporama simple
Brand story,Histoire de la marque
Category mosaic,Mosaïque de catégories
Tiered categories,Catégories hiérarchisées
Bento grid,Grille bento
Separator,Séparateur
Section,Section
Split feature,Mise en avant en deux colonnes
Announcement bar,Barre d'annonce
Coupon block,Bloc de coupon
FAQ block,Bloc FAQ
Trust strip,Bande de réassurance
Collection products,Produits de la collection
Collection stack,Pile de collections
Collection spotlight,Collection à la une
Product hero,Produit en vedette
Layout container with 1–4 columns for nesting widgets.,Conteneur de mise en page avec 1 à 4 colonnes pour imbriquer des widgets.
Add rich text content,Ajouter du contenu en texte enrichi
Navigation links,Liens de navigation
Multi-column list of footer links — a titled column of navigation links per group.,Liste de liens de pied de page sur plusieurs colonnes — une colonne titrée de liens de navigation par groupe.
A single hero image with optional overlay copy and CTAs.,Une seule image principale avec texte en superposition et CTA facultatifs.
Rotating image carousel,Carrousel d'images rotatif
Editorial block combining an image and long-form brand narrative. Four layout variants.,Bloc éditorial combinant une image et un récit de marque détaillé. Quatre variantes de mise en page.
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.",Une grille de 3 à 6 tuiles de catégories pour le point d'entrée principal « Achat par catégorie ».
A two-level nav block: parent category image plus a row of sub-category chips.,Un bloc de navigation à deux niveaux : image de la catégorie parente plus une rangée de puces de sous-catégories.
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,Une mosaïque asymétrique de tuiles CTA — une grande tuile principale plus 1 à 4 tuiles secondaires.
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.","Espacement vertical entre les widgets, avec une ligne de séparation facultative. La version mobile se réduit automatiquement."
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,Bande stylisée acceptant le dépôt qui englobe d'autres widgets. Bascule entre large (bord à bord) et encadré (conteneur du thème).
A 50/50 image + copy promo block with optional CTA. The canonical promo moment widget.,Un bloc promotionnel 50/50 image + texte avec CTA facultatif. Le widget promotionnel de référence.
A thin top-of-page bar with one or more rotating announcements.,Une fine barre en haut de page avec une ou plusieurs annonces rotatives.
A promo panel with a copyable discount code and CTA.,Un panneau promotionnel avec un code de réduction copiable et un CTA.
Flexible content block mixing prose sections and accordion FAQ groups.,Bloc de contenu flexible mêlant des sections de texte et des groupes FAQ en accordéon.
"A row of value-prop items (free shipping, easy returns, etc.) for below-the-hero or above-the-footer reinforcement.","Une rangée d'arguments de valeur (livraison gratuite, retours faciles, etc.) pour renforcer le message sous la bannière principale ou au-dessus du pied de page."
A list of products from a collection,Une liste de produits d'une collection
"Stacked rows of collections, each with a heading, view-all link, and a strip of products.","Rangées empilées de collections, chacune avec un titre, un lien « Tout voir » et une bande de produits."
"A featured collection with cover image, editorial copy, and a small product preview grid.","Une collection à la une avec image de couverture, texte éditorial et une petite grille d'aperçu de produits."
"A single-product spotlight — image, name, price, and a link to the full product page.","Une mise en avant d'un seul produit — image, nom, prix et lien vers la page produit complète."
