Welcome Back!,Willkommen zurück!
There is no category to display,Es gibt keine Kategorie zum Anzeigen
There is no collections to display,Es gibt keine Sammlungen zum Anzeigen
There is no coupon to display,Es gibt keinen Gutschein zum Anzeigen
There is no customer to display,Es gibt keinen Kunden zum Anzeigen
There is no order to display,Es gibt keine Bestellung zum Anzeigen
There is no page to display,Es gibt keine Seite zum Anzeigen
There is no widget to display,Es gibt kein Widget zum Anzeigen
There was an error fetching attribute groups.,Beim Abrufen der Attributgruppen ist ein Fehler aufgetreten.
There was an error fetching categories.,Beim Abrufen der Kategorien ist ein Fehler aufgetreten.
There was an error fetching collections.,Beim Abrufen der Sammlungen ist ein Fehler aufgetreten.
There was an error fetching file browser APIs.,Beim Abrufen der Datei-Browser-APIs ist ein Fehler aufgetreten.
There was an error fetching products.,Beim Abrufen der Produkte ist ein Fehler aufgetreten.
This cannot be undone. Packages still assigned to products can't be removed.,"Dies kann nicht rückgängig gemacht werden. Pakete, die noch Produkten zugewiesen sind, können nicht entfernt werden."
This changeset has no operations yet.,Dieser Changeset hat noch keine Vorgänge.
This field is required,Dieses Feld ist erforderlich
This is the URL path for the CMS page.,Dies ist der URL-Pfad für die CMS-Seite.
This is the address used to calculate tax rates.,"Dies ist die Adresse, die zur Berechnung der Steuersätze verwendet wird."
This is the meta title for the CMS page.,Dies ist der Meta-Titel für die CMS-Seite.
This is the name of the CMS page that will be displayed in the admin panel.,"Dies ist der Name der CMS-Seite, der im Admin-Panel angezeigt wird."
This is the tax class applied to shipping costs.,"Dies ist die Steuerklasse, die auf Versandkosten angewendet wird."
This product has some variants like color or size?,Hat dieses Produkt Varianten wie Farbe oder Größe?
This provider has no per-zone configuration. Methods and per-zone rates are managed in the provider's own admin area.,Dieser Anbieter hat keine zonenspezifische Konfiguration. Methoden und zonenspezifische Tarife werden im eigenen Admin-Bereich des Anbieters verwaltet.
This removes the zone along with its provider attachments and rates. This cannot be undone.,Dies entfernt die Zone zusammen mit ihren Anbieterzuordnungen und Tarifen. Dies kann nicht rückgängig gemacht werden.
This route has unpublished changes in your draft,Diese Route hat unveröffentlichte Änderungen in Ihrem Entwurf
This will be saved as a pending change you can publish or discard.,"Dies wird als ausstehende Änderung gespeichert, die Sie veröffentlichen oder verwerfen können."
Tiered,Gestaffelt
Type is required,Typ ist erforderlich
URL Key,URL-Schlüssel
URL Key is required,URL-Schlüssel ist erforderlich
"URL Key must be lowercase and can only contain letters, numbers, and hyphens","Der URL-Schlüssel muss in Kleinbuchstaben sein und darf nur Buchstaben, Zahlen und Bindestriche enthalten"
URL key,URL-Schlüssel
URL key is required,URL-Schlüssel ist erforderlich
URL key must be lowercase and can only contain alphanumeric characters and hyphens,Der URL-Schlüssel muss in Kleinbuchstaben sein und darf nur alphanumerische Zeichen und Bindestriche enthalten
Unassign,Zuweisung aufheben
Undo (⌘Z) — undoes your last edit on this page,Rückgängig (⌘Z) — macht Ihre letzte Bearbeitung auf dieser Seite rückgängig
Undo / Redo,Rückgängig / Wiederholen
Undo last change on this page,Letzte Änderung auf dieser Seite rückgängig machen
Unknown,Unbekannt
Unlink,Verknüpfung aufheben
Unpin drawer,Schublade lösen
Unpin — drawer will close when you click empty canvas,"Lösen — die Schublade schließt sich, wenn Sie auf die leere Arbeitsfläche klicken"
Unpublished changes,Nicht veröffentlichte Änderungen
Unsaved changes,Nicht gespeicherte Änderungen
Update the name and active window for this rollout plan. Content edits are managed separately in the editor.,Aktualisieren Sie den Namen und das aktive Zeitfenster für diesen Rollout-Plan. Inhaltsänderungen werden separat im Editor verwaltet.
Update the variant details and attributes here.,Aktualisieren Sie hier die Variantendetails und Attribute.
Updated,Aktualisiert
Upload an image for the category.,Laden Sie ein Bild für die Kategorie hoch.
Used Times,Verwendungen
Value is required,Wert ist erforderlich
Variant Group,Variantengruppe
Variant created successfully,Variante erfolgreich erstellt
Variant updated successfully,Variante erfolgreich aktualisiert
Version ${version},Version ${version}
Visibility,Sichtbarkeit
Visibility determines where the product appears in the store. It does not affect the saleability of the product.,"Die Sichtbarkeit bestimmt, wo das Produkt im Shop erscheint. Sie wirkt sich nicht auf die Verkäuflichkeit des Produkts aus."
Visitors will see the new layout on their next page load.,Besucher sehen das neue Layout beim nächsten Seitenaufruf.
Webhook Secret Key,Webhook-Geheimschlüssel
Weight,Gewicht
Weight must be 0 or greater,Gewicht muss 0 oder größer sein
Weight must be a positive number,Gewicht muss eine positive Zahl sein
Weight-based tiers,Gewichtsbasierte Stufen
Widget Settings,Widget-Einstellungen
Widget created successfully!,Widget erfolgreich erstellt!
Widgets,Widgets
Width,Breite
Width is required,Breite ist erforderlich
Width must be greater than 0,Breite muss größer als 0 sein
Will roll out automatically: ${range},Wird automatisch ausgerollt: ${range}
Working…,Wird verarbeitet…
Worldwide,Weltweit
X,X
Y,Y
You have ${count} changes in this draft that haven’t been published yet.,"Sie haben ${count} Änderungen in diesem Entwurf, die noch nicht veröffentlicht wurden."
You have ${count} changes still saving.,Es werden noch ${count} Änderungen gespeichert.
You have 1 change in this draft that hasn’t been published yet.,"Sie haben 1 Änderung in diesem Entwurf, die noch nicht veröffentlicht wurde."
You have 1 change still saving.,Es wird noch 1 Änderung gespeichert.
Your draft is safe on the server — you can come back and publish it any time.,Ihr Entwurf ist auf dem Server gesichert — Sie können jederzeit zurückkehren und ihn veröffentlichen.
Your edits on other pages stay in the draft.,Ihre Änderungen auf anderen Seiten bleiben im Entwurf erhalten.
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,Ihre Webhook-URL sollte lauten: https://yourdomain.com/api/stripe/webhook
Zone,Zone
Zone Name,Zonenname
Zone Rates,Zonentarife
Zone created,Zone erstellt
Zone is required,Zone ist erforderlich
Zone name is required,Zonenname ist erforderlich
Zone removed,Zone entfernt
Zone updated,Zone aktualisiert
Zones served,Bediente Zonen
and ${count} more,und ${count} weitere
container will also hide,Container wird ebenfalls ausgeblendet
current page,aktuelle Seite
e.g. Small Box,z. B. Kleine Box
e.g. Summer Sale 2026,z. B. Sommerschlussverkauf 2026
e.g. content,z. B. Inhalt
"e.g., 10.00","z. B. 10,00"
"e.g., EU, US-West","z. B. EU, US-West"
"e.g., Express",z. B. Express
"e.g., FEDEX_GROUND, usps_priority","z. B. FEDEX_GROUND, usps_priority"
every page,jede Seite
indefinite,unbefristet
open,öffnen
"publishing is immediate and can’t be undone from this screen. To stage instead, cancel and choose “Schedule a rollout”.","Das Veröffentlichen erfolgt sofort und kann von diesem Bildschirm aus nicht rückgängig gemacht werden. Um stattdessen vorzubereiten, brechen Sie ab und wählen Sie „Rollout planen“."
quantity of products are matched bellow conditions(All),Menge der Produkte erfüllt die folgenden Bedingungen (Alle)
subtotal,Zwischensumme
to a storefront route's,zu der Route eines Storefronts
to make it appear here.,damit es hier erscheint.
weight,Gewicht
widget? This will be saved as a pending change you can publish or discard.,"Widget? Dies wird als ausstehende Änderung gespeichert, die Sie veröffentlichen oder verwerfen können."
will be removed and the live storefront will stop applying its edits. The underlying changeset and its pending content edits are preserved.,wird entfernt und das Live-Storefront wendet seine Änderungen nicht mehr an. Das zugrunde liegende Changeset und seine ausstehenden Inhaltsänderungen bleiben erhalten.
— None —,— Keine —
Cash On Delivery,Nachnahme
Please select a valid payment method,Bitte wählen Sie eine gültige Zahlungsmethode
Show ${label} width,${label}-Breite anzeigen
Column ${index},Spalte ${index}
Switch page,Seite wechseln
Search pages…,Seiten suchen…
Search pages,Seiten suchen
Save your pending edits — the live storefront will catch up,Speichern Sie Ihre ausstehenden Änderungen — das Live-Storefront wird angeglichen
No changes to save — the rollout matches the editor,Keine Änderungen zu speichern — der Rollout stimmt mit dem Editor überein
More rollout actions,Weitere Rollout-Aktionen
Revert to saved state…,Auf gespeicherten Stand zurücksetzen…
Roll back the editor to what the rollout currently shows on the storefront,"Setzen Sie den Editor auf das zurück, was der Rollout derzeit im Storefront anzeigt"
Nothing to revert — the editor matches the saved state,Nichts zurückzusetzen — der Editor stimmt mit dem gespeicherten Stand überein
Cancel rollout plan…,Rollout-Plan abbrechen…
Remove the schedule — the changeset is preserved,Zeitplan entfernen — das Changeset bleibt erhalten
Publish,Veröffentlichen
More publish options,Weitere Veröffentlichungsoptionen
Apply all edits to the live storefront immediately,Alle Änderungen sofort auf das Live-Storefront anwenden
Save as rollout plan…,Als Rollout-Plan speichern…
Schedule these edits to roll out at a future time,"Planen Sie diese Änderungen, um sie zu einem späteren Zeitpunkt auszurollen"
Discard pending changes…,Ausstehende Änderungen verwerfen…
Choose between discarding the whole draft or just this page,Wählen Sie zwischen dem Verwerfen des gesamten Entwurfs oder nur dieser Seite
Switch session,Sitzung wechseln
New changeset,Neues Changeset
Rollout: ${name},Rollout: ${name}
Click or drag to add,Klicken oder ziehen zum Hinzufügen
Background color,Hintergrundfarbe
Text color,Textfarbe
Dwell time,Verweildauer
Time each announcement stays visible (in addition to the 400ms slide transition).,"Zeit, die jede Ankündigung sichtbar bleibt (zusätzlich zum 400ms-Slide-Übergang)."
Announcements,Ankündigungen
Add announcement,Ankündigung hinzufügen
Untitled,Ohne Titel
Free shipping on orders over $50,Kostenloser Versand bei Bestellungen über 50 $
Optional. Makes the entire row a clickable link.,Optional. Macht die gesamte Zeile zu einem anklickbaren Link.
Link label,Link-Beschriftung
Optional. Displayed after the content; defaults to the content itself.,Optional. Wird nach dem Inhalt angezeigt; standardmäßig der Inhalt selbst.
Shop now,Jetzt einkaufen
Dark,Dunkel
Light,Hell
Gradient,Verlauf
Left,Links
Center,Mitte
Right,Rechts
Selected image,Ausgewähltes Bild
No image selected,Kein Bild ausgewählt
Replace,Ersetzen
Clear,Löschen
Reflects the alignment below.,Entspricht der Ausrichtung unten.
Banner Image,Bannerbild
Mobile image,Mobiles Bild
Optional. Swapped in below the 768px breakpoint. Falls back to the image above when empty — typical use is a portrait crop of the same scene.,Optional. Wird unterhalb des 768px-Breakpoints eingesetzt. Fällt bei leerem Wert auf das Bild oben zurück — typischerweise ein Hochformat-Ausschnitt derselben Szene.
Alignment,Ausrichtung
Overlay copy,Overlay-Text
Eyebrow,Überzeile
"Small all-caps label above the heading. E.g. ""LIMITED EDITION"".",Kleine Großbuchstaben-Beschriftung über der Überschrift. Z. B. „LIMITED EDITION“.
LIMITED EDITION,LIMITED EDITION
Heading,Überschrift
The Summer Edit,The Summer Edit
Sub-text,Untertext
One short supporting sentence.,Ein kurzer ergänzender Satz.
Overlay placement,Overlay-Platzierung
Content position,Inhaltsposition
Where the overlay text sits on the image.,Wo der Overlay-Text auf dem Bild platziert ist.
Tint,Tönung
A scrim behind the overlay text for legibility. Dark / gradient flip the text to white automatically.,Eine Abdunklung hinter dem Overlay-Text für bessere Lesbarkeit. Dunkel / Verlauf stellen den Text automatisch auf Weiß um.
Tint opacity,Tönungsdeckkraft
Call to actions,Handlungsaufrufe
Remove primary CTA,Primären CTA entfernen
+ Add a primary CTA,+ Primären CTA hinzufügen
Secondary,Sekundär
Remove secondary CTA,Sekundären CTA entfernen
Learn more,Mehr erfahren
+ Add a secondary CTA,+ Sekundären CTA hinzufügen
Details,Details
Alt text,Alt-Text
Describes the banner for screen readers and SEO.,Beschreibt das Banner für Screenreader und SEO.
"e.g. ""Summer sale promotional banner""",z. B. „Werbebanner Sommerschlussverkauf“
Banner link,Banner-Link
Optional. Clicking the banner navigates here.,Optional. Ein Klick auf das Banner führt hierher.
Display name,Anzeigename
Shop,Shop
Target,Ziel
"Page, category, product, or a custom URL.","Seite, Kategorie, Produkt oder eine benutzerdefinierte URL."
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,SEO: kein Ranking-Gewicht an diesen Link weitergeben (rel=nofollow).
No referrer,Kein Referrer
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,Datenschutz: die verweisende URL weglassen (rel=noreferrer). Links in neuen Tabs enthalten dies immer.
Menu items,Menüpunkte
Add menu item,Menüpunkt hinzufügen
Sub-items,Unterpunkte
Optional dropdown links (1 level).,Optionale Dropdown-Links (1 Ebene).
Add sub-item,Unterpunkt hinzufügen
Options,Optionen
Use as main menu,Als Hauptmenü verwenden
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.","Hauptnavigation — auf Mobilgeräten wird sie zu einem Hamburger-Menü zusammengeklappt. Deaktivieren Sie dies für eine einfache Linkliste (z. B. eine Fußzeile), die auf Mobilgeräten inline bleibt."
Custom CSS classes,Benutzerdefinierte CSS-Klassen
Applied to the rendered menu element.,Wird auf das gerenderte Menüelement angewendet.
e.g. main-nav font-semibold,z. B. main-nav font-semibold
S,S
M,M
L,L
Tiles,Kacheln
Add tile,Kachel hinzufügen
Hero · ,Hero · 
Used when no image is set.,"Wird verwendet, wenn kein Bild festgelegt ist."
Small label above the heading.,Kleine Beschriftung über der Überschrift.
THE SUMMER EDIT,DIE SOMMER-EDIT
New Arrivals,Neuheiten
Body,Textkörper
Big card — the headline of the grid.,Große Karte — die Überschrift des Rasters.
Link URL,Link-URL
Gap,Abstand
Minimum block height,Mindesthöhe des Blocks
Image left,Bild links
Image right,Bild rechts
Centered,Zentriert
Pull quote,Hervorgehobenes Zitat
Variant,Variante
Image column size,Größe der Bildspalte
Describe the image,Beschreiben Sie das Bild
Copy,Text
"Small all-caps label. E.g. ""OUR STORY"".","Kleine Beschriftung in Großbuchstaben. Z. B. ""UNSERE GESCHICHTE""."
Our story,Unsere Geschichte
"Made by hand, in small batches","Handgefertigt, in kleinen Chargen"
"Required for the pull-quote variant. Displayed large, styled as a blockquote.","Erforderlich für die Variante mit hervorgehobenem Zitat. Wird groß angezeigt, als Blockzitat formatiert."
"A short, quotable line.","Eine kurze, zitierfähige Zeile."
Three or four sentences of brand narrative.,Drei oder vier Sätze zur Markengeschichte.
Second body paragraph (optional),Zweiter Textabsatz (optional)
A second short paragraph if the story needs it.,"Ein zweiter kurzer Absatz, falls die Geschichte ihn benötigt."
Read more link,Weiterlesen-Link
Read more,Weiterlesen
URL,URL
Remove read-more link,Weiterlesen-Link entfernen
+ Add a read-more link,+ Weiterlesen-Link hinzufügen
Square,Quadratisch
Landscape,Querformat
Portrait,Hochformat
Overlay,Überlagerung
Below,Darunter
New category,Neue Kategorie
Section heading,Abschnittsüberschrift
Optional. Shown above the grid.,Optional. Wird über dem Raster angezeigt.
Shop by category,Nach Kategorie einkaufen
Women,Damen
Columns,Spalten
Auto,Automatisch
Asymmetric makes the first tile span 2 columns.,Asymmetrisch lässt die erste Kachel 2 Spalten umfassen.
Uniform,Einheitlich
Asymmetric,Asymmetrisch
Image aspect,Bildseitenverhältnis
Label position,Position der Beschriftung
Blush,Rosé
XL,XL
Position ${c},Position ${c}
Column layout,Spaltenlayout
Drag widgets into each column. Children re-flow when you change the ratio.,"Ziehen Sie Widgets in jede Spalte. Untergeordnete Elemente werden neu angeordnet, wenn Sie das Verhältnis ändern."
Space between columns.,Abstand zwischen den Spalten.
Where content sits within each column. Applied uniformly to every column.,Wo der Inhalt innerhalb jeder Spalte sitzt. Wird einheitlich auf jede Spalte angewendet.
Row appearance,Erscheinungsbild der Zeile
Background,Hintergrund
Custom color,Benutzerdefinierte Farbe
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","Beliebige CSS-Farbe (z. B. ""#0a0a0a"" oder ""rgb(10,10,10)""). Leer lassen, um die obige Farbprobe zu verwenden."
Padding,Innenabstand
Outer spacing around the row. Scales down on mobile.,Außenabstand um die Zeile. Wird auf Mobilgeräten verkleinert.
Solid,Durchgezogen
Dashed,Gestrichelt
Already expired,Bereits abgelaufen
Expires in ${days}d ${hours}h,Läuft ab in ${days}T ${hours}Std
Expires in ${hours}h ${minutes}m,Läuft ab in ${hours}Std ${minutes}Min
Offer,Angebot
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".","Dringlichkeitszeile. Optional. Z. B. ""Begrenzt · Endet Sonntag""."
Limited · Ends Sunday,Begrenzt · Endet Sonntag
Headline,Überschrift
Take 20% off your order,Erhalten Sie 20 % Rabatt auf Ihre Bestellung
Optional. One short instructional line.,Optional. Eine kurze Anweisungszeile.
Use code at checkout,Code an der Kasse verwenden
Promo code,Aktionscode
Displayed in uppercase to shoppers.,Wird Käufern in Großbuchstaben angezeigt.
Expires,Läuft ab
Optional. The block auto-hides after this time for live visitors.,Optional. Der Block wird nach diesem Zeitpunkt für Live-Besucher automatisch ausgeblendet.
Call to action,Handlungsaufforderung
Button label,Schaltflächenbeschriftung
Shop now →,Jetzt einkaufen →
Button link,Schaltflächen-Link
Appearance,Erscheinungsbild
Border,Rahmen
Narrow,Schmal
Normal,Normal
Wide,Breit
Shown above all content. Optional.,Wird über allen Inhalten angezeigt. Optional.
e.g. Frequently asked,z. B. Häufig gefragt
Prose,Fließtext
FAQ group · ${count} items,FAQ-Gruppe · ${count} Einträge
Group heading,Gruppenüberschrift
Optional sub-heading.,Optionale Unterüberschrift.
e.g. Shipping,z. B. Versand
Add question,Frage hinzufügen
Question,Frage
e.g. How long does shipping take?,z. B. Wie lange dauert der Versand?
Answer,Antwort
"Supports **bold**, _italic_, and line breaks.","Unterstützt **fett**, _kursiv_ und Zeilenumbrüche."
e.g. Orders ship within 24 hours…,z. B. Bestellungen werden innerhalb von 24 Stunden versandt…
Add prose,Fließtext hinzufügen
Add FAQ group,FAQ-Gruppe hinzufügen
Max width,Maximale Breite
Content column width.,Breite der Inhaltsspalte.
Allow multiple open,Mehrere gleichzeitig öffnen zulassen
"When off, opening one FAQ item closes the others in the same group.","Wenn deaktiviert, schließt das Öffnen eines FAQ-Eintrags die anderen in derselben Gruppe."
New link,Neuer Link
New column,Neue Spalte
Add column,Spalte hinzufügen
${title} · ${count} links,${title} · ${count} Links
Column title,Spaltentitel
Links,Links
"Min 1, max 12.","Min. 1, max. 12."
Add link,Link hinzufügen
New arrivals,Neuheiten
Boxed,Eingerahmt
Wide (full bleed),Breit (randlos)
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,Eingerahmt bleibt innerhalb des Seitencontainers (das Theme bestimmt die maximale Breite). Breit reicht von Rand zu Rand.
Scales down on mobile.,Wird auf Mobilgeräten verkleinert.
Optional. Painted behind content. Combine with a tint below for legibility.,Optional. Wird hinter dem Inhalt dargestellt. Kombinieren Sie es für die Lesbarkeit mit einer Tönung unten.
XS,XS
Spacing,Abstand
Size,Größe
Mobile scales down ~⅔ automatically.,Auf Mobilgeräten automatisch um ~⅔ verkleinert.
Divider line,Trennlinie
Show divider line,Trennlinie anzeigen
A horizontal rule centred in the spacing band.,"Eine horizontale Linie, zentriert im Abstandsbereich."
Line color,Linienfarbe
Default uses the theme's divider color.,Standardmäßig wird die Trennlinienfarbe des Themes verwendet.
Sides,Seiten
Bottom,Unten
Dots,Punkte
Bars,Balken
Mobile image (optional),Mobiles Bild (optional)
Used at ≤ 767 px. Falls back to the main image.,Wird bei ≤ 767 px verwendet. Greift auf das Hauptbild zurück.
e.g. New collection,z. B. Neue Kollektion
e.g. Summer Sale,z. B. Sommerschlussverkauf
Sub text,Untertext
Check out our latest products with special discounts.,Entdecken Sie unsere neuesten Produkte mit Sonderrabatten.
Primary button,Primäre Schaltfläche
Secondary button,Sekundäre Schaltfläche
+ Add secondary button,+ Sekundäre Schaltfläche hinzufügen
Overrides,Überschreibungen
Leaves slide-specific anchor; falls back to the slideshow's default.,Behält den folienspezifischen Anker; greift auf den Standard der Diashow zurück.
Overlay tint,Overlay-Farbton
Overlay opacity,Overlay-Deckkraft
Make whole slide clickable,Ganze Folie anklickbar machen
Behavior,Verhalten
Transition,Übergang
Slide,Folie
Fade,Überblenden
Transition speed,Übergangsgeschwindigkeit
Autoplay,Automatische Wiedergabe
Autoplay delay,Verzögerung der automatischen Wiedergabe
${seconds} s between slides,${seconds} s zwischen den Folien
Pause on hover,Bei Mauszeiger anhalten
Pause for 20 s after user nav,20 s pausieren nach Nutzernavigation
Arrows,Pfeile
Aspect ratio,Seitenverhältnis
`Auto` matches the natural image height (jumps between slides).,`Auto` passt sich der natürlichen Bildhöhe an (springt zwischen den Folien).
Default content position,Standard-Inhaltsposition
Per-slide overrides win.,Folienspezifische Überschreibungen haben Vorrang.
Default overlay tint,Standard-Overlay-Farbton
Default overlay opacity,Standard-Overlay-Deckkraft
Slides (${count}),Folien (${count})
No slides yet.,Noch keine Folien.
Add your first slide,Erste Folie hinzufügen
Slide ${number},Folie ${number}
Image only,Nur Bild
Empty,Leer
Show slide,Folie anzeigen
Hide slide,Folie ausblenden
Move slide up,Folie nach oben verschieben
Move slide down,Folie nach unten verschieben
Delete slide,Folie löschen
Top,Oben
Cover,Ausfüllen
Contain,Einpassen
Required for accessibility.,Für Barrierefreiheit erforderlich.
Image fit,Bildanpassung
"Small all-caps label. E.g. ""LIMITED EDITION"".",Kleines Label in Großbuchstaben. Z. B. „LIMITED EDITION“.
Limited edition,Limitierte Auflage
One strong line,Eine aussagekräftige Zeile
Two lines of supporting copy.,Zwei Zeilen ergänzender Text.
Image position,Bildposition
Vertical alignment,Vertikale Ausrichtung
Aligns the copy panel content.,Richtet den Inhalt des Textbereichs aus.
Remove call to action,Handlungsaufforderung entfernen
Add a call to action,Handlungsaufforderung hinzufügen
Custom CSS classes for the text block,Benutzerdefinierte CSS-Klassen für den Textblock
Add group,Gruppe hinzufügen
${label} · ${count} subs,${label} · ${count} Unterkategorien
Parent label,Bezeichnung der übergeordneten Kategorie
Parent link,Link der übergeordneten Kategorie
Image alt text,Alternativtext des Bildes
Sub-categories,Unterkategorien
"Min 1, max 8.","Min. 1, max. 8."
Add sub-category,Unterkategorie hinzufügen
Dresses,Kleider
Columns (desktop),Spalten (Desktop)
On tablets the layout is always 2 columns.,Auf Tablets ist das Layout immer 2-spaltig.
Make parent image a link,Bild der übergeordneten Kategorie verlinken
"When off, only the sub-chips and parent label are interactive.","Wenn deaktiviert, sind nur die Unterkategorie-Chips und die Bezeichnung der übergeordneten Kategorie interaktiv."
Title,Titel
e.g. Free shipping,z. B. Kostenloser Versand
Optional supporting line below the title.,Optionale ergänzende Zeile unter dem Titel.
Icon,Symbol
Optional. SVG or raster image. Hidden when icons are turned off globally.,"Optional. SVG- oder Rasterbild. Ausgeblendet, wenn Symbole global deaktiviert sind."
Optional. Makes the whole cell clickable.,Optional. Macht die gesamte Zelle anklickbar.
"Auto matches the item count, capped at 4.","Auto passt sich der Anzahl der Elemente an, begrenzt auf 4."
3,3
4,4
Icon size,Symbolgröße
Show icons,Symbole anzeigen
Master switch. Items without an icon URL are unaffected.,Hauptschalter. Elemente ohne Symbol-URL sind nicht betroffen.
Show divider,Trennlinie anzeigen
Vertical line between cells.,Vertikale Linie zwischen den Zellen.
Collection,Kollektion
Search collections…,Kollektionen suchen…
No collections match “${value}”.,Keine Kollektionen entsprechen „${value}“.
You have no collections yet.,Sie haben noch keine Kollektionen.
Please select a collection,Bitte wählen Sie eine Kollektion aus
"Defaults to ""${name}"" (the collection's name).",Standardmäßig „${name}“ (der Name der Kollektion).
Defaults to the picked collection's name.,Standardmäßig der Name der ausgewählten Kollektion.
Collection name,Name der Kollektion
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,"Standardmäßig die Beschreibung der Kollektion. Wird dies gesetzt, ersetzt es die Rich-Text-Beschreibung durch reinen Text."
e.g. Hand-picked styles for the season.,z. B. Handverlesene Styles für die Saison.
View all link,"""Alle anzeigen""-Link"
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.","Optional. Ausgeblendet, wenn leer. Wählen Sie eine Kategorie, ein Produkt oder eine Seite oder fügen Sie eine benutzerdefinierte URL ein."
"Optional. Defaults to ""View all →"".",Optional. Standardmäßig „Alle anzeigen →“.
View all →,Alle anzeigen →
Total products,Produkte insgesamt
Number of products to display.,Anzahl der anzuzeigenden Produkte.
Products per row,Produkte pro Zeile
Grid columns (1–6 typical).,Rasterspalten (typisch 1–6).
Count is required,Anzahl ist erforderlich
e.g. 8,z. B. 8
Count per row is required,Anzahl pro Zeile ist erforderlich
e.g. 4,z. B. 4
Cover image,Titelbild
COLLECTION,KOLLEKTION
"Defaults to ""${pickedName}"".",Standardmäßig „${pickedName}“.
Defaults to the picked collection name.,Standardmäßig der Name der ausgewählten Kollektion.
Optional. One or two sentences of editorial copy.,Optional. Ein oder zwei Sätze redaktioneller Text.
"Linen, cotton, easy stuff.","Leinen, Baumwolle, unkomplizierte Stücke."
Preview product count,Anzahl der Vorschauprodukte
2 (1×2),2 (1×2)
4 (2×2),4 (2×2)
Please pick a collection,Bitte wählen Sie eine Kollektion aus
Add collection,Kollektion hinzufügen
Row heading,Zeilenüberschrift
The Linen Edit,The Linen Edit
Optional. Hidden when empty.,"Optional. Ausgeblendet, wenn leer."
View all label,"""Alle anzeigen""-Bezeichnung"
Show price,Preis anzeigen
Show divider between rows,Trennlinie zwischen Zeilen anzeigen
Selected:,Ausgewählt:
Image override,Bild-Überschreibung
Override image,Bild überschreiben
Override image (optional),Bild überschreiben (optional)
Leave empty to use the product's primary image.,"Leer lassen, um das Hauptbild des Produkts zu verwenden."
Small label above the product name. Optional.,Kleine Bezeichnung über dem Produktnamen. Optional.
FEATURED,HERVORGEHOBEN
Editorial copy,Redaktioneller Text
Overrides the product's own description in this context. Leave blank to hide.,Überschreibt die eigene Beschreibung des Produkts in diesem Kontext. Leer lassen zum Ausblenden.
Two lines of copy explaining why this product is being spotlighted right now.,"Zwei Textzeilen, die erklären, warum dieses Produkt gerade hervorgehoben wird."
Please pick a product,Bitte wählen Sie ein Produkt aus
e.g. On orders over $50,z. B. Ab einem Bestellwert von 50 $
Text block,Textblock
Menu,Menü
Footer menu,Fußzeilenmenü
Banner,Banner
Simple Slideshow,Einfache Diashow
Brand story,Markengeschichte
Category mosaic,Kategorie-Mosaik
Tiered categories,Gestufte Kategorien
Bento grid,Bento-Raster
Separator,Trennlinie
Section,Abschnitt
Split feature,Geteilter Bereich
Announcement bar,Ankündigungsleiste
Coupon block,Gutscheinblock
FAQ block,FAQ-Block
Trust strip,Vertrauensleiste
Collection products,Kollektionsprodukte
Collection stack,Kollektionsstapel
Collection spotlight,Kollektions-Highlight
Product hero,Produkt-Hero
Layout container with 1–4 columns for nesting widgets.,Layout-Container mit 1–4 Spalten zum Verschachteln von Widgets.
Add rich text content,Rich-Text-Inhalt hinzufügen
Navigation links,Navigationslinks
Multi-column list of footer links — a titled column of navigation links per group.,Mehrspaltige Liste von Fußzeilen-Links — eine betitelte Spalte mit Navigationslinks pro Gruppe.
A single hero image with optional overlay copy and CTAs.,Ein einzelnes Hero-Bild mit optionalem Overlay-Text und CTAs.
Rotating image carousel,Rotierendes Bildkarussell
Editorial block combining an image and long-form brand narrative. Four layout variants.,"Redaktioneller Block, der ein Bild und eine ausführliche Markenerzählung kombiniert. Vier Layout-Varianten."
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.","Ein Raster aus 3–6 Kategoriekacheln als primärer Einstiegspunkt ""Nach Kategorie einkaufen""."
A two-level nav block: parent category image plus a row of sub-category chips.,Ein zweistufiger Navigationsblock: Bild der übergeordneten Kategorie plus eine Reihe von Unterkategorie-Chips.
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,Ein asymmetrisches Mosaik aus CTA-Kacheln — eine große Hero-Kachel plus 1–4 ergänzende Kacheln.
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.","Vertikaler Abstand zwischen Widgets, mit optionaler Trennlinie. Auf Mobilgeräten wird automatisch verkleinert."
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,"Gestyltes ablegbares Band, das andere Widgets umschließt. Wechsel zwischen breit (randlos) und eingerahmt (Theme-Container)."
