Welcome Back!,欢迎回来！
Default overlay opacity,默认叠加不透明度
Slides (${count}),幻灯片（${count}）
No slides yet.,暂无幻灯片。
Add your first slide,添加您的第一张幻灯片
Slide ${number},幻灯片 ${number}
Image only,仅图片
Empty,空白
Show slide,显示幻灯片
Hide slide,隐藏幻灯片
Move slide up,上移幻灯片
Move slide down,下移幻灯片
Delete slide,删除幻灯片
Top,顶部
Cover,填充
Contain,包含
Required for accessibility.,无障碍访问所需。
Image fit,图片适配
"Small all-caps label. E.g. ""LIMITED EDITION"".","小号全大写标签。例如 ""LIMITED EDITION""。"
Limited edition,限量版
One strong line,一句有力的标语
Two lines of supporting copy.,两行辅助文案。
Image position,图片位置
Vertical alignment,垂直对齐
Aligns the copy panel content.,对齐文案面板的内容。
Remove call to action,移除行动号召
Add a call to action,添加行动号召
Custom CSS classes for the text block,文本块的自定义 CSS 类
Add group,添加分组
${label} · ${count} subs,${label} · ${count} 个子项
Parent label,父级标签
Parent link,父级链接
Image alt text,图片替代文本
Sub-categories,子分类
"Min 1, max 8.",最少 1 个，最多 8 个。
Add sub-category,添加子分类
Dresses,连衣裙
Columns (desktop),列数（桌面端）
On tablets the layout is always 2 columns.,在平板上布局始终为 2 列。
Make parent image a link,使父级图片成为链接
"When off, only the sub-chips and parent label are interactive.",关闭时，仅子项标签和父级标签可交互。
Title,标题
e.g. Free shipping,例如：免运费
Optional supporting line below the title.,标题下方的可选辅助文字。
Icon,图标
Optional. SVG or raster image. Hidden when icons are turned off globally.,可选。SVG 或位图图片。全局关闭图标时隐藏。
Optional. Makes the whole cell clickable.,可选。使整个单元格可点击。
"Auto matches the item count, capped at 4.",自动匹配项目数量，最多 4 个。
3,3
4,4
Icon size,图标大小
Show icons,显示图标
Master switch. Items without an icon URL are unaffected.,总开关。没有图标 URL 的项目不受影响。
Show divider,显示分隔线
Vertical line between cells.,单元格之间的竖线。
Collection,系列
Search collections…,搜索系列…
No collections match “${value}”.,没有匹配 “${value}” 的系列。
You have no collections yet.,您还没有任何系列。
Please select a collection,请选择一个系列
"Defaults to ""${name}"" (the collection's name).","默认为 ""${name}""（系列名称）。"
Defaults to the picked collection's name.,默认为所选系列的名称。
Collection name,系列名称
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,默认为系列的描述。设置此项会将富文本描述替换为纯文本。
e.g. Hand-picked styles for the season.,例如：本季精选款式。
View all link,查看全部链接
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.",可选。为空时隐藏。选择一个分类、产品、页面，或粘贴自定义 URL。
"Optional. Defaults to ""View all →"".","可选。默认为 ""查看全部 →""。"
View all →,查看全部 →
Total products,产品总数
Number of products to display.,要显示的产品数量。
Products per row,每行产品数
Grid columns (1–6 typical).,网格列数（通常为 1–6）。
Count is required,数量为必填项
e.g. 8,例如：8
Count per row is required,每行数量为必填项
e.g. 4,例如：4
Cover image,封面图片
COLLECTION,系列
"Defaults to ""${pickedName}"".","默认为 ""${pickedName}""。"
Defaults to the picked collection name.,默认为所选系列的名称。
Optional. One or two sentences of editorial copy.,可选。一两句编辑文案。
"Linen, cotton, easy stuff.",亚麻、棉质、轻松随性。
Preview product count,预览产品数量
2 (1×2),2（1×2）
4 (2×2),4（2×2）
Please pick a collection,请选择一个系列
Add collection,添加系列
Row heading,行标题
The Linen Edit,亚麻精选
Optional. Hidden when empty.,可选。为空时隐藏。
View all label,查看全部标签
Show price,显示价格
Show divider between rows,显示行间分隔线
Selected:,已选择：
Image override,图片覆盖
Override image,覆盖图片
Override image (optional),覆盖图片（可选）
Leave empty to use the product's primary image.,留空则使用产品的主图片。
Small label above the product name. Optional.,产品名称上方的小标签。可选。
FEATURED,精选
Editorial copy,编辑文案
Overrides the product's own description in this context. Leave blank to hide.,在此处覆盖产品自身的描述。留空则隐藏。
Two lines of copy explaining why this product is being spotlighted right now.,两行文案说明此产品当前被重点推荐的原因。
Please pick a product,请选择一个产品
e.g. On orders over $50,例如：订单满 $50
Text block,文本块
Menu,菜单
Footer menu,页脚菜单
Banner,横幅
Simple Slideshow,简易幻灯片
Brand story,品牌故事
Category mosaic,分类拼图
Tiered categories,分级分类
Bento grid,便当网格
Separator,分隔符
Section,区块
Split feature,分栏特色
Announcement bar,公告栏
Coupon block,优惠券模块
FAQ block,FAQ 模块
Trust strip,信任条
Collection products,系列商品
Collection stack,系列堆叠
Collection spotlight,系列聚焦
Product hero,商品主图横幅
Layout container with 1–4 columns for nesting widgets.,可容纳 1–4 列的布局容器，用于嵌套小组件。
Add rich text content,添加富文本内容
Navigation links,导航链接
Multi-column list of footer links — a titled column of navigation links per group.,页脚链接的多列列表——每组为一列带标题的导航链接。
A single hero image with optional overlay copy and CTAs.,单张主图横幅，可叠加文案和 CTA。
Rotating image carousel,轮播图
Editorial block combining an image and long-form brand narrative. Four layout variants.,结合图片与长篇品牌叙述的内容模块。提供四种布局变体。
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.",由 3–6 个分类磁贴组成的网格，作为主要的“按分类选购”入口。
A two-level nav block: parent category image plus a row of sub-category chips.,两级导航模块：父分类图片加上一行子分类标签。
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,由 CTA 磁贴组成的非对称拼图——一个大主图加 1–4 个辅助磁贴。
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.",小组件之间的垂直间距，可选添加分隔线。移动端自动缩小。
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,包裹其他小组件的样式化可放置区域。可在宽幅（通栏）与盒装（主题容器）之间切换。
A 50/50 image + copy promo block with optional CTA. The canonical promo moment widget.,图文各占一半的促销模块，可选添加 CTA。经典的促销时刻小组件。
A thin top-of-page bar with one or more rotating announcements.,页面顶部的细窄横条，可轮播显示一条或多条公告。
A promo panel with a copyable discount code and CTA.,带可复制折扣码和 CTA 的促销面板。
Flexible content block mixing prose sections and accordion FAQ groups.,灵活的内容模块，混合排版段落与折叠式 FAQ 分组。
"A row of value-prop items (free shipping, easy returns, etc.) for below-the-hero or above-the-footer reinforcement.",一行价值主张项目（免运费、轻松退货等），用于主图下方或页脚上方进行强化。
A list of products from a collection,来自某个系列的商品列表
"Stacked rows of collections, each with a heading, view-all link, and a strip of products.",堆叠排列的系列行，每行包含标题、查看全部链接以及一排商品。
"A featured collection with cover image, editorial copy, and a small product preview grid.",精选系列，包含封面图、内容文案以及小型商品预览网格。
"A single-product spotlight — image, name, price, and a link to the full product page.",单商品聚焦——图片、名称、价格以及指向完整商品页面的链接。
