Welcome Back!,خوش آمدید!
Store Address,آدرس فروشگاه
Store Description,توضیحات فروشگاه
Store Email,ایمیل فروشگاه
Store Name,نام فروشگاه
Store Phone Number,شماره تلفن فروشگاه
Store Setting,تنظیمات فروشگاه
Store Settings,تنظیمات فروشگاه
Store address,آدرس فروشگاه
Storefront,فروشگاه
Stripe Payment,پرداخت Stripe
Tablet,تبلت
Take our survey,در نظرسنجی ما شرکت کنید
Target Products,محصولات هدف
Tax Class,کلاس مالیاتی
Tax calculation configuration,پیکربندی محاسبه مالیات
Tax class name,نام کلاس مالیاتی
Tax class name is required,نام کلاس مالیاتی الزامی است
Tax classes,کلاس‌های مالیاتی
Tax rate has been saved successfully!,نرخ مالیات با موفقیت ذخیره شد!
Tax setting has been saved successfully!,تنظیمات مالیات با موفقیت ذخیره شد!
The box or envelope this product ships in. Applies to all variants of this product.,جعبه یا پاکتی که این محصول در آن ارسال می‌شود. برای همه گونه‌های این محصول اعمال می‌شود.
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,جعبه‌ها و پاکت‌هایی که با آن‌ها ارسال می‌کنید. هر محصول قابل ارسال به یکی از آن‌ها ارجاع می‌دهد — ابعاد و وزن خالی آن، برآورد هزینه ارسال و برچسب‌ها را تعیین می‌کند.
The conditions related to the customer for the coupon to be applied.,شرایط مربوط به مشتری برای اعمال کوپن.
The conditions related to the order for the coupon to be applied.,شرایط مربوط به سفارش برای اعمال کوپن.
The default package cannot be deleted,بسته پیش‌فرض قابل حذف نیست
The draft holds ${count} saved changes you can publish later.,پیش‌نویس ${count} تغییر ذخیره‌شده دارد که می‌توانید بعداً منتشر کنید.
The draft holds 1 saved change you can publish later.,پیش‌نویس ۱ تغییر ذخیره‌شده دارد که می‌توانید بعداً منتشر کنید.
The draft is deleted.,پیش‌نویس حذف شد.
The draft itself is deleted.,خودِ پیش‌نویس حذف شد.
The general information about the coupon.,اطلاعات کلی درباره کوپن.
"The language of the admin panel, independent of the storefront.",زبان پنل مدیریت، مستقل از فروشگاه.
The method will no longer apply to this zone.,این روش دیگر برای این منطقه اعمال نمی‌شود.
The minimum quantity of items required in the order to qualify for this coupon.,حداقل تعداد اقلام مورد نیاز در سفارش برای واجد شرایط بودن این کوپن.
The minimum total amount required for the order to qualify for this coupon.,حداقل مبلغ کل مورد نیاز برای واجد شرایط بودن سفارش جهت این کوپن.
The rollout plan,طرح انتشار
The storefront's primary language. Pages in this language have no URL prefix.,زبان اصلی فروشگاه. صفحات در این زبان پیشوند URL ندارند.
The type of discount applied by the coupon.,نوع تخفیف اعمال‌شده توسط کوپن.
The zone this rate applies to.,منطقه‌ای که این نرخ برای آن اعمال می‌شود.
"There is no ""Select"" attribute available.",هیچ ویژگی «Select» موجود نیست.
There is no attribute to display,هیچ ویژگی‌ای برای نمایش وجود ندارد
There is no category to display,هیچ دسته‌بندی‌ای برای نمایش وجود ندارد
There is no collections to display,هیچ مجموعه‌ای برای نمایش وجود ندارد
There is no coupon to display,هیچ کوپنی برای نمایش وجود ندارد
There is no customer to display,هیچ مشتری‌ای برای نمایش وجود ندارد
There is no order to display,هیچ سفارشی برای نمایش وجود ندارد
There is no page to display,هیچ صفحه‌ای برای نمایش وجود ندارد
There is no widget to display,هیچ ویجتی برای نمایش وجود ندارد
There was an error fetching attribute groups.,در دریافت گروه‌های ویژگی خطایی رخ داد.
There was an error fetching categories.,در دریافت دسته‌بندی‌ها خطایی رخ داد.
There was an error fetching collections.,در دریافت مجموعه‌ها خطایی رخ داد.
There was an error fetching file browser APIs.,در دریافت APIهای مرورگر فایل خطایی رخ داد.
There was an error fetching products.,در دریافت محصولات خطایی رخ داد.
This cannot be undone. Packages still assigned to products can't be removed.,این عمل قابل بازگشت نیست. بسته‌هایی که هنوز به محصولات اختصاص یافته‌اند، قابل حذف نیستند.
This changeset has no operations yet.,این مجموعه تغییرات هنوز هیچ عملیاتی ندارد.
This field is required,این فیلد الزامی است
This is the URL path for the CMS page.,این مسیر URL برای صفحه CMS است.
This is the address used to calculate tax rates.,این آدرسی است که برای محاسبه نرخ‌های مالیات استفاده می‌شود.
This is the meta title for the CMS page.,این عنوان متای صفحه CMS است.
This is the name of the CMS page that will be displayed in the admin panel.,این نام صفحه CMS است که در پنل مدیریت نمایش داده می‌شود.
This is the tax class applied to shipping costs.,این کلاس مالیاتی است که بر هزینه‌های ارسال اعمال می‌شود.
This product has some variants like color or size?,این محصول گونه‌هایی مانند رنگ یا اندازه دارد؟
This provider has no per-zone configuration. Methods and per-zone rates are managed in the provider's own admin area.,این ارائه‌دهنده پیکربندی به‌ازای منطقه ندارد. روش‌ها و نرخ‌های به‌ازای منطقه در ناحیه مدیریت خود ارائه‌دهنده مدیریت می‌شوند.
This removes the zone along with its provider attachments and rates. This cannot be undone.,این کار منطقه را به همراه پیوست‌های ارائه‌دهنده و نرخ‌های آن حذف می‌کند. این عمل قابل بازگشت نیست.
This route has unpublished changes in your draft,این مسیر در پیش‌نویس شما تغییرات منتشرنشده دارد
This will be saved as a pending change you can publish or discard.,این به‌عنوان یک تغییر در انتظار ذخیره می‌شود که می‌توانید منتشر یا لغو کنید.
Tiered,پلکانی
Type is required,نوع الزامی است
URL Key,کلید URL
URL Key is required,کلید URL الزامی است
"URL Key must be lowercase and can only contain letters, numbers, and hyphens",کلید URL باید با حروف کوچک باشد و فقط می‌تواند شامل حروف، اعداد و خط تیره باشد
URL key,کلید URL
URL key is required,کلید URL الزامی است
URL key must be lowercase and can only contain alphanumeric characters and hyphens,کلید URL باید با حروف کوچک باشد و فقط می‌تواند شامل کاراکترهای حرفی-عددی و خط تیره باشد
Unassign,لغو تخصیص
Undo (⌘Z) — undoes your last edit on this page,واگرد (⌘Z) — آخرین ویرایش شما در این صفحه را لغو می‌کند
Undo / Redo,واگرد / ازنو
Undo last change on this page,واگرد آخرین تغییر در این صفحه
Unknown,ناشناخته
Unlink,حذف پیوند
Unpin drawer,برداشتن سنجاق کشو
Unpin — drawer will close when you click empty canvas,برداشتن سنجاق — با کلیک روی بوم خالی، کشو بسته می‌شود
Unpublished changes,تغییرات منتشرنشده
Unsaved changes,تغییرات ذخیره‌نشده
Update the name and active window for this rollout plan. Content edits are managed separately in the editor.,نام و بازه فعال این طرح انتشار را به‌روزرسانی کنید. ویرایش‌های محتوا به‌طور جداگانه در ویرایشگر مدیریت می‌شوند.
Update the variant details and attributes here.,جزئیات و ویژگی‌های گونه را اینجا به‌روزرسانی کنید.
Updated,به‌روزرسانی شد
Upload an image for the category.,تصویری برای دسته‌بندی بارگذاری کنید.
Used Times,دفعات استفاده
Value is required,مقدار الزامی است
Variant Group,گروه گونه
Variant created successfully,گونه با موفقیت ایجاد شد
Variant updated successfully,گونه با موفقیت به‌روزرسانی شد
Version ${version},نسخه ${version}
Visibility,قابلیت مشاهده
Visibility determines where the product appears in the store. It does not affect the saleability of the product.,قابلیت مشاهده تعیین می‌کند که محصول در کجای فروشگاه نمایش داده شود. این بر قابلیت فروش محصول تأثیری ندارد.
Visitors will see the new layout on their next page load.,بازدیدکنندگان در بارگذاری بعدی صفحه، چیدمان جدید را خواهند دید.
Webhook Secret Key,کلید مخفی وب‌هوک
Weight,وزن
Weight must be 0 or greater,وزن باید ۰ یا بزرگ‌تر باشد
Weight must be a positive number,وزن باید عددی مثبت باشد
Weight-based tiers,رده‌های مبتنی بر وزن
Widget Settings,تنظیمات ابزارک
Widget created successfully!,ابزارک با موفقیت ایجاد شد!
Widgets,ابزارک‌ها
Width,عرض
Width is required,عرض الزامی است
Width must be greater than 0,عرض باید بزرگ‌تر از ۰ باشد
Will roll out automatically: ${range},به‌طور خودکار منتشر می‌شود: ${range}
Working…,در حال کار…
Worldwide,سراسر جهان
X,X
Y,Y
You have ${count} changes in this draft that haven’t been published yet.,شما ${count} تغییر در این پیش‌نویس دارید که هنوز منتشر نشده‌اند.
You have ${count} changes still saving.,شما ${count} تغییر دارید که هنوز در حال ذخیره‌شدن هستند.
You have 1 change in this draft that hasn’t been published yet.,شما ۱ تغییر در این پیش‌نویس دارید که هنوز منتشر نشده است.
You have 1 change still saving.,شما ۱ تغییر دارید که هنوز در حال ذخیره‌شدن است.
Your draft is safe on the server — you can come back and publish it any time.,پیش‌نویس شما روی سرور ایمن است — می‌توانید هر زمان برگردید و آن را منتشر کنید.
Your edits on other pages stay in the draft.,ویرایش‌های شما در صفحات دیگر در پیش‌نویس باقی می‌مانند.
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,آدرس وب‌هوک شما باید این باشد: https://yourdomain.com/api/stripe/webhook
Zone,منطقه
Zone Name,نام منطقه
Zone Rates,نرخ‌های منطقه
Zone created,منطقه ایجاد شد
Zone is required,منطقه الزامی است
Zone name is required,نام منطقه الزامی است
Zone removed,منطقه حذف شد
Zone updated,منطقه به‌روزرسانی شد
Zones served,مناطق پوشش‌داده‌شده
and ${count} more,و ${count} مورد دیگر
container will also hide,کانتینر نیز پنهان خواهد شد
current page,صفحه فعلی
e.g. Small Box,مثلاً جعبه کوچک
e.g. Summer Sale 2026,مثلاً حراج تابستان ۲۰۲۶
e.g. content,مثلاً محتوا
"e.g., 10.00",مثلاً ۱۰٫۰۰
"e.g., EU, US-West",مثلاً EU، US-West
"e.g., Express",مثلاً اکسپرس
"e.g., FEDEX_GROUND, usps_priority",مثلاً FEDEX_GROUND، usps_priority
every page,هر صفحه
indefinite,نامحدود
open,باز
"publishing is immediate and can’t be undone from this screen. To stage instead, cancel and choose “Schedule a rollout”.",انتشار فوری است و از این صفحه قابل بازگردانی نیست. برای مرحله‌بندی به‌جای آن، لغو کنید و «زمان‌بندی یک انتشار» را انتخاب کنید.
quantity of products are matched bellow conditions(All),تعداد محصولاتی که با شرایط زیر مطابقت دارند (همه)
subtotal,جمع جزء
to a storefront route's,به مسیر یک ویترین فروشگاه
to make it appear here.,تا اینجا نمایش داده شود.
weight,وزن
widget? This will be saved as a pending change you can publish or discard.,ابزارک؟ این به‌عنوان یک تغییر در انتظار ذخیره می‌شود که می‌توانید آن را منتشر یا لغو کنید.
will be removed and the live storefront will stop applying its edits. The underlying changeset and its pending content edits are preserved.,حذف خواهد شد و ویترین زنده دیگر ویرایش‌های آن را اعمال نمی‌کند. مجموعه‌تغییرات زیربنایی و ویرایش‌های محتوای در انتظار آن حفظ می‌شوند.
— None —,— هیچ‌کدام —
Cash On Delivery,پرداخت در محل
Please select a valid payment method,لطفاً یک روش پرداخت معتبر انتخاب کنید
Show ${label} width,نمایش عرض ${label}
Column ${index},ستون ${index}
Switch page,تغییر صفحه
Search pages…,جستجوی صفحات…
Search pages,جستجوی صفحات
Save your pending edits — the live storefront will catch up,ویرایش‌های در انتظار خود را ذخیره کنید — ویترین زنده هماهنگ خواهد شد
No changes to save — the rollout matches the editor,تغییری برای ذخیره نیست — انتشار با ویرایشگر مطابقت دارد
More rollout actions,اقدامات بیشتر انتشار
Revert to saved state…,بازگشت به وضعیت ذخیره‌شده…
Roll back the editor to what the rollout currently shows on the storefront,بازگرداندن ویرایشگر به آنچه انتشار در حال حاضر در ویترین نمایش می‌دهد
Nothing to revert — the editor matches the saved state,چیزی برای بازگردانی نیست — ویرایشگر با وضعیت ذخیره‌شده مطابقت دارد
Cancel rollout plan…,لغو طرح انتشار…
Remove the schedule — the changeset is preserved,حذف زمان‌بندی — مجموعه‌تغییرات حفظ می‌شود
Publish,انتشار
More publish options,گزینه‌های بیشتر انتشار
Apply all edits to the live storefront immediately,اعمال فوری همه ویرایش‌ها روی ویترین زنده
Save as rollout plan…,ذخیره به‌عنوان طرح انتشار…
Schedule these edits to roll out at a future time,زمان‌بندی این ویرایش‌ها برای انتشار در زمان آینده
Discard pending changes…,لغو تغییرات در انتظار…
Choose between discarding the whole draft or just this page,بین لغو کل پیش‌نویس یا فقط این صفحه انتخاب کنید
Switch session,تغییر نشست
New changeset,مجموعه‌تغییرات جدید
Rollout: ${name},انتشار: ${name}
Click or drag to add,برای افزودن کلیک کنید یا بکشید
Background color,رنگ پس‌زمینه
Text color,رنگ متن
Dwell time,زمان توقف
Time each announcement stays visible (in addition to the 400ms slide transition).,مدت زمانی که هر اعلان قابل مشاهده می‌ماند (علاوه بر گذار اسلاید ۴۰۰ms).
Announcements,اعلان‌ها
Add announcement,افزودن اعلان
Untitled,بدون عنوان
Free shipping on orders over $50,ارسال رایگان برای سفارش‌های بالای ۵۰ دلار
Optional. Makes the entire row a clickable link.,اختیاری. کل ردیف را به یک پیوند قابل کلیک تبدیل می‌کند.
Link label,برچسب پیوند
Optional. Displayed after the content; defaults to the content itself.,اختیاری. پس از محتوا نمایش داده می‌شود؛ به‌طور پیش‌فرض خودِ محتوا است.
Shop now,همین حالا خرید کنید
Dark,تیره
Light,روشن
Gradient,گرادیان
Left,چپ
Center,وسط
Right,راست
Selected image,تصویر انتخاب‌شده
No image selected,تصویری انتخاب نشده است
Replace,جایگزینی
Clear,پاک کردن
Reflects the alignment below.,چیدمان زیر را منعکس می‌کند.
Banner Image,تصویر بنر
Mobile image,تصویر موبایل
Optional. Swapped in below the 768px breakpoint. Falls back to the image above when empty — typical use is a portrait crop of the same scene.,اختیاری. در زیر نقطه‌شکست 768px جایگزین می‌شود. در صورت خالی بودن، به تصویر بالا بازمی‌گردد — استفاده معمول، برش عمودی از همان صحنه است.
Alignment,چیدمان
Overlay copy,متن روکش
Eyebrow,عنوان فرعی بالا
"Small all-caps label above the heading. E.g. ""LIMITED EDITION"".",برچسب کوچک تمام‌بزرگ بالای سرتیتر. مثلاً «LIMITED EDITION».
LIMITED EDITION,نسخه محدود
Heading,سرتیتر
The Summer Edit,کالکشن تابستان
Sub-text,متن فرعی
One short supporting sentence.,یک جمله پشتیبان کوتاه.
Overlay placement,موقعیت روکش
Content position,موقعیت محتوا
Where the overlay text sits on the image.,محل قرارگیری متن روکش روی تصویر.
Tint,رنگ‌مایه
A scrim behind the overlay text for legibility. Dark / gradient flip the text to white automatically.,یک لایه تیره پشت متن روکش برای خوانایی. حالت تیره / گرادیان به‌طور خودکار متن را به سفید تغییر می‌دهد.
Tint opacity,شفافیت رنگ‌مایه
Call to actions,دکمه‌های فراخوان
Remove primary CTA,حذف CTA اصلی
+ Add a primary CTA,+ افزودن یک CTA اصلی
Secondary,ثانویه
Remove secondary CTA,حذف CTA ثانویه
Learn more,بیشتر بدانید
+ Add a secondary CTA,+ افزودن یک CTA ثانویه
Details,جزئیات
Alt text,متن جایگزین
Describes the banner for screen readers and SEO.,بنر را برای صفحه‌خوان‌ها و SEO توصیف می‌کند.
"e.g. ""Summer sale promotional banner""",مثلاً «بنر تبلیغاتی فروش تابستانه»
Banner link,پیوند بنر
Optional. Clicking the banner navigates here.,اختیاری. کلیک روی بنر به اینجا می‌رود.
Display name,نام نمایشی
Shop,فروشگاه
Target,مقصد
"Page, category, product, or a custom URL.",صفحه، دسته‌بندی، محصول یا یک URL سفارشی.
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,سئو: اعتبار رتبه‌بندی را به این پیوند منتقل نکنید (rel=nofollow).
No referrer,بدون ارجاع‌دهنده
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,حریم خصوصی: حذف URL ارجاع‌دهنده (rel=noreferrer). پیوندهای زبانه جدید همیشه شامل این هستند.
Menu items,آیتم‌های منو
Add menu item,افزودن آیتم منو
Sub-items,زیرآیتم‌ها
Optional dropdown links (1 level).,پیوندهای کشویی اختیاری (۱ سطح).
Add sub-item,افزودن زیرآیتم
Options,گزینه‌ها
Use as main menu,استفاده به عنوان منوی اصلی
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.",ناوبری اصلی — در موبایل به منوی همبرگری جمع می‌شود. برای فهرست پیوند ساده (مثلاً فوتر) خاموش کنید که در موبایل به‌صورت درون‌خطی می‌ماند.
Custom CSS classes,کلاس‌های CSS سفارشی
Applied to the rendered menu element.,به عنصر منوی رندرشده اعمال می‌شود.
e.g. main-nav font-semibold,مثلاً main-nav font-semibold
S,S
M,M
L,L
Tiles,کاشی‌ها
Add tile,افزودن کاشی
Hero · ,هیرو · 
Used when no image is set.,وقتی هیچ تصویری تنظیم نشده استفاده می‌شود.
Small label above the heading.,برچسب کوچک بالای سرتیتر.
THE SUMMER EDIT,THE SUMMER EDIT
New Arrivals,تازه‌واردها
Body,متن
Big card — the headline of the grid.,کارت بزرگ — سرتیتر شبکه.
Link URL,URL پیوند
Gap,فاصله
Minimum block height,حداقل ارتفاع بلوک
Image left,تصویر سمت چپ
Image right,تصویر سمت راست
Centered,وسط‌چین
Pull quote,نقل‌قول برجسته
Variant,گونه
Image column size,اندازه ستون تصویر
Describe the image,تصویر را توصیف کنید
Copy,محتوای متنی
"Small all-caps label. E.g. ""OUR STORY"".",برچسب کوچک با حروف بزرگ. مثلاً «OUR STORY».
Our story,داستان ما
"Made by hand, in small batches",دست‌ساز، در دسته‌های کوچک
"Required for the pull-quote variant. Displayed large, styled as a blockquote.",برای گونه نقل‌قول برجسته لازم است. بزرگ نمایش داده می‌شود، به‌صورت نقل‌قول استایل می‌شود.
"A short, quotable line.",یک خط کوتاه و قابل‌نقل.
Three or four sentences of brand narrative.,سه یا چهار جمله از روایت برند.
Second body paragraph (optional),پاراگراف دوم متن (اختیاری)
A second short paragraph if the story needs it.,یک پاراگراف کوتاه دوم اگر داستان به آن نیاز دارد.
Read more link,پیوند بیشتر بخوانید
Read more,بیشتر بخوانید
URL,URL
Remove read-more link,حذف پیوند بیشتر بخوانید
+ Add a read-more link,+ افزودن پیوند بیشتر بخوانید
Square,مربع
Landscape,افقی
Portrait,عمودی
Overlay,روی‌هم
Below,پایین
New category,دسته‌بندی جدید
Section heading,سرتیتر بخش
Optional. Shown above the grid.,اختیاری. بالای شبکه نمایش داده می‌شود.
Shop by category,خرید بر اساس دسته‌بندی
Women,زنانه
Columns,ستون‌ها
Auto,خودکار
Asymmetric makes the first tile span 2 columns.,نامتقارن باعث می‌شود کاشی اول ۲ ستون را در بر بگیرد.
Uniform,یکنواخت
Asymmetric,نامتقارن
Image aspect,نسبت تصویر
Label position,موقعیت برچسب
Blush,صورتی ملایم
XL,XL
Position ${c},موقعیت ${c}
Column layout,چیدمان ستون
Drag widgets into each column. Children re-flow when you change the ratio.,ویجت‌ها را به هر ستون بکشید. با تغییر نسبت، فرزندان دوباره جریان می‌یابند.
Space between columns.,فاصله بین ستون‌ها.
Where content sits within each column. Applied uniformly to every column.,محل قرارگیری محتوا در هر ستون. به‌طور یکنواخت به همه ستون‌ها اعمال می‌شود.
Row appearance,ظاهر ردیف
Background,پس‌زمینه
Custom color,رنگ سفارشی
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","هر رنگ CSS (مثلاً «#0a0a0a» یا «rgb(10,10,10)»). برای استفاده از نمونه رنگ بالا خالی بگذارید."
Padding,فاصله داخلی
Outer spacing around the row. Scales down on mobile.,فاصله بیرونی اطراف ردیف. در موبایل کوچک می‌شود.
Solid,یکدست
Dashed,خط‌چین
Already expired,قبلاً منقضی شده
Expires in ${days}d ${hours}h,انقضا در ${days}روز ${hours}ساعت
Expires in ${hours}h ${minutes}m,انقضا در ${hours}ساعت ${minutes}دقیقه
Offer,پیشنهاد
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".",خط فوریت. اختیاری. مثلاً «محدود · پایان یکشنبه».
Limited · Ends Sunday,محدود · پایان یکشنبه
Headline,سرتیتر
Take 20% off your order,۲۰٪ تخفیف روی سفارش خود بگیرید
Optional. One short instructional line.,اختیاری. یک خط راهنمای کوتاه.
Use code at checkout,کد را هنگام تسویه‌حساب استفاده کنید
Promo code,کد تخفیف
Displayed in uppercase to shoppers.,با حروف بزرگ به خریداران نمایش داده می‌شود.
Expires,انقضا
Optional. The block auto-hides after this time for live visitors.,اختیاری. بلوک پس از این زمان به‌طور خودکار برای بازدیدکنندگان زنده پنهان می‌شود.
Call to action,فراخوان عمل
Button label,برچسب دکمه
Shop now →,اکنون خرید کنید →
Button link,پیوند دکمه
Appearance,ظاهر
Border,حاشیه
Narrow,باریک
Normal,معمولی
Wide,عریض
Shown above all content. Optional.,بالای همه محتوا نمایش داده می‌شود. اختیاری.
e.g. Frequently asked,مثلاً پرسش‌های پرتکرار
Prose,متن
FAQ group · ${count} items,گروه سؤالات متداول · ${count} آیتم
Group heading,سرتیتر گروه
Optional sub-heading.,زیرسرتیتر اختیاری.
e.g. Shipping,مثلاً ارسال
Add question,افزودن سؤال
Question,سؤال
e.g. How long does shipping take?,مثلاً ارسال چقدر طول می‌کشد؟
Answer,پاسخ
"Supports **bold**, _italic_, and line breaks.",از **پررنگ**، _ایتالیک_ و شکست خط پشتیبانی می‌کند.
e.g. Orders ship within 24 hours…,مثلاً سفارش‌ها ظرف ۲۴ ساعت ارسال می‌شوند…
Add prose,افزودن متن
Add FAQ group,افزودن گروه سؤالات متداول
Max width,حداکثر عرض
Content column width.,عرض ستون محتوا.
Allow multiple open,اجازه باز بودن چندتایی
"When off, opening one FAQ item closes the others in the same group.",وقتی خاموش است، باز کردن یک آیتم سؤال متداول بقیه آیتم‌های همان گروه را می‌بندد.
New link,پیوند جدید
New column,ستون جدید
Add column,افزودن ستون
${title} · ${count} links,${title} · ${count} پیوند
Column title,عنوان ستون
Links,پیوندها
"Min 1, max 12.",حداقل ۱، حداکثر ۱۲.
Add link,افزودن پیوند
New arrivals,تازه‌واردها
Boxed,جعبه‌ای
Wide (full bleed),عریض (تمام‌عرض)
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,حالت جعبه‌ای داخل ظرف صفحه می‌ماند (پوسته حداکثر عرض را تعیین می‌کند). حالت عریض لبه‌تا‌لبه می‌شود.
Scales down on mobile.,در موبایل کوچک می‌شود.
Optional. Painted behind content. Combine with a tint below for legibility.,اختیاری. پشت محتوا رنگ می‌شود. برای خوانایی با ته‌رنگ زیر ترکیب کنید.
XS,XS
Spacing,فاصله‌گذاری
Size,اندازه
Mobile scales down ~⅔ automatically.,موبایل به‌طور خودکار حدود ⅔ کوچک می‌شود.
Divider line,خط جداکننده
Show divider line,نمایش خط جداکننده
A horizontal rule centred in the spacing band.,یک خط افقی که در نوار فاصله‌گذاری به‌صورت مرکزی قرار می‌گیرد.
Line color,رنگ خط
Default uses the theme's divider color.,حالت پیش‌فرض از رنگ جداکننده‌ی پوسته استفاده می‌کند.
Sides,اضلاع
Bottom,پایین
Dots,نقطه‌ها
Bars,میله‌ها
Mobile image (optional),تصویر موبایل (اختیاری)
Used at ≤ 767 px. Falls back to the main image.,در ≤ 767 px استفاده می‌شود. در غیر این صورت به تصویر اصلی برمی‌گردد.
e.g. New collection,مثلاً مجموعه‌ی جدید
e.g. Summer Sale,مثلاً حراج تابستانه
Sub text,متن فرعی
Check out our latest products with special discounts.,جدیدترین محصولات ما را با تخفیف‌های ویژه ببینید.
Primary button,دکمه‌ی اصلی
Secondary button,دکمه‌ی فرعی
+ Add secondary button,+ افزودن دکمه‌ی فرعی
Overrides,بازنویسی‌ها
Leaves slide-specific anchor; falls back to the slideshow's default.,لنگر مخصوص اسلاید را حفظ می‌کند؛ در غیر این صورت به حالت پیش‌فرض اسلایدشو برمی‌گردد.
Overlay tint,رنگ روکش
Overlay opacity,شفافیت روکش
Make whole slide clickable,کل اسلاید قابل کلیک شود
Behavior,رفتار
Transition,گذار
Slide,اسلاید
Fade,محو‌شدن
Transition speed,سرعت گذار
Autoplay,پخش خودکار
Autoplay delay,تأخیر پخش خودکار
${seconds} s between slides,${seconds} ثانیه بین اسلایدها
Pause on hover,توقف هنگام نشانگر روی آن
Pause for 20 s after user nav,توقف به مدت ۲۰ ثانیه پس از پیمایش کاربر
Arrows,فلش‌ها
Aspect ratio,نسبت ابعاد
`Auto` matches the natural image height (jumps between slides).,`Auto` با ارتفاع طبیعی تصویر مطابقت می‌کند (بین اسلایدها جهش دارد).
Default content position,موقعیت پیش‌فرض محتوا
Per-slide overrides win.,بازنویسی‌های هر اسلاید اولویت دارند.
Default overlay tint,رنگ روکش پیش‌فرض
Default overlay opacity,شفافیت روکش پیش‌فرض
Slides (${count}),اسلایدها (${count})
No slides yet.,هنوز اسلایدی وجود ندارد.
Add your first slide,اولین اسلاید خود را اضافه کنید
Slide ${number},اسلاید ${number}
Image only,فقط تصویر
Empty,خالی
Show slide,نمایش اسلاید
Hide slide,پنهان‌کردن اسلاید
Move slide up,انتقال اسلاید به بالا
Move slide down,انتقال اسلاید به پایین
Delete slide,حذف اسلاید
Top,بالا
Cover,پوشاندن
Contain,جای‌دادن
Required for accessibility.,برای دسترس‌پذیری الزامی است.
Image fit,تناسب تصویر
"Small all-caps label. E.g. ""LIMITED EDITION"".",برچسب کوچک با حروف بزرگ. مثلاً «نسخه‌ی محدود».
Limited edition,نسخه‌ی محدود
One strong line,یک خط قوی
Two lines of supporting copy.,دو خط متن پشتیبان.
Image position,موقعیت تصویر
Vertical alignment,تراز عمودی
Aligns the copy panel content.,محتوای پنل متن را تراز می‌کند.
Remove call to action,حذف فراخوان به اقدام
Add a call to action,افزودن فراخوان به اقدام
Custom CSS classes for the text block,کلاس‌های CSS سفارشی برای بلوک متن
Add group,افزودن گروه
${label} · ${count} subs,${label} · ${count} زیرمجموعه
Parent label,برچسب والد
Parent link,پیوند والد
Image alt text,متن جایگزین تصویر
Sub-categories,زیردسته‌ها
"Min 1, max 8.",حداقل ۱، حداکثر ۸.
Add sub-category,افزودن زیردسته
Dresses,پیراهن‌ها
Columns (desktop),ستون‌ها (دسکتاپ)
On tablets the layout is always 2 columns.,در تبلت‌ها چیدمان همیشه ۲ ستونی است.
Make parent image a link,تصویر والد به پیوند تبدیل شود
"When off, only the sub-chips and parent label are interactive.",وقتی خاموش است، فقط چیپ‌های فرعی و برچسب والد تعاملی هستند.
Title,عنوان
e.g. Free shipping,مثلاً ارسال رایگان
Optional supporting line below the title.,خط پشتیبان اختیاری زیر عنوان.
Icon,آیکون
Optional. SVG or raster image. Hidden when icons are turned off globally.,اختیاری. تصویر SVG یا رستری. وقتی آیکون‌ها به‌صورت سراسری خاموش باشند پنهان می‌شود.
Optional. Makes the whole cell clickable.,اختیاری. کل سلول را قابل کلیک می‌کند.
"Auto matches the item count, capped at 4.",حالت خودکار با تعداد آیتم‌ها مطابقت می‌کند، با سقف ۴.
3,3
4,4
Icon size,اندازه‌ی آیکون
Show icons,نمایش آیکون‌ها
Master switch. Items without an icon URL are unaffected.,کلید اصلی. آیتم‌های بدون نشانی آیکون تأثیر نمی‌پذیرند.
Show divider,نمایش جداکننده
Vertical line between cells.,خط عمودی بین سلول‌ها.
Collection,مجموعه
Search collections…,جستجوی مجموعه‌ها…
No collections match “${value}”.,هیچ مجموعه‌ای با «${value}» مطابقت ندارد.
You have no collections yet.,هنوز هیچ مجموعه‌ای ندارید.
Please select a collection,لطفاً یک مجموعه انتخاب کنید
"Defaults to ""${name}"" (the collection's name).",به‌طور پیش‌فرض «${name}» (نام مجموعه).
Defaults to the picked collection's name.,به‌طور پیش‌فرض نام مجموعه‌ی انتخاب‌شده.
Collection name,نام مجموعه
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,به‌طور پیش‌فرض توضیحات مجموعه. تنظیم این مورد، توضیحات متن‌غنی را با متن ساده جایگزین می‌کند.
e.g. Hand-picked styles for the season.,مثلاً استایل‌های دست‌چین‌شده برای این فصل.
View all link,پیوند مشاهده‌ی همه
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.",اختیاری. وقتی خالی باشد پنهان می‌شود. یک دسته، محصول، صفحه انتخاب کنید یا یک URL سفارشی بچسبانید.
